,Time,Cost
0,468,70129
1,496,70235
2,601,69634
3,601,69235
4,601,68735
5,601,68437
6,601,67937
7,601,67437
8,692,67336
9,692,67235
10,692,67134
11,692,67033
12,692,66932
13,737,66230
14,737,65331
15,737,65437
16,772,63826
17,838,63528
18,839,63836
19,839,63437
20,839,63139
21,839,62538
22,839,62038
23,924,61033
24,924,60533
25,925,60336
26,925,59735
27,979,60649
28,979,60149
29,979,60255
30,983,57230
31,1031,57538
32,1031,57038
33,1042,60376
34,1042,59876
35,1049,57457
36,1111,54331
37,1139,55750
38,1220,55452
39,1252,56467
40,1285,55260
41,1392,52538
42,1392,52139
43,1392,51639
44,1392,51240
45,1462,50639
46,1462,50644
47,1463,49942
48,1463,49442
49,1463,48942
50,1524,49048
51,1539,48043
52,1542,48149
53,1619,46235
54,1619,46442
55,1619,45538
56,1619,44937
57,1619,44437
58,1620,43937
59,1658,43437
60,1686,43644
61,1686,42942
62,1686,42745
63,1686,42245
64,1728,40937
65,1728,40437
66,1757,40543
67,1758,40043
68,1758,39543
69,1758,39043
70,1770,38341
71,1771,38043
72,1775,36437
73,1798,35937
74,1799,35538
75,1799,35240
76,1799,34740
77,1799,34341
78,1799,33841
79,1799,33442
80,1800,32740
81,1809,32341
82,1834,32144
83,1835,31745
84,1835,31952
85,1835,31149
86,1835,30750
87,1860,28432
88,1860,27831
89,1860,27533
90,1860,27235
91,1925,25129
92,1960,25437
93,1983,25543
94,1985,24639
95,2022,24543
96,2022,24442
97,2023,24341
98,2023,24240
99,2023,24139
100,2023,24038
101,2023,23937
102,2023,23836
103,2023,23735
104,2023,23634
105,2023,23533
106,2023,23432
107,2023,23331
108,2047,22624
109,2047,22523
110,2047,22422
111,2047,22321
112,2047,22220
113,2047,22119
114,2047,22018
115,2048,21917
116,2110,21816
117,3237,21715
118,3237,21614
119,3237,21513
120,3237,21412
121,3237,21311
122,3237,21210
123,3237,21109
