,Time,Cost
0,330,68750
1,330,68452
2,330,67952
3,330,67654
4,619,67255
5,670,66957
6,671,61760
7,1212,62876
8,1212,62376
9,1240,59452
10,1240,59053
11,1363,58856
12,1515,57245
13,1515,57250
14,1515,56649
15,1515,56048
16,1516,55750
17,1516,55250
18,1516,54750
19,1539,56472
20,1758,53649
21,1758,53351
22,1759,53154
23,1759,52654
24,1759,52356
25,1759,51856
26,1759,51356
27,1760,50856
28,1760,50760
29,1760,50361
30,1768,49558
31,1805,49260
32,1849,48861
33,1849,48260
34,1849,48164
35,1849,47765
36,1849,47265
37,1849,46765
38,1849,46265
39,1850,45967
40,1851,45871
41,1872,44159
42,1872,43659
43,1872,43058
44,1872,42760
45,1872,42260
46,1918,40952
47,2053,39947
48,2129,42275
49,2130,41775
50,2130,41275
51,2130,40775
52,2130,40376
53,2130,40179
54,2130,39780
55,2131,39583
56,2131,38982
57,2131,38482
58,2131,37881
59,2131,37381
60,2131,36881
61,2150,34765
62,2150,34265
63,2150,33765
64,2170,33063
65,2170,32563
66,2170,32063
67,2170,31563
68,2170,31265
69,2170,30765
70,2171,30265
71,2171,29765
72,2171,29063
73,2172,28563
74,2192,26952
75,2332,26553
76,2402,26154
77,2403,25553
78,2403,25452
79,2403,25351
80,2403,25250
81,2403,25149
82,2520,25048
83,2520,24947
84,2520,24846
85,2520,24745
86,2550,23735
