,Time,Cost
0,489,66119
1,538,66432
2,538,66134
3,538,65432
4,538,65437
5,538,65038
6,538,64740
7,672,61119
8,672,60720
9,672,60927
10,672,60427
11,672,60028
12,672,59326
13,672,58927
14,692,22624
15,763,22624
16,851,22624
17,851,22523
18,1008,22523
19,1062,22422
20,1062,22321
21,1062,22220
22,1062,22119
23,1062,22018
24,1062,21917
25,1062,21816
26,1062,21715
27,1063,21614
28,1063,21513
29,1264,21513
30,1274,21412
31,1297,21109
32,1384,21109
33,1384,21008
34,1553,21008
35,1554,20907
36,1558,20806
37,1657,20806
