,Time,Cost
0,124,66028
1,124,65629
2,124,65230
3,124,65033
4,124,64533
5,438,59932
6,438,59432
7,438,58831
8,438,58432
9,438,58033
10,449,57937
11,449,57841
12,579,58957
13,697,56235
14,697,55735
15,813,55740
16,813,55240
17,814,54740
18,888,54644
19,888,54245
20,914,53038
21,1027,51730
22,1081,52341
23,1134,51336
24,1138,52553
25,1138,52255
26,1138,51654
27,1139,50649
28,1204,48932
29,1204,48831
30,1204,48730
31,1204,48629
32,1204,48528
33,1204,48427
34,1204,48326
35,1204,48225
36,1204,48124
37,1204,48023
38,1204,47624
39,1204,47523
40,1204,47422
41,1275,48841
42,1276,48442
43,1352,47538
44,1508,45018
45,1618,47952
46,1727,45124
47,1727,45023
48,1727,44922
49,1727,44821
50,1739,46139
51,1781,45331
52,1781,45230
53,1781,45129
54,1781,45028
55,1781,44927
56,1783,47154
57,1783,47053
58,1783,46952
59,1783,46851
60,1789,44831
61,1809,43927
62,1809,43427
63,1809,42927
64,1809,42730
65,1809,42432
66,1809,42033
67,1809,41331
68,1809,40831
69,1809,40331
70,1809,40033
71,1809,39533
72,1809,38831
73,1809,38331
74,1809,38033
75,1809,37533
76,1809,37336
77,1810,37139
78,1811,37447
79,1811,36745
80,1811,35745
81,1811,35346
82,1811,34745
83,1811,35255
84,1812,35563
85,1812,35265
86,1841,30922
87,1841,30821
88,1841,30720
89,1841,30619
90,1841,30518
91,1872,31331
92,1893,31230
93,1893,31129
94,1893,30629
95,1893,30230
96,1893,29730
97,1893,29129
98,1893,28831
99,1902,27422
100,1912,27220
101,1912,27119
102,1912,27018
103,1936,29346
104,1936,28846
105,1936,28851
106,1936,28351
107,1936,27851
108,1964,25432
109,1964,24932
110,1965,24634
111,1980,23629
112,2001,23326
113,2001,23225
114,2001,23124
115,2027,23023
116,2028,22922
117,2037,22220
118,2037,22119
119,2037,22018
120,2037,21917
121,2037,21816
122,2037,21715
123,2126,21614
124,2127,21513
125,2282,21412
126,2282,21311
127,2282,21210
128,2386,21109
129,2436,21008
130,2436,20907
131,2436,20806
132,2436,20705
133,2436,20604
134,2736,20503
135,2736,20402
