,Time,Cost
0,156,63937
1,156,63538
2,156,63139
3,269,62033
4,293,58316
5,310,59331
6,310,59235
7,310,58836
8,310,58235
9,310,57735
10,310,57538
11,311,57038
12,417,57548
13,456,54725
14,456,54225
15,456,53725
16,456,53023
17,456,52523
18,456,52225
19,516,52533
20,516,52033
21,548,51937
22,587,53558
23,609,51644
24,639,50033
25,666,50341
26,680,50144
27,680,49644
28,707,22725
29,727,22220
30,727,22119
31,727,22018
32,727,21917
33,727,21816
34,727,21715
35,727,21614
36,727,21513
37,948,21412
38,1219,21311
39,2008,21210
40,2008,21109
41,2009,21008
42,2009,20907
43,3013,20806
44,3327,20705
45,3327,20604
