,Time,Cost
0,556,83452
1,556,82952
2,556,82452
3,1178,82962
4,1178,82462
5,1261,80356
6,1434,77770
7,1434,77270
8,1434,76770
9,1434,76472
10,1434,76073
11,1434,75573
12,1434,75174
13,1434,74775
14,1434,74174
15,1434,73775
16,1434,73275
17,1434,72775
18,1434,72174
19,1434,71674
20,1434,70972
21,1434,70472
22,1434,69972
23,1434,70583
24,1434,70790
25,1435,70290
26,1435,69689
27,1435,69189
28,1435,68487
29,1532,64755
30,1532,64255
31,1532,63755
32,1532,63457
33,1532,62957
34,1532,62558
35,1532,61957
36,1532,61558
37,1532,61058
38,1533,60861
39,1533,60361
40,1533,59361
41,1533,58861
42,1533,58260
43,1533,57760
44,1533,57260
45,1534,56760
46,1534,56260
47,1534,55760
48,1534,55260
49,1534,54760
50,1672,55169
51,1946,54265
52,1953,54169
53,1954,56901
54,1955,56300
55,1955,55598
56,2104,52068
57,2104,51568
58,2104,51371
59,2533,50467
60,2551,50472
61,2551,50073
62,2551,49573
63,2630,49275
64,2793,48977
65,2821,47770
66,2857,47775
67,2857,47275
68,2901,46876
69,2901,46477
70,2901,46078
71,2901,45578
72,2902,44573
73,2902,44073
74,2902,43068
75,2902,42568
76,2947,42371
77,2948,41871
78,2948,41775
79,2948,41376
80,2948,41280
81,2948,40679
82,2948,40179
83,2948,39679
84,2968,39078
85,2968,38578
86,2968,38381
87,2968,37679
88,2968,37179
89,2969,36578
90,2969,36179
91,2969,35679
92,2994,33563
93,2994,33265
94,2994,33068
95,2994,32669
96,2998,31664
97,3059,30861
98,3059,30664
99,3059,29861
100,3059,29563
101,3088,29669
102,3137,28462
103,3138,28063
104,3464,26654
105,3465,26356
106,3465,26058
107,3465,25957
108,3465,25856
109,3465,25755
110,3465,25654
111,3465,25553
112,3465,25452
113,3465,25351
