,Time,Cost
0,236,81654
1,1847,80851
2,2241,70447
3,2241,69947
4,2241,69548
5,2241,69149
6,2597,69558
7,2597,69058
8,2873,66841
9,2952,67351
10,2952,66851
11,3000,66553
12,3068,66962
13,3068,66462
14,3068,65962
15,3068,65462
16,3068,65063
17,3068,64462
18,3114,63962
19,3114,63462
20,3114,63467
21,3114,63068
22,3115,62366
23,3115,61967
24,3170,60154
25,3176,62381
26,3176,62083
27,3316,59664
28,3317,59164
29,3317,58664
30,3317,58164
31,3317,57664
32,3317,57164
33,3317,56664
34,3317,56164
35,3317,55765
36,3317,55669
37,3318,55371
38,3318,54770
39,3318,54169
40,3318,53669
41,3318,52967
42,3319,52063
43,3319,51563
44,3319,51164
45,3319,50462
46,3319,49962
47,3319,49765
48,3320,50275
49,3329,48967
50,3329,48568
51,3329,48068
52,3329,47770
53,3329,47270
54,3420,44548
55,3621,44553
56,3621,44457
57,3621,44058
58,3623,43558
59,3623,43058
60,3623,42861
61,3624,42462
62,3624,42164
63,3624,41866
64,3624,41669
65,3624,41068
66,3625,40770
67,3625,40270
68,3625,39871
69,3625,39371
70,3625,39174
71,3626,38674
72,3626,38275
73,3626,37775
74,3626,37477
75,3626,36876
76,3627,36376
77,3627,35775
78,3627,35174
