,Time,Cost
0,478,80235
1,1205,72326
2,1404,73139
3,1404,72740
4,1405,72846
5,2058,71841
6,2058,71341
7,2058,70942
8,2058,70442
9,2059,71356
10,2059,70856
11,2059,70356
12,2059,70159
13,2059,69962
14,2059,69462
15,2059,68659
16,2060,68260
17,2060,67760
18,2060,67260
19,2135,63932
20,2135,63432
21,2166,62326
22,2166,61826
23,2166,61225
24,2166,60725
25,2166,60225
26,2198,60937
27,2249,61346
28,2249,61149
29,2249,61053
30,2250,60553
31,2250,60154
32,2250,59553
33,2250,59053
34,2251,58755
35,2251,58356
36,2251,57856
37,2251,57154
38,2251,56654
39,2251,56154
40,2251,55957
41,2252,55053
42,2252,54452
43,2252,53952
44,2253,53048
45,2253,52548
46,2253,52149
47,2253,51649
48,2253,51351
49,2481,50649
50,2643,49745
51,2643,49245
52,2643,48947
53,2644,48649
54,2644,48149
55,2644,47649
56,2644,47149
57,2644,46649
58,2677,45240
59,2679,44437
60,2679,43937
61,2679,43437
62,2679,43240
63,2687,23028
64,2728,22119
65,2728,22018
66,2728,21917
67,2728,21816
68,2728,21715
69,2728,21614
70,2728,21513
71,2728,21412
