,Time,Cost
0,201,77346
1,868,75735
2,1101,74442
3,1101,73942
4,1101,73442
5,1102,73144
6,1102,72644
7,1102,72144
8,1102,71543
9,1102,71043
10,1200,70341
11,1288,70245
12,1288,70048
13,1360,70760
14,1655,69351
15,1692,66346
16,1692,65947
17,1692,65447
18,1692,65048
19,1692,64750
20,1704,65765
21,1820,64659
22,1820,64159
23,1820,63861
24,1820,63361
25,1820,62861
26,1820,62563
27,1820,61659
28,1821,60957
29,1843,60053
30,1844,59053
31,1844,58654
32,1844,58356
33,1844,57856
34,1844,57356
35,1844,56755
36,1844,56255
37,1844,55654
38,1844,54952
39,1864,54149
40,1864,53750
41,1909,52846
42,1909,52447
43,1909,51846
44,1909,51346
45,1909,50745
46,1963,50851
47,1963,50351
48,1963,50053
49,1963,49654
50,1963,48851
51,1963,48452
52,1963,47952
53,1963,47452
54,1963,46750
55,1968,24038
56,2184,23937
57,2239,23836
58,2239,23735
59,2239,23634
60,2239,23533
61,2239,23432
62,2239,23331
63,2239,23230
64,2239,23129
65,2789,23028
