,Time,Cost
0,237,69144
1,237,68745
2,237,68346
3,238,67846
4,238,67447
5,378,65048
6,378,64548
7,378,64048
8,428,62538
9,458,62442
10,459,61942
11,459,61442
12,586,64477
13,586,64482
14,586,63881
15,586,63482
16,586,62982
17,586,62482
18,586,61982
19,586,61482
20,586,60881
21,587,60583
22,587,60184
23,587,59583
24,742,56053
25,742,55553
26,742,55053
27,742,54553
28,742,54154
29,742,53755
30,742,53457
31,745,53159
32,745,52760
33,745,52260
34,817,50851
35,817,50351
36,817,49548
37,817,49048
38,818,48548
39,818,48250
40,818,47548
41,946,46543
42,946,46245
43,951,46351
44,1068,46457
45,1193,45755
46,1236,45457
47,1245,43644
48,1245,43245
49,1245,42745
50,1260,42043
51,1333,43664
52,1392,41447
53,1455,40543
54,1467,40144
55,1467,39745
56,1467,39245
57,1467,38745
58,1467,38043
59,1467,37442
60,1467,36942
61,1467,36644
62,1496,36851
63,1634,36351
64,1807,35043
65,1807,34341
66,1807,33841
67,1807,33442
68,1807,32942
69,1808,32341
70,1887,32144
71,1888,32250
72,1888,31750
73,1888,31452
74,1895,30851
75,1895,30452
76,1895,30356
77,1895,29856
78,1895,29457
79,1901,27139
80,1908,28558
81,1908,28058
82,1908,27861
83,1909,27462
84,1909,26861
85,1957,25553
86,1957,25452
87,1957,25351
88,1957,25250
89,1957,25149
90,1957,25048
91,1957,24947
92,1957,24846
93,1957,24745
94,2075,24038
95,2075,23937
96,2075,23836
97,2075,23735
98,2075,23634
99,2075,23533
100,2075,23432
101,2083,23331
102,2139,23230
103,2139,23129
104,2139,23028
105,2773,22927
