,Time,Cost
0,109,53897
1,109,53700
2,128,53402
3,147,52498
4,147,52099
5,147,51498
6,147,51099
7,147,50599
8,154,48579
9,154,48478
10,154,48377
11,154,48276
12,164,48786
13,164,48286
14,164,48089
15,174,47892
16,183,46281
17,184,47195
18,184,46897
19,184,46397
20,195,47210
21,195,46811
22,209,46513
23,214,45003
24,214,44503
25,214,43801
26,214,43200
27,214,43003
28,214,42503
29,214,42003
30,214,41503
31,214,41205
32,214,40705
33,215,40205
34,215,39604
35,215,39104
36,215,38705
37,215,38306
38,218,36493
39,242,18483
40,262,17978
41,262,17877
42,262,17776
43,262,17675
44,262,17574
45,262,17473
46,262,17372
47,321,17271
48,403,17271
49,532,17271
50,532,17170
51,532,17069
52,535,16867
53,535,16766
54,535,16665
55,535,16564
56,535,16463
57,535,16362
58,535,16261
