,Time,Cost
0,40,49559
1,40,49261
2,40,49064
3,40,48564
4,48,47559
5,60,49079
6,61,48579
7,91,46968
8,138,47377
9,141,46271
10,141,45771
11,141,45271
12,141,44771
13,141,44069
14,143,40559
15,143,40458
16,148,42483
17,158,41377
18,158,40877
19,171,41185
20,172,40685
21,173,17776
22,179,17372
23,188,17170
24,188,17069
25,188,16968
26,188,16867
27,188,16766
28,188,16665
29,188,16564
30,188,16463
31,198,16362
32,219,15857
33,219,15756
34,219,15655
35,219,15554
36,219,15453
37,242,15352
38,260,15251
39,260,15150
40,260,15049
