,Time,Cost
0,36,46766
1,36,46569
2,36,46271
3,36,45872
4,36,45372
5,36,44771
6,38,43160
7,54,43064
8,54,42564
9,54,42367
10,54,41867
11,54,41367
12,60,41776
13,77,42286
14,81,41483
15,81,40882
16,96,40988
17,105,39377
18,110,16665
19,116,16564
20,125,16160
21,125,16059
22,125,15958
23,125,15857
24,152,15756
25,152,15655
26,152,15554
27,152,15453
28,213,15352
29,213,15251
30,213,15150
31,260,15049
32,670,14948
33,688,14847
34,940,14746
35,1099,14645
36,1223,14544
37,1456,14443
38,1565,14342
39,1773,14241
40,3250,14140
41,3451,14039
42,3463,13938
43,3477,13837
