,Time,Cost
0,27,53281
1,27,53180
2,27,53079
3,27,52978
4,27,52877
5,36,52882
6,36,52584
7,36,52286
8,36,52190
9,50,51690
10,52,51291
11,52,50993
12,58,51301
13,67,48882
14,67,48382
15,67,47983
16,67,47685
17,68,47084
18,78,47392
19,78,47094
20,85,45584
21,85,44983
22,85,44584
23,85,44185
24,85,43887
25,85,43791
26,86,42079
27,106,18281
28,121,18180
29,156,18079
30,156,17978
31,228,17776
32,228,17675
33,228,17574
34,228,17473
35,228,17372
36,506,17271
37,527,17170
38,557,17069
39,764,16968
40,786,16867
41,817,16766
42,1022,16665
43,1024,16564
44,1025,16463
45,1070,16362
46,1114,16261
47,1582,16160
48,1640,16059
49,1659,15958
50,1729,15857
51,2703,15756
52,3181,15655
53,3503,15554
