,Time,Cost
0,35,49882
1,43,48776
2,50,48478
3,51,49089
4,58,48589
5,58,48594
6,58,48195
7,58,47695
8,58,47195
9,58,46695
10,73,45084
11,73,44584
12,93,43175
13,116,44190
14,128,43589
15,163,42786
16,163,42286
17,163,41685
18,167,43003
19,167,42806
20,167,42205
21,167,41705
22,167,41205
23,167,40705
24,167,40205
25,167,39806
26,167,39306
27,167,38806
28,182,35281
29,201,35387
30,203,35286
31,203,35185
32,203,35084
33,203,34983
34,207,35998
35,207,35700
36,210,34089
37,214,33892
38,214,33392
39,228,32993
40,228,32190
41,228,31690
42,228,30988
43,228,30589
44,229,30089
45,229,29690
46,229,29190
47,238,27680
48,240,27493
49,240,27392
50,240,27291
51,240,27190
52,240,27089
53,240,26988
54,252,26892
55,260,25887
56,260,25286
57,260,24988
58,260,24589
59,261,24291
60,261,23084
61,261,23392
62,273,22286
63,273,21685
64,302,21382
65,302,21281
66,302,21180
67,302,21079
68,302,20978
69,302,20877
70,302,20776
71,302,20675
72,304,21185
73,324,20786
74,335,20690
75,335,19281
76,336,19084
77,336,18685
78,336,18584
79,336,18483
80,336,18382
81,336,18281
82,336,18180
83,336,18079
84,336,17978
85,336,17877
86,336,17776
87,336,17675
88,398,16867
89,417,16766
90,430,16665
91,720,16564
92,858,16463
93,933,16362
94,952,16261
95,1144,16160
96,1311,16059
97,1514,15958
98,2056,15857
99,2609,15756
100,2609,15655
101,3184,15554
102,3267,15453
