,Time,Cost
0,6,36281
1,6,35983
2,6,29822
3,6,29721
4,6,29620
5,6,29519
6,6,22787
7,6,22686
8,6,22585
9,6,22484
10,6,21782
11,6,21383
12,7,20883
13,7,20888
14,7,20489
15,7,20191
16,7,19590
17,7,19191
18,8,18792
19,8,18292
20,8,18398
21,8,17898
22,8,17398
23,8,16797
24,8,16196
25,8,14989
26,8,9090
27,9,8585
28,11,8181
29,15,8080
30,26,7979
31,38,7878
32,39,7777
33,39,7676
34,39,7575
35,58,7474
36,66,7373
37,66,7272
38,67,7171
39,115,7070
40,224,7070
41,312,7070
42,312,6969
43,312,6868
44,426,6868
45,426,6767
46,427,6666
47,427,6565
