,Time,Cost
0,4,21176
1,4,20575
2,4,20075
3,4,19575
4,4,19479
5,4,18979
6,5,18479
7,5,18080
8,5,17580
9,5,17479
10,5,17378
11,5,17383
12,5,22337
13,5,22342
14,5,17595
15,5,17494
16,5,17393
17,5,17292
18,5,16489
19,5,15989
20,5,15489
21,5,15292
22,5,14893
23,5,14595
24,5,13994
25,5,12181
26,6,12893
27,6,12191
28,6,7878
29,6,7676
30,6,7575
31,7,7474
32,7,7373
33,7,7272
34,7,7171
35,17,7070
36,17,6969
37,18,6868
38,35,6767
39,40,6666
40,52,6565
41,77,6464
42,78,6363
43,86,6262
44,119,6161
45,203,6161
46,203,6060
47,308,6060
48,308,5959
49,347,5858
