,Time,Cost
0,5,23984
1,5,23484
2,5,24196
3,5,23696
4,5,23196
5,6,27443
6,6,27448
7,6,27352
8,6,20792
9,6,20292
10,6,20095
11,6,19696
12,6,19297
13,6,18797
14,6,18196
15,6,18201
16,6,17802
17,6,17504
18,6,17206
19,7,16706
20,7,16004
21,7,15605
22,7,15105
23,7,14605
24,7,14004
25,7,13100
26,8,11792
27,8,11292
28,8,9393
29,8,9292
30,8,9191
31,8,9090
32,8,8989
33,8,8686
34,13,8585
35,20,8484
36,23,8383
37,24,8282
38,25,8181
39,29,8080
40,29,7979
41,34,7878
42,47,7777
43,50,7676
44,62,7575
45,63,7474
46,111,7373
47,145,7272
48,146,7171
49,215,7171
50,235,7070
51,283,6969
52,309,6868
53,417,6868
54,492,6868
55,492,6767
56,611,6767
