,Time,Cost
0,114,24590
1,114,24489
2,114,24388
3,114,24287
4,119,23686
5,120,23186
6,120,22787
7,120,22287
8,120,22191
9,122,21792
10,122,21292
11,122,20792
12,123,20292
13,132,9999
14,133,9898
15,133,9797
16,133,9696
17,133,9595
18,133,9494
19,133,9393
20,134,9292
21,135,9191
22,135,9090
23,144,8383
24,145,8282
25,163,8181
26,267,8181
27,294,8080
28,308,7979
29,308,7878
30,308,7777
31,308,7676
32,439,7676
33,442,7575
34,546,7575
35,552,7474
36,598,7373
37,599,7272
38,599,7171
39,599,7070
40,817,7070
41,828,6969
42,880,6868
