,Time,Cost
0,88,25772
1,88,25671
2,88,25570
3,89,25469
4,89,25368
5,90,25267
6,90,24969
7,91,24868
8,114,24681
9,114,24580
10,114,24479
11,114,24378
12,119,24080
13,119,24186
14,119,22474
15,119,23489
16,119,22888
17,120,22489
18,120,21989
19,121,21792
20,122,21191
21,122,20893
22,122,20393
23,124,20196
24,125,19797
25,125,19095
26,129,18292
27,130,17590
28,130,17090
29,132,15176
30,142,8080
31,142,7878
32,142,7777
33,142,7676
34,142,7575
35,142,7474
36,142,7373
37,142,7272
38,142,7171
39,154,7070
40,154,6969
41,357,6868
42,400,6767
43,410,6666
44,548,6565
45,798,6464
46,805,6363
47,848,6262
48,1495,6161
