,Time,Cost
0,25,21080
1,26,28357
2,26,28256
3,26,28155
4,26,28054
5,26,27953
6,26,27852
7,26,27751
8,26,27650
9,26,19873
10,26,19772
11,26,19671
12,26,19570
13,27,20383
14,27,19883
15,27,19383
16,27,18984
17,27,18585
18,27,18186
19,27,18090
20,27,17691
21,27,15777
22,28,16994
23,28,16595
24,28,16196
25,28,15595
26,28,15095
27,28,14595
28,28,13994
29,28,13085
30,28,12984
31,28,12883
32,28,12782
33,28,12681
34,28,12580
35,29,11272
36,29,6969
37,83,6868
38,83,6767
39,166,6767
40,176,6666
41,176,6565
42,265,6565
43,266,6464
44,266,6363
45,266,6262
