,Time,Cost
0,28,30756
1,28,30256
2,28,29756
3,30,22186
4,30,21686
5,31,21287
6,31,20686
7,31,20388
8,36,19989
9,36,19590
10,37,19090
11,37,18590
12,37,18085
13,37,17984
14,37,17883
15,37,17782
16,37,17681
17,37,17580
18,37,18090
19,37,17590
20,37,17191
21,38,16691
22,38,16393
23,38,15994
24,39,15393
25,39,15196
26,39,14696
27,39,14196
28,40,14100
29,40,13600
30,40,13302
31,40,12797
32,40,12696
33,40,12802
34,40,12398
35,40,12403
36,40,10287
37,41,10999
38,41,10600
39,41,10201
40,41,10100
41,41,9999
42,41,9898
43,41,9797
44,41,9696
45,41,9595
46,41,9494
47,42,7979
48,42,7676
49,148,7676
50,148,7575
51,148,7474
52,377,7474
