,Time,Cost
0,5,22883
1,6,26236
2,6,25736
3,6,25236
4,6,24736
5,6,24534
6,6,24433
7,6,23933
8,6,25655
9,6,18590
10,7,18292
11,7,18095
12,7,17797
13,7,17297
14,7,17100
15,7,16600
16,7,16100
17,7,15297
18,7,14898
19,8,8383
20,8,8282
21,8,8181
22,13,8080
23,13,7979
24,13,7878
25,13,7777
26,13,7676
27,13,7575
28,13,7474
29,13,7373
30,13,7272
31,13,7171
32,58,7070
33,123,6969
34,156,6868
35,156,6767
36,231,6767
37,310,6767
38,345,6666
39,523,6666
40,524,6565
41,536,6464
42,666,6464
43,770,6464
44,774,6363
