,Time,Cost
0,4,30337
1,4,29938
2,4,29438
3,5,29751
4,5,29650
5,5,29549
6,5,29448
7,5,29347
8,5,29246
9,5,29145
10,5,29044
11,5,28943
12,5,28842
13,5,28741
14,5,28640
15,5,28539
16,5,28438
17,5,28337
18,5,28236
19,5,28135
20,5,28034
21,5,25913
22,5,25812
23,5,25711
24,5,23590
25,5,23489
26,5,23388
27,5,23287
28,5,23186
29,5,21979
30,5,21479
31,5,21080
32,5,20479
33,5,20080
34,5,19681
35,5,19181
36,5,18681
37,6,18383
38,6,17883
39,6,7676
40,6,7575
41,7,7474
42,7,7373
43,7,7272
44,7,7171
45,7,7070
46,53,6969
47,62,6868
48,96,6767
49,96,6666
50,96,6565
51,158,6565
52,227,6565
53,232,6464
54,279,6363
55,338,6262
56,492,6262
57,535,6161
