,Time,Cost
0,4,30357
1,4,29246
2,4,28746
3,6,22686
4,6,27943
5,6,28049
6,6,20075
7,6,20585
8,6,19984
9,7,19484
10,7,18883
11,7,18484
12,7,18186
13,7,17787
14,7,17388
15,8,16787
16,8,16287
17,8,15888
18,8,15388
19,8,14888
20,8,13984
21,8,13787
22,8,13085
23,8,12989
24,8,12186
25,8,11585
26,9,10277
27,9,10585
28,9,10388
29,9,8181
30,10,7474
31,12,7373
32,20,7272
33,22,7171
34,22,7070
35,22,6969
36,22,6868
37,30,6767
38,30,6666
39,70,6565
40,169,6565
41,169,6464
42,204,6363
43,250,6262
44,251,6161
45,251,6060
46,288,5959
47,438,5959
48,438,5858
