,Time,Cost
0,5,32236
1,5,32135
2,5,32034
3,5,31933
4,5,31832
5,5,31731
6,5,31630
7,5,24484
8,5,23984
9,5,22984
10,5,22883
11,5,22782
12,5,22681
13,5,22580
14,5,22479
15,5,22686
16,5,22388
17,5,21787
18,5,21388
19,6,20484
20,6,19984
21,6,21201
22,6,21100
23,7,20196
24,7,22928
25,7,19797
26,7,19696
27,7,19595
28,7,19494
29,7,18994
30,7,18494
31,7,18393
32,8,21226
33,8,17292
34,8,16893
35,8,8383
36,9,8282
37,10,8181
38,10,8080
39,10,7979
40,10,7878
41,10,7777
42,10,7676
43,10,7575
44,10,7474
45,11,7373
46,41,7272
47,41,7171
48,112,7171
49,163,7070
50,238,7070
51,251,6969
52,371,6969
53,385,6868
54,540,6868
55,660,6868
56,674,6767
57,796,6767
58,796,6666
