,Time,Cost
0,4,29272
1,4,28772
2,4,28575
3,4,32024
4,4,31524
5,4,31024
6,4,30923
7,4,30423
8,4,30024
9,5,25378
10,5,25277
11,5,25176
12,5,25080
13,5,24883
14,5,24383
15,5,26610
16,5,26509
17,5,26408
18,5,26307
19,5,26206
20,5,26105
21,5,26004
22,5,23484
23,5,22984
24,5,22686
25,5,22287
26,5,21787
27,5,21388
28,5,20888
29,5,20388
30,5,20287
31,5,20186
32,5,20292
33,5,19893
34,5,19393
35,5,18893
36,5,18494
37,5,17893
38,5,17393
39,5,16792
40,6,20736
41,6,7171
42,11,7070
43,16,6969
44,21,6868
45,43,6767
46,43,6666
47,43,6565
48,43,6464
49,43,6363
50,230,6363
