,Time,Cost
0,6,24489
1,6,23989
2,6,23691
3,7,23191
4,7,23196
5,7,22696
6,7,22196
7,7,20782
8,7,20681
9,7,20580
10,7,26847
11,7,26751
12,7,26453
13,7,27064
14,7,26261
15,7,19802
16,7,19201
17,7,18701
18,7,18302
19,7,17802
20,7,15585
21,7,17004
22,8,16504
23,8,16004
24,8,14898
25,8,14398
26,8,13999
27,8,9292
28,8,8989
29,8,8888
30,8,8787
31,8,8686
32,8,8585
33,9,8181
34,22,8080
35,38,7878
36,38,7777
37,38,7676
38,49,7575
39,62,7474
40,83,7373
41,180,7373
42,205,7272
43,206,7171
44,239,7070
45,452,7070
46,505,6969
47,535,6868
48,538,6767
49,540,6666
