,Time,Cost
0,4,28817
1,4,28418
2,4,28019
3,4,27519
4,4,27120
5,4,26317
6,4,25918
7,4,25923
8,4,25625
9,4,24721
10,4,24322
11,4,23519
12,4,19580
13,4,19378
14,5,19686
15,5,19287
16,5,18787
17,5,18388
18,5,17888
19,5,17691
20,5,17191
21,5,16893
22,5,16292
23,5,15792
24,5,15393
25,5,14893
26,5,14393
27,5,8080
28,6,7979
29,8,7878
30,8,7777
31,8,7676
32,8,7575
33,10,7474
34,13,7373
35,14,7272
36,14,7171
37,16,7070
38,16,6969
39,16,6868
40,16,6767
41,16,6666
42,16,6565
43,16,6464
44,17,6363
45,17,6262
