,Time,Cost
0,5,23807
1,6,20176
2,6,19974
3,6,19873
4,6,19772
5,6,19671
6,6,19570
7,6,19469
8,6,19368
9,6,19267
10,6,19166
11,6,19065
12,6,18964
13,6,18863
14,6,19474
15,6,19373
16,6,19272
17,6,19171
18,6,19070
19,6,18969
20,6,18868
21,6,18767
22,6,18666
23,6,18565
24,6,18464
25,6,18363
26,6,17863
27,6,24534
28,6,23933
29,6,18080
30,6,22731
31,6,22736
32,7,16984
33,7,16484
34,7,16489
35,7,13969
36,7,7070
37,8,6565
38,40,6464
39,46,6363
40,52,6262
41,65,6161
42,220,6161
43,224,6060
44,272,5959
45,296,5858
46,526,5858
47,550,5757
48,771,5757
