,Time,Cost
0,5,23903
1,5,23302
2,5,22499
3,5,22100
4,5,21196
5,5,20696
6,5,20398
7,5,19085
8,5,18984
9,5,18883
10,5,18782
11,5,18681
12,5,18580
13,5,18479
14,5,18378
15,5,18277
16,5,21009
17,5,20509
18,5,16777
19,5,16479
20,5,15878
21,5,15378
22,5,14878
23,5,14378
24,6,13878
25,6,14186
26,6,14085
27,6,12979
28,6,12580
29,6,12282
30,6,11782
31,6,14918
32,6,10580
33,6,8585
34,7,8282
35,7,8181
36,7,8080
37,7,7979
38,7,7878
39,7,7777
40,7,7676
41,7,7575
42,7,7474
43,7,7373
44,7,7272
45,7,7070
46,21,6969
47,21,6868
48,79,6767
49,107,6666
50,172,6666
51,180,6565
52,362,6565
53,411,6464
54,595,6363
55,720,6363
