,Time,Cost
0,6,22277
1,6,21777
2,6,21277
3,6,20878
4,6,20777
5,6,20676
6,6,20575
7,6,20474
8,6,20373
9,6,20272
10,6,20277
11,6,19772
12,6,24726
13,6,19474
14,6,19373
15,7,19277
16,7,18777
17,7,18176
18,7,18282
19,7,17883
20,7,17181
21,7,16681
22,7,15474
23,7,15681
24,7,15484
25,7,15085
26,7,14484
27,8,13984
28,8,13484
29,8,12883
30,8,7878
31,8,7777
32,11,7474
33,11,7373
34,12,7272
35,12,7171
36,12,7070
37,22,6969
38,23,6868
39,23,6767
40,23,6666
41,23,6565
42,59,6464
43,60,6363
44,63,6262
45,177,6262
