,Time,Cost
0,6,24681
1,8,25898
2,8,25797
3,8,25696
4,10,25403
5,10,24903
6,10,24802
7,10,24701
8,10,24600
9,10,25009
10,10,24908
11,10,24807
12,10,24706
13,10,24605
14,11,25923
15,11,25822
16,11,25721
17,11,25620
18,11,25519
19,12,25418
20,12,25317
21,12,25216
22,13,25115
23,13,25014
24,13,24913
25,13,24812
26,13,24711
27,13,24610
28,14,25726
29,14,25625
30,14,25524
31,15,25423
32,15,25322
33,15,25221
34,15,25120
35,15,25019
36,15,24918
37,15,24817
38,15,24716
39,15,24615
40,15,24514
41,15,24413
42,15,24312
43,15,24211
44,15,24110
45,16,24009
46,16,23807
47,16,23706
48,16,23605
49,17,23504
50,18,23403
51,18,23302
52,18,23201
53,18,23100
54,18,22999
55,18,22898
56,18,22797
57,18,22696
58,20,22595
59,21,24317
60,21,24216
61,21,24115
62,21,24014
63,21,23913
64,22,23812
65,22,23711
66,22,23610
67,22,23509
68,22,23408
69,22,23307
70,22,23206
71,22,23105
72,22,23004
73,22,22903
74,22,22802
75,22,22701
76,23,22600
77,25,23418
78,25,23317
79,25,23216
80,25,23115
81,25,23014
82,25,22913
83,26,22812
84,26,22711
85,27,22610
86,27,22509
87,27,22408
88,27,22307
89,27,22206
90,27,23322
91,27,23221
92,27,23120
93,27,23019
94,27,22918
95,27,22817
96,29,22716
97,29,22615
98,29,23529
99,29,23428
100,29,23327
101,29,23226
102,29,23125
103,29,23024
104,29,22923
105,29,22822
106,29,22721
107,29,22620
108,30,22519
109,30,22418
110,30,22317
111,30,22216
112,30,22115
113,30,22014
114,30,21913
115,30,21812
116,30,21711
117,30,21610
118,30,21509
119,30,21408
120,30,21307
121,30,21206
122,30,21105
123,30,21004
124,30,20903
125,30,20802
126,30,20701
127,30,20600
128,30,20499
129,30,20398
130,30,20297
131,30,20196
132,30,20095
133,30,19994
134,30,19893
135,30,19792
136,30,19691
137,30,19590
138,30,19489
139,30,19388
140,30,19287
141,30,19186
142,30,19085
143,31,18984
144,36,18883
145,36,19797
146,36,19696
147,36,19595
148,36,19494
149,36,19393
150,36,19292
151,37,20206
152,37,20105
153,37,20004
154,37,19903
155,37,19802
156,37,19701
157,37,19600
158,38,19499
159,38,19398
160,38,19297
161,38,19196
162,38,19095
163,38,18994
164,38,18893
165,38,18792
166,38,18691
167,39,20009
168,39,19908
169,39,19807
170,39,19706
171,39,19605
172,40,19504
173,42,19403
174,43,20115
175,43,20014
176,43,19913
177,43,19812
178,43,19711
179,43,19610
180,43,19509
181,43,19615
182,43,19514
183,43,19413
184,43,19312
185,43,19211
186,43,19110
187,44,19009
188,47,17999
189,47,17898
190,47,17797
191,47,17696
192,47,17595
193,47,17494
194,47,17393
195,47,17292
196,50,18206
197,50,18105
198,50,18004
199,50,17903
200,51,17802
201,51,17701
202,51,17201
203,53,17100
204,53,16999
205,53,16898
206,54,18014
207,54,17913
208,54,17812
209,54,17711
210,54,17610
211,54,17509
212,54,17408
213,55,17307
214,55,17206
215,55,17105
216,55,17004
217,55,16903
218,55,16802
219,55,16701
220,55,16600
221,55,16499
222,55,16398
223,55,16297
224,55,16196
225,55,16095
226,55,15994
227,56,15893
228,56,15792
229,57,15691
230,57,15590
231,57,15489
232,57,15388
233,58,15287
234,58,15186
235,58,17110
236,58,17009
237,58,16908
238,58,16807
239,58,16706
240,58,16605
241,58,16504
242,58,16403
243,58,16302
244,60,16201
245,60,16100
246,60,15999
247,60,15898
248,60,15797
249,60,15696
250,60,15595
251,60,15494
252,60,15393
253,61,15292
254,61,15191
255,61,15090
256,61,14989
257,63,14888
258,63,14787
259,63,14893
260,63,14792
261,63,14691
262,63,14590
263,63,14489
264,63,14388
265,64,14287
266,64,14186
267,64,14085
268,66,15605
269,66,15504
270,66,15403
271,66,15302
272,66,15201
273,66,15100
274,67,14999
275,67,14898
276,67,14797
277,67,14696
278,67,14595
279,67,14494
280,67,14393
281,68,14292
282,68,14191
283,68,14090
284,73,13989
285,73,13888
286,73,13787
287,73,13686
288,73,13585
289,73,13484
290,73,13383
291,73,13282
292,73,13181
293,74,13080
294,74,12979
295,74,12878
296,77,14499
297,77,14398
298,77,14297
299,77,14196
300,79,14095
301,79,13994
302,79,13893
303,79,13792
304,79,13691
305,79,13590
306,79,13489
307,79,13388
308,79,13287
309,79,13186
310,79,13085
311,79,12984
312,80,12883
313,80,12782
314,80,12681
315,80,12580
316,80,12479
317,80,12378
318,80,12277
319,81,14504
320,81,14403
321,82,14302
322,83,14201
323,85,14100
324,87,13999
325,87,13898
326,87,13797
327,87,13696
328,87,13595
329,88,13494
330,89,13903
331,89,13802
332,89,13701
333,89,13600
334,89,13499
335,90,13398
336,91,13297
337,91,13196
338,91,13095
339,91,12994
340,91,12893
341,91,12792
342,91,12691
343,91,12590
344,91,12489
345,92,14413
346,92,14312
347,92,14211
348,92,14110
349,92,14009
350,94,13908
351,94,13807
352,95,13706
353,95,13605
354,95,13504
355,95,13403
356,95,13302
357,95,13201
358,95,13100
359,95,12999
360,95,12898
361,95,14418
362,95,14317
363,95,14216
364,95,14115
365,95,14014
366,95,13913
367,95,13812
368,96,13711
369,96,13610
370,96,13509
371,96,13408
372,96,13307
373,96,13206
374,96,13105
375,96,13004
376,96,12903
377,97,12802
378,97,12701
379,98,12499
380,98,12398
381,98,12297
382,98,12196
383,98,12095
384,98,11994
385,98,11893
386,98,11792
387,98,11691
388,98,11590
389,98,11489
390,98,11388
391,98,11287
392,98,11186
393,98,11085
394,98,10984
395,98,10883
396,98,10782
397,98,10681
398,98,10580
399,98,10479
400,98,10378
401,108,10277
402,121,10176
403,122,10075
404,123,11393
405,125,11292
406,125,11191
407,125,11090
408,126,10989
409,126,10888
410,129,10787
411,130,11499
412,131,11398
413,131,11095
414,131,10994
415,131,10893
416,131,10792
417,131,10691
418,131,10590
419,132,10489
420,133,10388
421,133,10287
422,133,10186
423,133,10085
424,133,9984
425,133,9883
426,133,9782
427,133,9681
428,133,9580
429,133,9479
430,133,9378
431,135,9277
432,137,9176
433,137,9075
434,162,10494
435,162,10393
436,162,10292
437,162,10191
438,162,10090
439,162,9989
440,162,9888
441,163,9787
442,163,9686
443,164,9585
444,164,9484
445,164,9383
446,164,9282
447,164,9181
448,164,9080
449,165,8979
450,165,8878
451,165,8777
452,165,8676
453,166,8575
454,166,8474
455,209,10499
456,209,10398
457,209,10297
458,209,10196
459,209,10095
460,210,9994
461,210,9893
462,211,9792
463,213,9691
464,213,9590
465,213,9489
466,213,9388
467,213,9287
468,213,9186
469,214,9085
470,214,8984
471,215,8883
472,215,8782
473,224,8681
474,231,8580
475,231,8479
476,294,8378
477,296,8277
478,305,8176
479,312,8075
480,324,7974
481,324,7873
482,342,7772
483,358,7671
484,477,9494
485,477,9393
486,477,9292
487,477,9191
488,477,9090
489,479,8989
490,479,8888
491,479,8787
492,479,8686
493,479,8585
494,479,8484
495,479,8383
496,479,8282
497,479,8181
498,486,8080
499,488,7979
500,488,7878
501,489,7777
502,510,7676
503,512,7575
504,513,7474
505,513,7373
506,516,7272
507,517,7171
508,517,7070
509,521,6969
510,522,6868
511,522,6767
512,522,6666
513,522,6565
514,522,6464
515,522,6363
