,Time,Cost
0,5,19575
1,8,21297
2,8,21196
3,8,21095
4,8,20994
5,8,20893
6,9,20792
7,9,20691
8,9,22413
9,9,22312
10,9,22211
11,9,22110
12,9,22009
13,9,22519
14,9,22418
15,9,22317
16,9,22216
17,9,22115
18,9,22014
19,9,21913
20,10,21812
21,10,21711
22,10,21610
23,10,21509
24,10,21408
25,10,21307
26,10,21206
27,10,21105
28,10,21004
29,10,20903
30,10,20802
31,10,20701
32,10,20600
33,10,20499
34,11,21918
35,11,21817
36,11,21716
37,11,21615
38,11,21514
39,11,21413
40,11,21312
41,12,21211
42,12,21110
43,12,21009
44,12,20908
45,12,20807
46,12,20706
47,12,20605
48,12,20504
49,12,20403
50,12,20302
51,12,20201
52,12,20100
53,12,19999
54,12,19898
55,12,19797
56,12,19696
57,13,19595
58,13,19494
59,13,19393
60,13,19292
61,13,19191
62,13,19090
63,17,18989
64,17,18888
65,18,20711
66,18,20610
67,18,20509
68,18,20408
69,18,20307
70,18,20206
71,19,20105
72,19,20004
73,19,19903
74,19,19802
75,19,19701
76,21,19504
77,21,19403
78,21,19302
79,21,19201
80,21,19100
81,21,18999
82,22,18898
83,22,18797
84,22,18696
85,22,18595
86,22,18494
87,22,18393
88,22,18292
89,22,18191
90,22,18090
91,22,17989
92,23,17888
93,23,17787
94,23,17686
95,23,17585
96,23,17484
97,23,17383
98,24,17282
99,26,17181
100,27,17080
101,28,16979
102,29,18499
103,29,18398
104,29,18297
105,29,18196
106,29,18095
107,31,17994
108,31,17893
109,31,17792
110,31,17691
111,31,17590
112,31,17489
113,32,17388
114,32,17287
115,32,17090
116,32,16989
117,33,16888
118,33,16787
119,33,16686
120,34,17701
121,34,17600
122,34,17499
123,34,17398
124,34,17297
125,35,17196
126,35,17095
127,35,16994
128,36,16893
129,37,17706
130,37,17605
131,38,18216
132,38,18115
133,38,18014
134,38,17913
135,38,16499
136,38,16398
137,38,16297
138,38,16196
139,38,16095
140,38,15994
141,38,15893
142,38,15792
143,38,15691
144,38,15590
145,39,15489
146,39,15388
147,39,15287
148,39,15186
149,41,15085
150,42,14984
151,44,15999
152,44,15898
153,44,15797
154,44,15696
155,44,15595
156,44,15494
157,46,15393
158,47,16004
159,47,15903
160,47,15802
161,47,15701
162,47,16009
163,47,15908
164,48,15807
165,48,15706
166,48,15605
167,48,15504
168,48,15403
169,48,15302
170,48,15201
171,48,15100
172,50,14999
173,50,14898
174,50,14797
175,50,14696
176,50,14595
177,50,14494
178,50,14393
179,50,14292
180,50,14191
181,52,14090
182,52,15408
183,52,15307
184,52,15206
185,52,15105
186,52,15004
187,52,14903
188,52,14802
189,52,14701
190,52,14600
191,52,14499
192,52,14398
193,52,14297
194,52,14196
195,52,14095
196,52,13994
197,53,13893
198,53,13792
199,53,13691
200,53,13590
201,53,13489
202,53,13388
203,53,13287
204,53,13186
205,54,13085
206,54,12984
207,54,12883
208,55,14908
209,55,14807
210,56,14706
211,56,14605
212,56,14504
213,56,14403
214,57,14302
215,57,14201
216,57,14100
217,57,13999
218,57,13898
219,57,13797
220,57,13696
221,57,13595
222,57,13494
223,57,13393
224,57,13292
225,58,13191
226,58,13090
227,58,12989
228,58,12888
229,58,12787
230,58,12686
231,58,12585
232,58,12484
233,58,12383
234,58,12282
235,58,12181
236,58,12080
237,58,11979
238,58,11878
239,58,11777
240,60,13297
241,60,13196
242,60,13095
243,60,12994
244,60,12893
245,60,12792
246,61,12691
247,62,12590
248,62,12489
249,62,12388
250,62,12287
251,62,12186
252,62,12085
253,62,11984
254,62,11883
255,62,11782
256,62,11681
257,66,12797
258,66,12696
259,66,12595
260,66,12494
261,66,12393
262,66,12292
263,66,12191
264,66,12090
265,66,11989
266,67,11888
267,67,11787
268,67,11686
269,67,11585
270,67,11484
271,67,11383
272,69,11282
273,70,11181
274,72,11080
275,72,10979
276,75,10878
277,76,10777
278,76,10676
279,77,10575
280,77,10474
281,77,10373
282,77,10272
283,77,10171
284,77,10070
285,77,9969
286,77,9868
287,77,9767
288,80,11186
289,80,11085
290,80,10984
291,80,10883
292,84,11494
293,84,11393
294,84,11292
295,84,11196
296,84,11095
297,84,10994
298,84,10893
299,85,10792
300,86,10691
301,86,10590
302,86,10489
303,86,10388
304,86,10287
305,86,10186
306,86,10085
307,86,9984
308,86,9686
309,86,9585
310,86,9484
311,87,9383
312,88,9282
313,88,9181
314,88,9080
315,88,8979
316,88,8878
317,88,8777
318,88,8676
319,88,8575
320,89,8474
321,90,8373
322,98,9893
323,98,9792
324,98,9691
325,98,9590
326,98,9489
327,98,9388
328,98,9287
329,98,9186
330,100,9085
331,101,8984
332,101,8883
333,101,8782
334,102,8681
335,102,8580
336,102,8479
337,102,8378
338,103,8277
339,118,8176
340,124,8075
341,127,7974
342,132,7873
343,135,7772
344,136,7671
345,136,7570
346,180,7469
347,214,7368
348,297,8989
349,297,8888
350,298,8787
351,298,8686
352,298,8585
353,298,8484
354,298,8383
355,298,8282
356,300,8080
357,300,7979
358,300,7878
359,300,7777
360,300,7676
361,300,7575
362,300,7474
363,300,7373
364,300,7272
365,300,7171
366,300,7070
367,300,6969
368,300,6868
369,411,6767
370,420,6666
371,421,6565
372,1059,6464
373,1170,6363
374,3419,6262
375,3431,6161
