,Time,Cost
0,5,28686
1,5,28585
2,5,28484
3,5,28383
4,6,28706
5,6,28605
6,6,28504
7,6,28403
8,6,28302
9,6,28201
10,6,28100
11,7,27999
12,7,27898
13,7,27797
14,7,27696
15,7,27595
16,7,27494
17,7,27196
18,7,27095
19,7,26994
20,7,26595
21,7,26494
22,7,25994
23,7,25893
24,8,27918
25,8,27817
26,8,27716
27,8,27615
28,8,27514
29,8,27413
30,8,28024
31,9,27317
32,9,27216
33,9,27115
34,9,27014
35,9,26913
36,9,26812
37,9,26711
38,9,26610
39,9,26509
40,9,26408
41,9,26307
42,9,26206
43,11,26105
44,11,26004
45,11,25903
46,11,25802
47,11,25908
48,11,25807
49,11,25706
50,11,25605
51,11,25504
52,12,25403
53,12,25509
54,12,25408
55,12,25307
56,12,25206
57,12,25105
58,12,25004
59,13,25110
60,13,25009
61,13,24908
62,13,23908
63,13,23807
64,13,23706
65,13,23605
66,13,23408
67,13,23307
68,13,23206
69,13,23105
70,13,23004
71,13,22903
72,13,22802
73,13,22701
74,13,22600
75,13,22499
76,13,22398
77,13,22297
78,14,22908
79,14,22807
80,14,22706
81,14,22605
82,14,22504
83,14,22403
84,16,22302
85,16,22201
86,18,22100
87,18,21999
88,18,21898
89,18,21797
90,18,21696
91,18,21595
92,18,21494
93,18,21393
94,18,21292
95,18,21191
96,18,21090
97,20,20989
98,22,22206
99,22,22105
100,22,22004
101,22,21903
102,22,21802
103,22,21701
104,22,21600
105,22,21499
106,22,21398
107,22,21297
108,23,21196
109,23,21095
110,23,20994
111,23,20893
112,23,20792
113,23,20691
114,23,20590
115,23,20489
116,24,20388
117,24,20287
118,27,21100
119,27,20999
120,27,20898
121,30,22418
122,30,22317
123,30,22216
124,30,22115
125,30,22014
126,30,21913
127,30,21812
128,30,21711
129,30,21610
130,30,21509
131,30,21408
132,31,21307
133,31,21206
134,31,21105
135,31,21004
136,31,20903
137,31,20802
138,32,20701
139,32,20600
140,32,20499
141,32,20398
142,34,20605
143,34,20504
144,34,20403
145,35,20302
146,35,20201
147,35,20100
148,36,19999
149,36,19898
150,36,19797
151,36,19696
152,36,19595
153,36,19494
154,36,19393
155,36,19292
156,36,19191
157,38,20711
158,38,20610
159,38,20509
160,38,20408
161,38,20307
162,38,20206
163,41,20105
164,41,20004
165,41,19903
166,41,19802
167,41,19701
168,41,19600
169,41,19499
170,41,19398
171,41,19297
172,41,19196
173,41,19095
174,41,18994
175,41,18893
176,41,18792
177,41,18691
178,41,18590
179,41,18489
180,41,18388
181,41,18287
182,41,18186
183,41,18085
184,42,17984
185,42,17883
186,42,17782
187,43,17681
188,56,17580
189,56,17479
190,57,19302
191,57,19201
192,59,19100
193,59,18999
194,60,20317
195,60,20216
196,60,20115
197,60,20014
198,60,19913
199,60,19812
200,60,19711
201,60,19610
202,60,19509
203,60,19408
204,60,19307
205,60,19206
206,60,19105
207,60,19004
208,60,18903
209,60,18802
210,60,18701
211,60,18600
212,60,18499
213,60,18398
214,61,18297
215,62,18196
216,62,18095
217,62,17994
218,62,17893
219,62,17792
220,62,17691
221,62,17590
222,62,17489
223,62,17388
224,62,17287
225,62,17186
226,62,17085
227,74,18201
228,74,18100
229,74,17999
230,74,17898
231,74,17797
232,74,17696
233,76,18711
234,76,18610
235,76,18509
236,76,18408
237,76,18307
238,76,18206
239,76,18105
240,76,18004
241,77,17903
242,77,17802
243,77,17701
244,77,17600
245,77,17499
246,77,17398
247,77,17297
248,77,17196
249,78,17095
250,78,16994
251,78,16893
252,78,16792
253,78,16691
254,78,16590
255,78,16489
256,78,16388
257,78,16287
258,82,16186
259,82,16085
260,82,15984
261,82,15883
262,94,15782
263,96,15681
264,128,17201
265,128,17100
266,128,16999
267,128,16898
268,128,16797
269,133,16696
270,136,16595
271,136,16494
272,136,16393
273,139,16292
274,140,16191
275,140,16090
276,141,15989
277,141,15888
278,141,15787
279,143,15686
280,150,17509
281,150,17408
282,150,17307
283,150,17206
284,150,17105
285,150,17004
286,150,16903
287,151,17817
288,151,17716
289,151,17615
290,151,17514
291,152,17413
292,152,17312
293,152,17211
294,152,17110
295,152,17009
296,152,16908
297,152,16807
298,152,16706
299,152,16605
300,152,16504
301,152,16403
302,152,16302
303,153,16201
304,153,16100
305,153,15999
306,155,15898
307,155,15797
308,161,15696
309,161,15595
310,161,15494
311,161,15393
312,161,15292
313,162,15191
314,163,15090
315,163,14989
316,167,14888
317,167,14787
318,167,14686
319,168,14585
320,168,14484
321,169,15701
322,169,15600
323,170,15499
324,170,15398
325,170,15297
326,170,15196
327,170,15095
328,170,14994
329,170,14893
330,170,14792
331,170,14691
332,170,14590
333,171,15807
334,171,15706
335,171,15605
336,171,15504
337,171,15403
338,171,15302
339,171,15201
340,172,15100
341,172,14797
342,172,14696
343,172,14595
344,172,14494
345,172,14393
346,172,14292
347,172,14191
348,172,14090
349,173,15004
350,173,14903
351,173,14802
352,174,14701
353,174,14600
354,174,14499
355,174,14398
356,174,14297
357,174,14196
358,174,14095
359,174,13994
360,174,13893
361,174,13792
362,174,13691
363,174,13590
364,175,13489
365,179,14706
366,179,14605
367,179,14504
368,179,14403
369,179,14302
370,181,14100
371,181,13999
372,181,13898
373,181,13797
374,181,13696
375,181,13595
376,181,13494
377,181,13393
378,181,13292
379,182,13191
380,186,13090
381,186,12989
382,186,12888
383,187,12787
384,187,12686
385,189,14004
386,189,13903
387,189,13802
388,189,13701
389,189,13600
390,189,13499
391,189,13398
392,189,13297
393,191,13196
394,193,13095
395,193,12994
396,193,12893
397,193,12792
398,193,12691
399,193,12590
400,193,12489
401,193,12388
402,193,12287
403,193,12186
404,199,12085
405,205,11984
406,207,11883
407,207,11782
408,220,11681
409,220,11580
410,221,11479
411,221,11378
412,240,12696
413,241,12494
414,241,12393
415,241,12292
416,241,12191
417,241,12090
418,241,11989
419,241,11888
420,241,11787
421,241,11686
422,241,11585
423,261,11484
424,261,11383
425,262,11282
426,278,11181
427,279,11080
428,281,10979
429,315,12802
430,315,12701
431,315,12600
432,317,12499
433,317,12398
434,317,12297
435,317,12196
436,317,12095
437,317,11994
438,317,11893
439,317,11792
440,317,11691
441,318,11590
442,318,11489
443,318,11388
444,318,11287
445,318,11186
446,318,11085
