,Time,Cost
0,4,21772
1,4,21671
2,4,21570
3,4,21469
4,4,21368
5,4,21267
6,6,22080
7,6,21979
8,6,21878
9,6,21777
10,6,21676
11,7,21575
12,7,21474
13,8,23297
14,8,23196
15,8,23095
16,8,22994
17,8,22893
18,8,22792
19,8,22691
20,8,22590
21,8,22489
22,8,22388
23,8,22287
24,8,22186
25,9,21292
26,9,21191
27,9,21090
28,9,20989
29,9,20792
30,9,20691
31,9,20590
32,9,20489
33,9,20388
34,9,20287
35,10,21201
36,10,21100
37,10,20999
38,10,20898
39,10,20797
40,10,20696
41,10,20595
42,10,20494
43,10,20393
44,11,20292
45,11,20191
46,11,20090
47,11,19989
48,11,19888
49,11,19787
50,11,19686
51,11,19585
52,11,19484
53,11,19383
54,12,19282
55,12,19181
56,13,20802
57,13,20701
58,13,20600
59,13,20499
60,13,20398
61,13,20297
62,13,20196
63,13,20095
64,13,19994
65,13,19893
66,14,20913
67,14,20812
68,14,20711
69,14,20610
70,14,20509
71,15,20408
72,15,20307
73,15,20206
74,15,20105
75,15,20004
76,15,19903
77,15,19802
78,15,19701
79,16,19600
80,16,19499
81,16,19504
82,16,19403
83,16,19302
84,16,19201
85,16,19100
86,16,18999
87,16,18898
88,17,18797
89,17,18696
90,17,18499
91,17,18398
92,17,18201
93,17,18100
94,17,17999
95,17,17898
96,18,18408
97,18,18307
98,18,18206
99,18,18105
100,18,18004
101,18,17903
102,18,17802
103,18,17701
104,18,17600
105,18,17499
106,18,17398
107,18,17297
108,18,17196
109,19,18110
110,19,18009
111,19,17908
112,19,17807
113,19,17706
114,19,17605
115,19,17504
116,19,17403
117,19,17302
118,19,17201
119,19,17100
120,19,16999
121,20,16898
122,20,16797
123,20,16696
124,20,16595
125,20,16494
126,20,16393
127,21,16292
128,22,16191
129,22,16090
130,22,15989
131,22,15888
132,22,15787
133,22,15686
134,23,15585
135,23,15484
136,23,15383
137,23,15282
138,23,15181
139,23,15080
140,27,16600
141,27,16499
142,27,16398
143,27,16297
144,27,16196
145,27,16095
146,28,15994
147,28,15893
148,28,15792
149,28,15691
150,28,15590
151,28,15489
152,28,15388
153,28,15287
154,28,15186
155,29,15085
156,29,14984
157,29,14883
158,31,14782
159,33,14681
160,33,14580
161,35,15999
162,35,15898
163,35,15797
164,35,15297
165,35,15196
166,35,15095
167,35,14994
168,36,14893
169,36,14792
170,36,14691
171,37,14590
172,37,14489
173,37,14388
174,37,14287
175,37,14186
176,38,13984
177,38,13883
178,38,13782
179,39,13681
180,39,13580
181,39,13479
182,39,13378
183,40,13277
184,40,13176
185,41,13989
186,41,13888
187,41,13787
188,41,13686
189,41,13585
190,42,13484
191,42,13383
192,42,13282
193,43,13181
194,43,13080
195,43,12979
196,43,12878
197,43,12777
198,44,12676
199,44,12575
200,44,12474
201,48,12373
202,49,12272
203,50,12171
204,51,12070
205,51,11969
206,51,11868
207,58,14196
208,58,14095
209,58,13994
210,58,13893
211,58,13792
212,58,13595
213,59,13494
214,60,13393
215,60,13292
216,60,13191
217,61,13090
218,61,12989
219,61,12888
220,61,12787
221,61,12686
222,61,12585
223,61,12484
224,61,12383
225,61,12282
226,61,12181
227,61,12080
228,64,12186
229,64,12085
230,64,11984
231,64,11883
232,64,11782
233,64,11681
234,64,11580
235,64,11479
236,64,11378
237,65,11277
238,65,11176
239,75,11075
240,75,10974
241,75,10873
242,76,10772
243,76,10671
244,76,10570
245,84,10469
246,84,10368
247,95,10267
248,103,10166
249,108,10065
250,118,9964
251,124,11888
252,124,11787
253,124,11686
254,124,11585
255,124,11484
256,124,11383
257,124,11282
258,124,11181
259,124,11080
260,125,10979
261,127,10878
262,130,10777
263,134,10676
264,139,10575
265,139,10474
266,139,10075
267,139,9974
268,139,9873
269,141,9772
270,141,9671
271,141,9570
272,142,9469
273,149,9368
274,154,11090
275,154,10989
276,154,10888
277,155,10787
278,156,10686
279,156,10585
280,156,10484
281,156,10383
282,156,10181
283,156,10080
284,156,9979
285,156,9878
286,156,9777
287,156,9676
288,156,9575
289,157,9474
290,159,9373
291,159,9272
292,159,9171
293,159,9070
294,159,8969
295,159,8868
296,159,8767
297,159,8666
298,187,8565
299,187,8464
300,187,8363
301,187,9479
302,187,9378
303,187,9277
304,187,9176
305,187,9075
306,188,8974
307,188,8873
308,189,8772
309,189,8671
310,189,8570
311,190,8469
312,190,8368
313,190,8267
314,191,8166
315,191,8065
316,191,7964
317,235,9484
318,235,9383
319,235,9282
320,235,9181
321,236,9080
322,236,8979
323,236,8878
324,236,8777
325,236,8676
326,236,8575
327,236,8474
328,236,8373
329,257,8272
330,259,8171
331,259,8070
332,277,7969
333,295,7868
334,295,7767
335,343,7666
336,344,7565
337,363,7464
338,364,7363
339,368,7262
340,370,7161
341,401,9186
342,401,9085
343,401,8984
344,401,8883
345,402,8782
346,402,8681
347,402,8580
348,402,8479
349,402,8378
350,402,8277
351,404,8176
352,405,8075
353,407,7974
354,407,7873
355,408,7772
356,409,7671
357,409,7570
358,409,7469
359,409,7368
360,409,7267
361,409,7166
362,409,7065
363,409,6964
364,409,6863
365,409,6762
366,409,6661
367,409,6560
368,648,7878
369,650,7777
370,650,7676
371,650,7575
372,650,7474
373,650,7373
374,651,7272
375,651,7171
376,651,7070
377,651,6969
378,659,6868
379,662,6767
380,668,6666
381,668,6565
382,679,6464
383,729,6363
384,779,6262
385,779,6161
386,922,6060
387,1917,5959
388,1929,5858
389,1929,5757
390,2715,5656
