,Time,Cost
0,5,30878
1,5,30777
2,6,29696
3,6,29595
4,6,29494
5,6,29393
6,6,29292
7,6,28994
8,6,28893
9,6,28792
10,6,28691
11,6,28292
12,6,28191
13,6,28090
14,6,27989
15,6,27888
16,7,27701
17,7,27600
18,7,27499
19,7,27398
20,7,27297
21,7,27196
22,7,27095
23,8,27908
24,8,27807
25,8,27706
26,8,27605
27,8,27504
28,8,27403
29,9,26519
30,9,26418
31,9,26317
32,9,26216
33,9,26115
34,9,26014
35,9,25913
36,9,25812
37,9,26120
38,9,26019
39,9,25918
40,9,25817
41,9,25716
42,9,25615
43,9,25514
44,9,25413
45,9,25312
46,9,25211
47,9,25110
48,9,25009
49,9,24908
50,9,24807
51,9,24706
52,9,24605
53,9,24504
54,9,24403
55,9,24302
56,9,24201
57,10,24004
58,10,23903
59,10,23802
60,10,23701
61,10,23600
62,10,23499
63,10,23398
64,11,24514
65,11,24413
66,11,24312
67,11,24211
68,11,24110
69,11,24009
70,11,23908
71,12,23807
72,13,23408
73,13,23307
74,13,22908
75,13,22807
76,13,22706
77,13,22605
78,13,22504
79,13,22403
80,13,22302
81,13,22201
82,13,22100
83,13,21999
84,13,21898
85,13,21797
86,13,22711
87,13,22610
88,13,22509
89,13,22408
90,13,22307
91,13,22206
92,13,22105
93,13,22004
94,13,21903
95,13,21802
96,13,21701
97,13,21600
98,13,21499
99,13,21398
100,13,21297
101,13,21196
102,13,21095
103,13,20994
104,13,20893
105,13,20792
106,13,20691
107,13,20590
108,13,20489
109,17,20388
110,17,20287
111,17,20186
112,17,20085
113,17,19984
114,17,19883
115,18,19782
116,20,19681
117,20,19787
118,20,19686
119,20,19585
120,20,19484
121,20,19383
122,21,20499
123,21,20398
124,21,20297
125,22,20196
126,22,20095
127,24,19994
128,24,19893
129,24,19792
130,24,19691
131,24,19590
132,24,19489
133,24,19388
134,24,19287
135,25,20403
136,25,20302
137,25,20201
138,25,20100
139,25,19999
140,26,19898
141,26,19797
142,26,19696
143,26,19595
144,26,19494
145,27,19393
146,27,19292
147,28,19191
148,29,19196
149,29,19095
150,29,18994
151,29,18893
152,29,18792
153,29,18691
154,29,18590
155,29,18489
156,29,18388
157,29,18287
158,29,18186
159,29,18085
160,29,17984
161,29,17883
162,30,17782
163,30,19504
164,30,19403
165,30,19302
166,31,19201
167,31,19100
168,31,18999
169,31,18898
170,31,18797
171,32,18696
172,32,19711
173,32,19610
174,32,19509
175,32,19408
176,32,19307
177,32,19206
178,32,18807
179,32,18706
180,33,18302
181,33,18201
182,33,18100
183,33,17999
184,33,17898
185,33,17797
186,33,17696
187,33,17595
188,33,17494
189,34,17393
190,34,17191
191,34,17090
192,34,16989
193,34,16888
194,35,16787
195,35,16686
196,35,16585
197,35,16484
198,37,16383
199,37,16282
200,37,16181
201,37,16080
202,37,15979
203,37,15878
204,37,15777
205,40,15676
206,58,17398
207,58,17297
208,58,17196
209,58,17095
210,58,16994
211,58,16893
212,58,16792
213,58,16691
214,59,16590
215,59,16489
216,60,16388
217,60,16287
218,60,16186
219,61,16085
220,61,15984
221,61,15883
222,61,15782
223,61,15681
224,61,15580
225,62,15479
226,70,15378
227,70,15277
228,70,15176
229,70,15075
230,76,17201
231,76,17100
232,76,16999
233,76,16898
234,76,16797
235,76,16696
236,76,16595
237,76,16494
238,76,16393
239,76,16292
240,76,16191
241,76,16090
242,76,15989
243,77,15888
244,77,15787
245,77,15686
246,77,15585
247,77,15484
248,80,15383
249,85,15282
250,88,16196
251,89,16095
252,89,15994
253,89,15893
254,92,15792
255,92,15691
256,92,15590
257,92,15489
258,92,15388
259,92,15287
260,92,15186
261,92,15085
262,93,14984
263,93,14883
264,93,14782
265,94,14681
266,94,14580
267,94,14479
268,99,16201
269,99,16100
270,99,15999
271,99,15898
272,99,15797
273,100,15696
274,100,15595
275,100,15494
276,100,15393
277,100,15292
278,100,15191
279,101,15090
280,101,14989
281,101,14888
282,104,14787
283,104,14686
284,104,14585
285,104,14484
286,104,14383
287,104,14282
288,104,14181
289,104,14080
290,104,13979
291,104,13878
292,104,13777
293,104,13676
294,104,13575
295,104,13474
296,104,13373
297,131,14287
298,131,14186
299,131,14085
300,131,13984
301,131,15100
302,131,14999
303,131,14898
304,131,14797
305,131,14696
306,131,14595
307,131,14494
308,132,14393
309,132,14292
310,132,14191
311,133,14090
312,133,13989
313,133,13888
314,133,13787
315,133,13686
316,133,13585
317,133,13484
318,133,13383
319,134,13282
320,135,13181
321,137,13080
322,137,12979
323,140,12878
324,145,12777
325,145,12676
326,145,12575
327,146,12474
328,146,13489
329,146,13388
330,146,13287
331,146,13186
332,146,13085
333,148,12984
334,149,12883
335,150,12782
336,150,12681
337,150,12580
338,150,12479
339,151,12378
340,151,12277
341,160,13797
342,160,13595
343,160,13494
344,160,13393
345,160,13292
346,160,13191
347,161,14004
348,161,13903
349,161,13802
350,161,13701
351,161,13600
352,161,13499
353,161,13398
354,161,13297
355,161,13196
356,161,13095
357,161,12994
358,162,12893
359,162,12792
360,162,12691
361,162,12590
362,162,12489
363,162,12388
364,162,12287
365,162,12186
366,163,12085
367,164,11984
368,164,11883
369,165,11782
370,165,11681
371,165,11580
372,165,11479
373,165,11378
374,173,11277
375,173,11176
376,173,11075
377,177,10974
378,178,10873
379,187,10772
380,203,12696
381,203,12595
382,203,12494
383,203,12393
384,204,12292
385,204,12191
386,204,12090
387,204,11989
388,204,11888
389,204,11787
390,205,11686
391,206,11585
392,206,11484
393,207,11383
394,207,11282
395,209,12196
396,209,12095
397,209,11994
398,209,11893
399,209,11792
400,209,11691
401,209,11590
402,209,11489
403,212,11388
404,212,11287
405,212,11186
406,213,11085
407,213,10984
408,215,10883
409,215,10782
410,217,10681
411,217,10580
412,219,10479
413,221,10378
414,222,10277
415,222,11696
416,222,11595
417,222,11494
418,222,11393
419,222,11292
420,222,11191
421,222,11090
422,222,10989
423,222,10888
424,223,10787
425,223,10686
426,223,10585
427,223,10484
428,223,10383
429,223,10282
430,223,10181
431,224,10080
432,232,9979
433,232,9878
434,234,9777
435,238,9676
436,238,9575
437,238,9474
438,256,10590
439,256,10489
440,256,10388
441,256,10287
442,256,10186
443,257,10085
444,257,9984
445,257,9883
446,257,9782
447,257,9681
448,257,9580
449,289,9479
450,291,9378
451,296,9277
452,300,9176
453,301,9075
454,312,10090
455,313,9989
456,314,9888
457,314,9787
458,314,9686
459,315,9585
460,315,9484
461,315,9383
462,315,9282
463,315,9181
464,315,9080
465,315,8979
466,315,8878
467,315,8777
468,316,8676
469,316,8575
470,316,8474
471,316,8373
472,316,8272
473,331,8171
474,367,10499
475,367,10398
476,368,10297
477,368,10196
478,368,10095
479,368,9994
480,368,9893
481,369,9792
482,369,9691
483,369,9590
484,369,9489
485,369,9388
486,369,9287
487,370,9186
488,370,9085
489,371,8984
490,371,8883
491,372,8782
492,373,8681
493,374,8580
494,375,8479
495,375,8378
496,375,8277
497,375,8176
498,375,8075
499,377,7974
500,388,7873
501,400,7772
502,414,7671
503,540,7570
504,562,9494
505,562,9393
506,563,9292
507,563,9191
508,564,8888
509,564,8787
510,564,8686
511,564,8585
512,565,8484
513,565,8383
514,568,8282
515,568,8181
516,569,8080
517,569,7979
518,569,7878
519,569,7777
520,569,7676
521,573,7575
522,574,7474
523,581,7373
524,581,7272
525,623,7171
526,623,7070
527,646,6969
528,760,6868
529,1034,6767
530,1243,6666
531,2884,6565
