,Time,Cost
0,7,25883
1,7,25782
2,7,23999
3,7,23898
4,7,23797
5,7,23696
6,7,23595
7,7,23494
8,8,25014
9,8,24913
10,8,24812
11,8,24711
12,8,24610
13,8,24509
14,8,24408
15,8,24307
16,8,23908
17,8,23807
18,8,23706
19,8,23605
20,8,23504
21,8,23403
22,8,23302
23,8,23201
24,8,23100
25,8,22999
26,8,22898
27,10,22696
28,10,22595
29,10,22494
30,10,22393
31,12,22701
32,12,22600
33,12,22499
34,12,22398
35,12,22297
36,12,22196
37,12,22095
38,13,21994
39,13,21893
40,13,21792
41,13,21691
42,13,21590
43,15,22908
44,15,22807
45,16,22706
46,16,22504
47,16,22403
48,16,22302
49,16,22201
50,16,22100
51,16,21999
52,16,21898
53,16,21797
54,17,23317
55,17,23216
56,17,23115
57,17,23014
58,17,22913
59,17,22812
60,17,22711
61,17,22610
62,17,22716
63,17,22615
64,17,22514
65,17,22413
66,17,22312
67,17,22211
68,17,22110
69,17,22009
70,17,21908
71,18,21913
72,18,21812
73,18,21711
74,18,21610
75,18,21509
76,18,21408
77,18,21307
78,18,21206
79,18,21105
80,19,22019
81,19,21918
82,19,21817
83,19,21716
84,19,21615
85,19,21514
86,19,21413
87,19,21312
88,19,21211
89,19,21110
90,19,21009
91,19,20908
92,19,20807
93,19,20706
94,19,20307
95,19,20206
96,19,20110
97,19,20009
98,19,19908
99,19,19807
100,19,19706
101,19,19711
102,19,19610
103,19,19509
104,19,19408
105,20,20322
106,20,20221
107,20,20120
108,20,20019
109,20,19918
110,20,19817
111,20,19716
112,20,19615
113,20,19514
114,20,19413
115,20,19312
116,20,19211
117,20,19110
118,20,19009
119,20,18908
120,20,18807
121,20,18706
122,20,18605
123,21,18504
124,21,18403
125,21,18302
126,21,18201
127,21,18100
128,21,17999
129,21,17898
130,21,17797
131,21,17696
132,23,17595
133,24,18307
134,24,18206
135,24,18105
136,24,18004
137,24,17903
138,24,17802
139,24,17701
140,24,17302
141,24,17201
142,24,17100
143,25,16999
144,26,16898
145,26,16797
146,26,16696
147,26,16595
148,26,16494
149,26,16393
150,26,16292
151,27,16191
152,30,14580
153,30,14383
154,30,14181
155,30,14080
156,31,13979
157,35,13878
158,40,15196
159,40,15095
160,41,15302
161,42,15201
162,42,15100
163,42,14999
164,42,14898
165,42,14797
166,42,14696
167,42,14595
168,42,14494
169,43,14191
170,43,14090
171,43,13989
172,44,13888
173,46,13787
174,48,13686
175,48,13585
176,48,13484
177,48,13383
178,48,13282
179,48,13181
180,48,13080
181,48,12979
182,48,12878
183,53,12777
184,64,14600
185,65,14499
186,65,14398
187,65,14297
188,65,14196
189,65,14095
190,65,13994
191,70,13893
192,71,15110
193,72,15009
194,72,14908
195,72,14807
196,72,14706
197,72,14605
198,72,14504
199,72,14403
200,72,14302
201,72,14201
202,73,14100
203,74,13999
204,74,13898
205,74,13797
206,74,13696
207,74,14105
208,74,14004
209,74,13903
210,74,13802
211,74,13701
212,75,13600
213,77,14514
214,77,14413
215,77,14312
216,77,14211
217,77,14110
218,77,14009
219,77,13908
220,77,13807
221,77,13706
222,77,13605
223,77,13504
224,78,13403
225,78,13302
226,78,13201
227,78,13100
228,78,12999
229,78,12898
230,78,12797
231,78,12696
232,78,12595
233,78,12494
234,79,12393
235,79,12292
236,79,12191
237,80,12090
238,80,11989
239,80,11888
240,80,11787
241,80,11686
242,80,11585
243,80,11484
244,80,11383
245,80,11282
246,80,11181
247,80,11080
248,80,10979
249,81,10878
250,81,10777
251,81,12095
252,81,11994
253,81,11893
254,81,11792
255,83,11691
256,83,11590
257,83,11489
258,83,11388
259,83,11287
260,83,11186
261,85,11797
262,85,11696
263,85,11595
264,85,11494
265,86,11292
266,86,11191
267,86,11090
268,86,10989
269,86,10888
270,86,10787
271,86,10686
272,86,10585
273,86,10484
274,90,10383
275,101,10282
276,101,10181
277,102,10080
278,120,10792
279,120,10691
280,120,10590
281,120,10489
282,120,10388
283,124,10287
284,124,10186
285,124,10085
286,124,9984
287,125,9883
288,126,9782
289,127,9681
290,127,9580
291,132,11605
292,133,11504
293,133,11403
294,133,11302
295,133,11201
296,133,11100
297,133,10999
298,133,10898
299,133,10797
300,133,10696
301,133,10595
302,133,10494
303,133,10393
304,133,10292
305,133,10191
306,133,10090
307,133,9989
308,133,9888
309,133,9787
310,133,9686
311,134,9585
312,134,9484
313,134,9383
314,135,9282
315,137,9181
316,137,9080
317,142,8979
318,143,8878
319,143,8777
320,143,8676
321,143,8575
322,143,8474
323,144,10095
324,144,9994
325,144,9893
326,144,9792
327,145,9691
328,145,9590
329,146,9489
330,147,9388
331,147,9287
332,147,9186
333,148,9085
334,148,8984
335,148,8883
336,149,8782
337,149,8681
338,149,8580
339,158,8479
340,160,8378
341,160,8277
342,160,8176
343,160,8075
344,160,7974
345,173,7873
346,173,7772
347,173,7671
348,173,7570
349,173,7469
350,199,9191
351,199,9090
352,199,8989
353,199,8888
354,199,8787
355,200,8686
356,200,8585
357,200,8484
358,200,8383
359,205,8282
360,205,8181
361,205,8080
362,205,7979
363,206,7878
364,206,7777
365,206,7676
366,206,7575
367,209,7474
368,209,7373
369,218,7272
370,219,7171
371,220,7070
372,224,6969
373,224,6868
374,224,6767
375,453,6666
376,796,6565
377,876,6464
378,877,6363
379,1755,6262
380,3382,6161
