,Time,Cost
0,6,26383
1,6,25590
2,6,25489
3,6,25388
4,7,26706
5,7,26605
6,7,26504
7,7,26403
8,7,26302
9,7,26711
10,7,26610
11,7,26509
12,7,26408
13,8,26615
14,8,26514
15,8,26413
16,8,26312
17,8,26211
18,8,27832
19,8,27731
20,8,27630
21,8,27529
22,9,27428
23,9,27327
24,9,27226
25,9,27125
26,9,27024
27,9,26923
28,9,26822
29,9,26721
30,9,26620
31,9,26519
32,9,26418
33,9,26317
34,10,26216
35,10,26115
36,10,25716
37,10,25615
38,10,25514
39,10,25413
40,10,25312
41,10,25620
42,10,25519
43,10,25418
44,10,25317
45,10,25216
46,10,25115
47,10,25014
48,10,24913
49,10,24812
50,10,24711
51,10,24610
52,10,24509
53,10,24408
54,10,24307
55,10,24206
56,10,24105
57,10,23706
58,10,23605
59,10,23504
60,10,23206
61,10,23105
62,10,23004
63,10,22903
64,10,22802
65,10,22701
66,10,22600
67,10,22499
68,10,22100
69,10,21999
70,10,21701
71,10,21600
72,10,21499
73,10,21398
74,11,21297
75,11,21196
76,11,21095
77,11,20994
78,12,20893
79,13,20792
80,14,21807
81,14,21706
82,14,21605
83,14,21504
84,14,21403
85,14,21302
86,14,21201
87,16,21100
88,16,20999
89,16,20898
90,16,20797
91,16,20696
92,16,20595
93,16,20494
94,17,22216
95,17,22115
96,17,22014
97,17,21913
98,17,21812
99,17,21711
100,17,21610
101,17,21509
102,18,21413
103,18,21312
104,18,21211
105,18,21721
106,18,21620
107,18,21519
108,18,21418
109,18,21317
110,18,21216
111,19,21115
112,19,21014
113,19,20913
114,19,20812
115,19,20711
116,19,20610
117,19,20509
118,19,20408
119,19,20307
120,19,20206
121,19,20105
122,19,20004
123,19,19807
124,19,19706
125,19,19605
126,19,19504
127,19,19403
128,20,19302
129,20,19201
130,20,19100
131,20,18999
132,20,18898
133,20,18797
134,20,18696
135,20,18595
136,20,18494
137,21,19408
138,21,19307
139,21,19206
140,21,19105
141,22,19004
142,23,18903
143,24,19110
144,24,19009
145,24,18908
146,24,18807
147,24,18706
148,24,18605
149,24,18504
150,24,18403
151,24,18302
152,24,18201
153,24,18100
154,24,17999
155,24,17898
156,24,17797
157,24,17696
158,24,17595
159,24,17494
160,24,17393
161,24,17292
162,24,17191
163,24,16994
164,24,16893
165,24,17403
166,26,16797
167,26,16696
168,26,16595
169,26,16494
170,26,16393
171,26,16292
172,26,16191
173,27,18014
174,27,17913
175,27,17812
176,27,17711
177,27,17610
178,28,17509
179,28,17408
180,29,17307
181,29,17206
182,29,17105
183,29,17004
184,30,17615
185,30,17514
186,30,17413
187,30,17312
188,30,17211
189,30,17110
190,31,17009
191,31,16908
