,Time,Cost
0,4,26277
1,4,26075
2,5,27494
3,5,27393
4,5,27292
5,5,28004
6,5,27903
7,5,27802
8,5,27701
9,5,27600
10,5,27499
11,5,27398
12,5,27297
13,5,27196
14,5,26797
15,5,26696
16,5,26595
17,5,26297
18,5,26196
19,5,26095
20,5,25994
21,5,25893
22,5,25696
23,5,25595
24,5,25494
25,5,25393
26,5,25292
27,6,25191
28,6,25090
29,6,24989
30,7,24888
31,7,24787
32,7,24686
33,7,24585
34,7,24484
35,7,24383
36,7,24282
37,7,24181
38,7,24080
39,7,23979
40,8,23878
41,8,23777
42,8,23676
43,8,23575
44,8,23474
45,8,23373
46,8,23272
47,8,23171
48,8,23070
49,9,24186
50,9,24085
51,9,23984
52,9,23883
53,9,24696
54,9,24595
55,9,24494
56,9,24393
57,9,24292
58,9,24191
59,9,24090
60,9,23989
61,9,23888
62,9,23787
63,9,23686
64,10,24100
65,10,23999
66,10,23898
67,11,22888
68,11,22787
69,11,22590
70,11,22489
71,11,22388
72,11,22287
73,11,21888
74,11,21388
75,12,21292
76,12,21191
77,13,21090
78,13,20989
79,14,21297
80,14,21196
81,14,21095
82,14,20994
83,14,20893
84,14,20792
85,14,20595
86,14,20494
87,14,20393
88,14,20292
89,15,20191
90,15,20090
91,15,19989
92,16,19888
93,16,19787
94,16,19686
95,16,19585
96,16,19484
97,16,19383
98,16,19282
99,16,19181
100,18,19792
101,20,19691
102,20,19590
103,20,19489
104,20,19388
105,20,19287
106,21,19186
107,21,19085
108,22,18984
109,22,18883
110,22,18782
111,22,18681
112,22,18580
113,22,18479
114,22,18378
115,22,18277
116,23,18176
117,25,20100
118,25,19999
119,25,19898
120,25,19797
121,25,19696
122,25,19595
123,26,19494
124,28,19393
125,28,19292
126,28,19191
127,28,19090
128,28,18989
129,28,18888
130,28,18787
131,28,18686
132,28,18585
133,29,18484
134,29,18383
135,30,18282
136,31,18186
137,34,18085
138,34,17984
139,34,17883
140,34,17782
141,34,17681
142,34,17580
143,34,17479
144,34,17378
145,34,17277
146,35,17282
147,35,17181
148,35,17080
149,35,16979
150,36,16878
151,36,16777
152,36,16676
153,36,16575
154,36,16474
155,38,18297
156,38,18196
157,38,18095
158,38,17994
159,38,17893
160,38,17792
161,38,17691
162,38,17287
163,38,17186
164,38,17085
165,38,16984
166,38,16883
167,38,16782
168,38,16681
169,39,18201
170,39,18100
171,39,17999
172,39,17898
173,39,17797
174,39,17696
175,39,17595
176,39,17494
177,39,17393
178,39,17292
179,41,17191
180,41,17090
181,41,16989
182,41,16888
183,41,16787
184,41,16686
185,41,16585
186,41,16484
187,41,16383
188,41,16282
189,42,16181
190,42,16080
191,42,15979
192,42,15878
193,45,16792
194,45,16691
195,45,16590
196,45,16489
197,45,16388
198,45,16287
199,45,16186
200,45,16085
201,45,16595
202,45,16494
203,45,16393
204,45,16292
205,45,16191
206,45,16090
207,45,15989
208,45,15888
209,46,15787
210,49,15181
211,49,15080
212,49,14979
213,49,14878
214,49,14777
215,49,14676
216,49,14575
217,49,14474
218,49,14373
219,49,14272
220,50,14171
221,51,15893
222,51,15792
223,51,15691
224,51,15590
225,51,15489
226,52,15388
227,52,15999
228,52,15898
229,52,15797
230,52,15696
231,52,15595
232,52,15494
233,52,15398
234,52,15297
235,52,15196
236,52,15095
237,52,14994
238,52,14595
239,52,14494
240,52,14393
241,53,14292
242,53,13888
243,53,13787
244,54,13686
245,54,13585
246,54,13484
247,54,13383
248,55,13282
249,56,13181
250,56,13080
251,56,12979
252,56,12878
253,56,12777
254,56,12676
255,56,12575
256,56,12474
257,56,12373
258,56,12272
259,56,12171
260,57,12070
261,64,13994
262,64,13893
263,65,13792
264,65,13691
265,65,13590
266,65,13489
267,65,13388
268,65,13287
269,65,13186
270,68,13085
271,68,12984
272,69,13797
273,69,13696
274,69,13595
275,70,13494
276,70,13393
277,70,13292
278,70,13191
279,70,13090
280,70,12989
281,70,12888
282,70,12787
283,70,12686
284,70,12585
285,70,12484
286,75,12383
287,75,12282
288,77,12181
289,77,12080
290,79,11979
291,80,11878
292,83,11777
293,84,12792
294,84,12691
295,84,12590
296,84,12489
297,84,12388
298,84,12287
299,85,12186
300,85,12085
301,85,11984
302,86,11883
303,86,12595
304,86,12494
305,87,12191
306,87,12090
307,87,11989
308,87,11888
309,87,11787
310,87,11686
311,88,11585
312,88,11484
313,88,11383
314,89,11282
315,89,11181
316,89,11080
317,89,10979
318,89,10878
319,89,10777
320,89,10676
321,91,10575
322,114,10474
323,126,10373
324,126,10272
325,127,10171
326,127,10070
327,127,9969
328,127,9868
329,127,9767
330,127,9666
331,133,10984
332,133,10883
333,133,10782
334,133,10681
335,134,10580
336,134,10479
337,134,10378
338,134,10277
339,134,10176
340,135,10075
341,135,9974
342,135,9873
343,135,9772
344,135,9671
345,135,9570
346,135,9469
347,136,9368
348,140,9267
349,140,9166
350,140,9065
351,140,8964
352,140,8863
353,143,10787
354,143,10686
355,144,10585
356,144,10484
357,144,10383
358,145,10282
359,145,10181
360,145,10080
361,145,9979
362,145,9878
363,146,9777
364,146,9676
365,147,9575
366,156,9474
