,Time,Cost
0,5,25378
1,6,25398
2,6,25100
3,6,24999
4,6,24898
5,6,24797
6,6,24696
7,6,24595
8,6,24494
9,6,24196
10,6,25110
11,6,25009
12,6,24908
13,6,24807
14,6,24706
15,7,24605
16,7,24504
17,7,24403
18,7,24302
19,7,24201
20,7,24100
21,7,23999
22,8,24307
23,8,24206
24,8,24105
25,8,24004
26,9,23903
27,9,23802
28,9,23701
29,9,23600
30,9,24009
31,9,23908
32,9,23807
33,10,23504
34,10,23403
35,10,23302
36,10,23201
37,10,23100
38,10,23206
39,11,23105
40,11,23004
41,11,22903
42,11,22802
43,11,23413
44,11,23312
45,12,22913
46,12,21095
47,12,20994
48,12,20893
49,12,20792
50,12,20691
51,12,20590
52,12,20489
53,13,21100
54,13,20999
55,13,20898
56,14,20797
57,14,20696
58,14,20595
59,14,20494
60,16,20393
61,16,20292
62,16,20191
63,16,20090
64,16,19989
65,16,19888
66,17,19787
67,18,20807
68,18,20706
69,18,20605
70,18,20504
71,18,20307
72,18,20206
73,18,20105
74,18,20004
75,18,19903
76,19,19802
77,19,19701
78,19,19600
79,19,19499
80,19,19398
81,19,19297
82,19,19196
83,19,19095
84,19,19100
85,19,18999
86,19,18898
87,19,18797
88,19,18696
89,19,18595
90,19,18196
91,19,18095
92,19,17994
93,20,17893
94,20,17792
95,20,17691
96,20,17590
97,20,17489
98,20,17388
99,20,17287
100,21,17186
101,21,17085
102,21,16984
103,21,16883
104,21,16782
105,21,16681
106,22,16580
107,23,17191
108,23,18105
109,23,18004
110,23,17903
111,23,17802
112,23,17701
113,23,17600
114,23,17499
115,23,17398
116,23,17297
117,23,17196
118,27,16691
119,27,16590
120,27,16489
121,27,16388
122,27,16287
123,27,16186
124,27,16085
125,27,15984
126,27,15883
127,27,15782
128,29,16999
129,29,16898
130,29,16696
131,29,16595
132,29,16494
133,30,16393
134,30,16292
135,30,16191
136,31,16090
137,31,15989
138,31,15888
139,31,15787
140,31,15686
141,32,15585
142,32,15484
143,32,15383
144,32,15282
145,32,15181
146,32,15080
147,32,14979
148,32,14878
149,32,14777
150,32,14676
151,32,14575
152,33,14474
153,45,15792
154,45,15691
155,45,15590
156,45,15489
157,46,15388
158,46,15287
159,46,15186
160,46,15085
161,46,14984
162,46,15292
163,47,15191
164,47,15090
165,47,14989
166,47,14888
167,49,14787
168,49,14686
169,49,14585
170,58,14484
171,60,14383
172,60,14282
173,60,14181
174,60,14080
175,62,13979
176,62,13878
177,62,13777
178,62,13676
179,63,14994
180,63,14893
181,63,14691
182,63,14590
183,64,14489
184,64,14388
185,64,14287
186,65,14186
187,66,14085
188,68,13984
189,74,13883
190,74,13782
191,74,13681
192,76,13580
193,78,13479
194,78,13378
195,78,13277
196,80,13989
197,80,13888
198,80,13787
199,80,13686
200,80,13585
201,80,13484
202,81,14196
203,81,14095
204,81,13994
205,81,13893
206,81,13792
207,81,13691
208,81,13590
209,82,13489
210,82,13388
211,82,13287
212,82,13186
213,82,13085
214,82,12984
215,83,13696
216,83,13595
217,83,13494
218,85,13393
219,85,13292
220,85,13191
221,85,13090
222,85,12989
223,87,12888
224,88,12787
225,90,12686
226,90,12585
227,90,12484
228,90,12383
229,90,12282
230,90,12181
231,90,12080
232,90,11979
233,90,11878
234,90,11777
235,91,11676
236,92,11575
237,96,11474
238,99,11373
239,106,11272
240,119,11171
241,119,11070
242,119,10969
243,122,13196
244,122,13095
245,122,12994
246,122,12893
247,122,12792
248,122,12691
249,122,12590
250,122,12489
251,122,12388
252,122,12287
253,123,12186
254,125,12085
255,125,11984
256,125,11883
257,125,11782
258,126,11681
259,126,11580
260,127,11479
261,127,11378
262,127,11277
263,128,11176
264,128,11075
265,135,10974
266,136,10873
267,137,10772
268,140,10671
269,140,10570
270,140,10469
271,140,10368
272,141,10267
273,163,10166
274,163,9666
275,163,9565
276,163,9464
277,163,9363
278,163,9262
279,168,10782
280,169,10681
281,169,10580
282,169,10479
283,169,10378
284,169,10277
285,170,10176
286,171,12706
287,171,12605
288,171,12504
289,171,12403
290,171,12302
291,171,12201
292,171,12100
293,171,11999
294,171,11898
295,171,11797
296,171,11696
297,171,11595
298,171,11494
299,171,11393
300,171,11292
301,174,11191
302,174,11090
303,174,10989
304,174,10888
305,174,10787
306,174,10686
307,174,10585
308,176,10484
309,177,10383
310,177,10282
311,177,10181
312,177,10080
313,177,9979
314,177,9878
315,179,9777
316,180,9676
317,180,9575
318,181,9474
319,183,10489
320,183,10388
321,183,10287
322,183,10186
323,183,10085
324,183,9984
325,183,9883
326,183,9782
327,183,9681
328,184,9580
329,184,9479
330,184,9378
331,184,9277
332,184,9176
333,184,9075
334,185,8974
335,185,8873
336,194,8772
337,194,8671
338,195,8570
339,195,8469
340,195,7969
341,195,7570
342,196,7469
343,207,7368
344,207,7267
345,207,7166
346,272,8888
347,272,8787
348,272,8686
349,272,8585
350,272,8484
351,272,8383
352,272,8282
353,273,8181
354,273,8080
355,273,7979
356,273,7878
357,273,7777
358,274,7676
359,274,7575
360,276,7474
361,279,7373
362,280,7272
363,280,7171
364,280,7070
365,280,6969
366,281,6868
367,287,6767
368,293,6666
369,293,6565
370,293,6464
371,293,6363
372,382,6262
373,720,6161
374,1372,6060
375,1382,5959
376,2471,5858
