,Time,Cost
0,3,20671
1,3,21383
2,3,21282
3,3,21181
4,3,21080
5,3,20979
6,4,21691
7,4,21590
8,4,21489
9,4,21388
10,4,21287
11,4,21186
12,4,21085
13,4,20984
14,4,20883
15,4,20782
16,4,20681
17,4,20580
18,5,20479
19,5,20378
20,5,20277
21,5,20176
22,5,20075
23,5,19974
24,6,21090
25,6,20989
26,6,20888
27,6,20787
28,6,20686
29,6,20585
30,6,20484
31,6,20383
32,7,20080
33,7,19979
34,7,19878
35,7,19777
36,7,19676
37,7,19575
38,7,19474
39,7,20893
40,7,20792
41,7,20691
42,7,20590
43,7,20489
44,7,20388
45,7,20287
46,7,20186
47,7,20085
48,7,19984
49,8,19883
50,9,19782
51,10,19681
52,10,19580
53,10,19479
54,10,19378
55,12,17590
56,12,16489
57,13,16388
58,13,16287
59,13,16186
60,13,16085
61,13,15984
62,13,15883
63,14,15782
64,15,15681
65,15,15580
66,15,15479
67,15,15277
68,15,15176
69,16,15075
70,16,14974
71,16,14873
72,16,14772
73,16,14671
74,26,15787
75,27,15686
76,27,15585
77,27,15484
78,27,15383
79,27,15282
80,27,15181
81,27,15080
82,27,14979
83,27,14878
84,27,14777
85,27,14676
86,29,14575
87,30,14474
88,30,14373
89,30,14272
90,31,14171
91,31,14070
92,31,13969
93,31,13868
94,31,13767
95,33,15186
96,33,15085
97,33,14984
98,33,14883
99,34,14782
100,34,14681
101,34,14580
102,34,14479
103,35,14378
104,35,14277
105,35,14176
106,35,14075
107,51,15191
108,51,15090
109,51,14989
110,51,14888
111,51,14787
112,51,14686
113,51,14585
114,51,14484
115,51,14383
116,51,14282
117,51,14181
118,51,14080
119,51,13979
120,51,13878
121,51,13777
122,51,13676
123,51,13575
124,51,13474
125,52,13373
126,52,13272
127,52,13171
128,54,13070
129,54,12969
130,55,14489
131,55,14388
132,55,14287
133,55,14186
134,56,14085
135,56,13984
136,56,13883
137,56,13782
138,56,13681
139,57,13580
140,57,13479
141,57,13378
142,57,13277
143,58,14393
144,58,14292
145,58,14191
146,58,14090
147,58,13989
148,58,13888
149,58,13792
150,58,13691
151,58,13590
152,58,13489
153,58,13388
154,58,13287
155,58,13186
156,59,13085
157,60,12984
158,60,12883
159,60,12782
160,60,12681
161,61,12580
162,61,12479
163,62,12378
164,62,12277
165,70,12176
166,71,12075
167,71,11974
168,76,12989
169,76,12888
170,76,12787
171,76,12686
172,76,12585
173,76,12484
174,76,12383
175,76,12282
176,76,12181
177,76,12080
178,76,11979
179,76,11878
180,77,11777
181,78,11676
182,79,11575
183,79,11474
184,79,11373
185,79,11272
186,79,11171
187,79,11070
188,79,10969
189,79,10868
190,79,10767
191,79,10666
192,79,12489
193,79,12388
194,79,12287
195,79,12186
196,79,12085
197,80,11984
198,80,11883
199,80,11782
200,80,11681
201,81,11580
202,81,11479
203,81,11378
204,81,11277
205,81,11176
206,81,11075
207,81,10974
208,83,10873
209,83,10772
210,83,10671
211,83,10570
212,83,10469
213,93,10368
214,93,10267
215,139,10166
216,160,11585
217,160,11484
218,160,11383
219,160,11282
220,161,11181
221,161,11080
222,161,10979
223,161,10878
224,162,10777
225,162,10676
226,162,10575
227,162,10474
228,162,10373
229,163,10272
230,168,11388
231,168,11287
232,168,11186
233,168,11085
234,168,10984
235,168,10883
236,168,10782
237,168,10681
238,168,10580
239,169,10479
240,169,10378
241,169,10277
242,169,10176
243,169,10075
244,170,9974
245,172,9873
246,172,9772
247,173,9671
248,173,9570
249,173,9469
250,174,9368
251,176,9267
252,176,9166
253,212,9065
254,213,8964
255,213,8863
256,219,8762
257,292,9575
258,292,9474
259,292,9373
260,293,9272
261,294,9171
262,295,9070
263,295,8969
264,295,8868
265,295,8767
266,295,8666
267,295,8565
268,295,8464
269,311,10186
270,311,10085
271,311,9984
272,311,9883
273,311,9782
274,311,9681
275,312,9580
276,312,9479
277,312,9378
278,312,9277
279,312,9176
280,312,9075
281,314,8974
282,314,8873
283,314,8772
284,314,8671
285,314,8570
286,314,8469
287,314,8368
288,314,8267
289,332,8166
290,345,8065
291,346,7964
292,346,7863
293,428,9080
294,428,8979
295,428,8878
296,428,8777
297,428,8676
298,428,8575
299,429,8474
300,429,8373
301,429,8272
302,429,8171
303,429,8070
304,432,7969
305,433,7868
306,434,7767
307,437,7666
308,457,7565
309,523,7464
310,802,7363
311,802,7262
312,1333,8277
313,1333,8176
314,1333,8075
315,1333,7974
316,1333,7873
317,1333,7772
318,1333,7671
319,1333,7570
320,1333,7469
321,1335,7368
322,1335,7166
323,1335,7065
324,1335,6964
325,1335,6863
326,1335,6762
327,1335,6661
328,1335,6560
329,1335,6459
330,1335,6358
331,1835,8282
332,1835,8181
333,1835,8080
334,1835,7979
335,1835,7878
336,1835,7777
337,1835,7676
338,1835,7575
339,1835,7474
340,1836,7373
341,1836,7272
342,1836,7171
343,1836,7070
344,1836,6969
345,1837,6868
346,1837,6767
347,1837,6666
348,1837,6565
349,1837,6464
350,1895,6363
351,1895,6262
352,2285,6161
353,2294,6060
354,2709,5959
355,2712,5858
356,2713,5757
