,Time,Cost
0,3,24282
1,3,25196
2,3,25095
3,3,24994
4,3,24893
5,3,24792
6,4,24388
7,4,24287
8,4,24186
9,4,24085
10,4,23984
11,4,23883
12,4,23782
13,4,23681
14,4,23580
15,4,25605
16,4,25504
17,4,25403
18,4,25302
19,4,25201
20,4,25100
21,4,24999
22,4,24898
23,5,24797
24,5,24696
25,5,24595
26,5,24494
27,5,24393
28,5,24292
29,5,24191
30,5,24090
31,5,23989
32,5,23888
33,5,23787
34,5,23686
35,5,23585
36,5,23484
37,5,23383
38,6,23282
39,6,23181
40,6,23080
41,6,22979
42,6,22878
43,8,23792
44,8,23393
45,8,23292
46,8,22994
47,8,22893
48,8,22792
49,8,22691
50,8,22590
51,8,22489
52,8,22999
53,8,22898
54,8,22797
55,8,22696
56,8,22595
57,8,22494
58,8,22393
59,8,22292
60,8,22191
61,8,22090
62,8,21989
63,8,21888
64,8,21787
65,8,22095
66,8,21994
67,8,21893
68,8,21792
69,8,21691
70,8,21590
71,8,21489
72,8,21388
73,8,21287
74,8,21186
75,9,21494
76,9,21292
77,9,21191
78,9,21090
79,9,20989
80,9,20196
81,9,20095
82,9,19994
83,9,19893
84,9,19792
85,9,19691
86,9,19595
87,9,19494
88,9,19393
89,9,19292
90,9,19600
91,9,19499
92,10,19398
93,10,19297
94,10,19196
95,10,19095
96,10,18994
97,10,18893
98,10,18792
99,10,18691
100,10,18590
101,10,18489
102,10,18388
103,10,18287
104,10,18186
105,10,18085
106,10,17984
107,10,17883
108,10,17782
109,10,17681
110,11,17580
111,13,17479
112,13,17378
113,13,17277
114,13,18999
115,13,18898
116,13,18797
117,13,18696
118,13,18595
119,13,18494
120,13,18393
121,13,18292
122,13,18191
123,13,18090
124,13,17989
125,14,17888
126,14,18701
127,14,18600
128,14,18499
129,14,18398
130,14,18297
131,15,17994
132,15,17893
133,15,17792
134,15,17691
135,15,17489
136,15,17388
137,15,17287
138,15,17186
139,15,17085
140,15,16984
141,15,16883
142,18,17797
143,18,17696
144,18,17595
145,18,17494
146,18,17393
147,18,17292
148,18,17191
149,18,17090
150,18,16989
151,18,16888
152,18,16787
153,18,16686
154,18,16585
155,18,16484
156,18,16383
157,18,16282
158,18,16181
159,18,16080
160,18,15979
161,18,15878
162,18,15777
163,18,15676
164,18,15575
165,19,16691
166,19,16590
167,19,16489
168,19,16388
169,19,16287
170,19,16186
171,21,16085
172,21,15984
173,21,15883
174,22,15782
175,27,15681
176,27,15580
177,28,15479
178,28,15378
179,29,15277
180,29,15176
181,29,15075
182,30,14974
183,30,14873
184,30,14772
185,34,15989
186,34,15888
187,34,15787
188,34,15686
189,34,15585
190,34,15484
191,34,15383
192,34,15282
193,35,15181
194,35,15080
195,35,14979
196,36,14878
197,36,14777
198,36,14676
199,36,14575
200,36,14474
201,44,15691
202,44,15590
203,45,15489
204,45,15388
205,45,15287
206,45,15186
207,46,15085
208,46,14984
209,46,14883
210,46,14782
211,46,14681
212,46,14580
213,46,14479
214,48,14378
215,48,14277
216,51,14176
217,52,14075
218,52,13974
219,52,13873
220,57,14787
221,57,14686
222,57,14585
223,57,14484
224,57,14383
225,57,14282
226,58,14181
227,58,14080
228,58,13979
229,58,13878
230,62,13777
231,64,14388
232,64,14287
233,64,14186
234,65,14085
235,65,13984
236,65,13883
237,65,13782
238,65,13681
239,65,13580
240,66,13479
241,66,13378
242,66,13277
243,68,14090
244,68,13989
245,68,13888
246,68,13787
247,68,13686
248,68,13585
249,68,13484
250,68,13383
251,68,13282
252,68,13181
253,68,13080
254,68,12979
255,68,12878
256,68,12777
257,69,12676
258,70,12575
259,71,12474
260,71,12373
261,71,12272
262,72,12171
263,72,12070
264,72,11969
265,75,13590
266,75,13489
267,75,13388
268,75,13287
269,75,13186
270,76,13085
271,76,12984
272,76,12883
273,76,12782
274,76,12681
275,77,12580
276,77,12479
277,77,12378
278,77,12277
279,79,12176
280,79,12075
281,79,11974
282,79,11873
283,83,11772
284,85,11671
285,87,12585
286,87,12484
287,87,12383
288,87,12282
289,89,12181
290,89,12080
291,89,11979
292,89,11878
293,89,11777
294,95,11676
295,95,11575
296,95,11474
297,95,11373
298,95,11272
299,96,11171
300,96,11070
301,133,12489
302,133,12388
303,133,12287
304,133,12186
305,134,12085
306,134,11984
307,134,11883
308,134,11782
309,134,11681
310,138,11580
311,138,11479
312,138,11378
313,139,11277
314,139,11176
315,144,11075
316,146,10974
317,156,10873
318,156,10772
319,156,10671
320,174,11585
321,174,11484
322,174,11383
323,175,11282
324,175,11181
325,175,11080
326,175,10979
327,175,10878
328,175,10777
329,175,10676
330,175,10575
331,175,10277
332,175,10176
333,175,10075
334,175,9974
335,183,9873
336,188,10585
337,188,10484
338,188,10383
339,188,10282
340,188,10181
341,189,10080
342,189,9979
343,189,9878
344,189,9777
345,190,9676
346,190,9575
347,190,9474
348,193,9373
349,193,9272
350,193,9171
351,197,9782
352,198,9681
353,198,9580
354,198,9479
355,198,9378
356,199,9277
357,199,9176
358,199,9075
359,199,8974
360,199,8873
361,199,8772
362,206,8671
363,207,8570
364,207,8469
365,209,8368
366,217,9080
367,218,8979
368,219,8878
369,223,8777
370,223,8676
371,223,8575
372,223,8474
373,223,8373
374,223,8272
375,225,8171
376,225,8070
377,294,7969
378,347,8580
379,347,8479
380,348,8378
381,348,8277
382,348,8176
383,348,8075
384,348,7974
385,349,7873
386,349,7772
387,349,7671
388,353,7570
389,353,7469
390,353,7368
391,382,8181
392,382,8080
393,382,7979
394,383,7777
395,383,7676
396,383,7575
397,385,7474
398,386,7373
399,388,7272
400,388,7171
401,390,7070
402,390,6969
403,390,6868
404,390,6767
405,463,6666
406,772,6565
407,782,6464
