,Time,Cost
0,3,20373
1,5,19878
2,5,19777
3,5,19676
4,7,20297
5,7,20196
6,7,20095
7,7,19994
8,7,19893
9,7,19792
10,8,19691
11,8,19590
12,8,19489
13,8,19388
14,9,19287
15,9,19186
16,9,19085
17,9,18984
18,9,18883
19,9,18782
20,9,18681
21,9,18580
22,9,18479
23,9,18378
24,9,18277
25,9,18176
26,11,17090
27,11,16989
28,11,16888
29,11,16787
30,11,16686
31,11,16585
32,11,16484
33,11,16383
34,11,16282
35,11,16181
36,12,16080
37,13,17802
38,13,17701
39,14,16994
40,14,16893
41,14,16792
42,14,16691
43,14,16590
44,14,16489
45,14,16388
46,14,16287
47,14,16186
48,14,16085
49,14,15984
50,14,15883
51,14,15782
52,14,15681
53,15,15580
54,17,15479
55,19,16494
56,19,16393
57,19,16292
58,19,16191
59,20,17206
60,20,17105
61,20,17004
62,20,16499
63,20,16398
64,20,16297
65,20,16196
66,20,16095
67,20,15994
68,20,15893
69,20,15792
70,20,15691
71,20,15590
72,21,15489
73,22,15388
74,22,15287
75,22,15186
76,22,15085
77,22,14984
78,22,14883
79,22,14782
80,22,14681
81,22,14580
82,28,14479
83,28,14378
84,28,14277
85,30,14176
86,30,14075
87,30,13974
88,30,13873
89,30,13772
90,30,13671
91,32,13570
92,35,14383
93,35,14282
94,35,14181
95,35,14080
96,36,13979
97,39,14893
98,39,13782
99,39,13681
100,39,13580
101,39,13479
102,39,13378
103,39,13277
104,39,13176
105,39,13075
106,39,12974
107,39,12873
108,43,12772
109,43,12671
110,43,12570
111,43,12469
112,117,13989
113,117,13888
114,117,13787
115,117,13686
116,117,13585
117,118,13484
118,121,13383
119,121,13282
120,121,13181
121,121,13080
122,121,12979
123,121,12878
124,122,12777
125,122,12676
126,122,12575
127,125,12474
128,126,12373
129,136,12272
130,136,12171
131,136,12070
132,143,11969
133,158,13489
134,158,13388
135,158,13287
136,158,13186
137,158,13085
138,158,12984
139,158,12883
140,158,12782
141,158,12681
142,159,12580
143,159,12479
144,159,12378
145,159,12277
146,159,12176
147,159,12075
148,170,11974
149,174,11873
150,178,11772
151,182,12787
152,182,12686
153,182,12585
154,183,12484
155,183,12383
156,183,12282
157,183,12181
158,183,12080
159,184,11979
160,184,11878
161,184,11777
162,184,11676
163,185,11575
164,185,11474
165,185,11373
166,185,11272
167,186,11171
168,189,11070
169,190,11984
170,190,11883
171,192,11782
172,192,11681
173,192,11580
174,192,11479
175,193,11378
176,195,11277
177,209,11176
178,210,11075
179,221,10974
180,221,10873
181,225,10772
182,225,10671
183,227,11282
184,227,11181
185,227,11080
186,227,10979
187,229,11186
188,229,11085
189,229,10984
190,229,10883
191,230,10782
192,230,10681
193,230,10580
194,230,10479
195,230,10378
196,230,10277
197,230,10176
198,230,10075
199,231,9974
200,245,9873
201,248,9772
202,250,10787
203,250,10686
204,251,10585
205,251,10484
206,251,10383
207,251,10282
208,251,10181
209,251,10080
210,251,9979
211,251,10287
212,251,10186
213,251,10085
214,252,9984
215,253,9883
216,254,9782
217,254,9681
218,254,9580
219,254,9479
220,254,9378
221,254,9277
222,254,9176
223,254,9075
224,256,8974
225,279,8873
226,282,8772
227,283,8671
228,284,8570
229,285,8469
230,285,8368
231,357,8267
232,364,8166
233,364,8065
234,376,9484
235,376,9383
236,376,9282
237,376,9181
238,376,9080
239,376,8979
240,376,8878
241,379,8777
242,379,8676
243,380,9994
244,380,9893
245,380,9792
246,380,9691
247,380,9590
248,380,9489
249,380,9388
250,380,9287
251,380,9186
252,380,9085
253,380,8984
254,380,8883
255,380,8782
256,381,8681
257,381,8580
258,385,8479
259,386,8378
260,386,8277
261,386,8176
262,391,8075
263,391,7974
264,391,7873
265,391,7772
266,391,7671
267,392,7570
268,394,7469
269,401,7368
270,437,7267
271,458,7166
272,681,8989
273,681,8888
274,681,8787
275,681,8686
276,681,8585
277,682,8484
278,683,8383
279,683,8282
280,683,8181
281,684,8080
282,685,7979
283,685,7878
284,685,7777
285,686,7676
286,686,7575
287,686,7474
288,686,7373
289,687,7272
290,687,7171
291,687,7070
292,711,6969
293,779,6868
294,824,6767
295,876,6666
296,927,6565
297,1666,6464
298,2015,6363
