,Time,Cost
0,4,24282
1,5,25095
2,5,24994
3,5,24893
4,5,24792
5,5,24691
6,5,24590
7,5,24489
8,5,24292
9,5,24191
10,5,24090
11,5,23989
12,5,23893
13,5,23792
14,5,23691
15,5,23590
16,5,23489
17,5,23388
18,5,23090
19,5,22989
20,5,22888
21,5,22787
22,5,22686
23,5,22585
24,5,22484
25,5,22383
26,5,22282
27,5,22181
28,5,22080
29,6,23297
30,6,23196
31,6,23095
32,6,22994
33,6,22893
34,8,22792
35,8,22691
36,8,22590
37,8,22489
38,8,22388
39,9,22287
40,9,22898
41,9,22797
42,9,22696
43,9,23004
44,9,22903
45,9,22802
46,9,22701
47,9,22504
48,9,22403
49,9,22302
50,9,22201
51,9,22100
52,9,21999
53,9,21903
54,9,21701
55,9,21600
56,9,21499
57,9,21398
58,9,21297
59,9,21196
60,9,21095
61,9,21201
62,9,21100
63,9,20999
64,9,20898
65,9,20797
66,9,20696
67,9,20595
68,9,20494
69,9,20393
70,9,20292
71,10,20191
72,11,20499
73,11,19999
74,11,19898
75,11,19797
76,11,19696
77,11,19595
78,11,19494
79,11,19393
80,11,19600
81,11,19499
82,11,19398
83,11,19297
84,11,19196
85,11,19095
86,11,18994
87,11,18893
88,11,18792
89,11,18691
90,11,18590
91,11,18489
92,11,18191
93,11,18090
94,11,17989
95,11,17888
96,11,17787
97,11,17686
98,11,17585
99,11,17484
100,11,17383
101,11,17282
102,11,17181
103,11,17080
104,11,16979
105,11,16878
106,11,16777
107,11,16676
108,14,18802
109,14,18701
110,14,18600
111,14,18499
112,14,18398
113,14,18297
114,14,18196
115,14,18095
116,14,17994
117,14,17893
118,15,18201
119,15,18100
120,15,17999
121,15,17898
122,15,17797
123,15,17499
124,15,17398
125,15,17297
126,15,17196
127,15,17095
128,15,16994
129,16,16893
130,16,16792
131,16,16691
132,16,16590
133,16,16489
134,16,16388
135,16,16287
136,16,16186
137,16,16085
138,18,15984
139,21,16999
140,21,16898
141,21,16797
142,21,16696
143,21,16595
144,22,16494
145,22,16393
146,22,16292
147,22,16191
148,23,15686
149,23,15585
150,23,15484
151,25,16297
152,25,16196
153,25,16095
154,25,15994
155,25,15893
156,25,15792
157,25,15691
158,25,15590
159,26,16807
160,26,16706
161,27,16605
162,27,16504
163,27,16403
164,27,16302
165,27,16201
166,27,16100
167,27,15999
168,27,15898
169,27,15797
170,27,15696
171,27,15595
172,29,15494
173,29,15393
174,29,15292
175,29,15191
176,29,15090
177,29,14989
178,29,14888
179,29,14787
180,29,14686
181,29,14585
182,29,14484
183,30,14383
184,30,14282
185,30,14181
186,30,14080
187,30,13979
188,30,13878
189,31,14489
190,31,14388
191,32,14191
192,32,14090
193,32,13989
194,32,13888
195,32,13787
196,32,13686
197,32,13585
198,32,13484
199,32,13383
200,32,13282
201,32,13181
202,32,13080
203,32,12979
204,32,12878
205,32,12777
206,35,13590
207,35,13489
208,35,13388
209,35,13287
210,35,13186
211,35,13085
212,35,12984
213,35,12883
214,35,12782
215,38,12681
216,39,12580
217,39,12479
218,39,12378
219,39,12277
220,39,12176
221,48,12075
222,52,12686
223,52,12585
224,54,12484
225,54,12383
226,54,12282
227,54,12181
228,54,12080
229,59,12893
230,59,12792
231,59,12691
232,60,12590
233,60,12489
234,60,12388
235,60,12287
236,60,12186
237,60,12085
238,60,11984
239,60,11883
240,60,11782
241,61,11681
242,62,12999
243,62,12898
244,62,12797
245,62,12696
246,62,12191
247,62,12090
248,62,11989
249,62,11888
250,62,11787
251,62,11686
252,63,11585
253,63,11484
254,63,11383
255,63,11282
256,63,11181
257,64,11080
258,65,10979
259,65,10878
260,65,10777
261,65,10676
262,68,11994
263,68,11893
264,68,11792
265,68,11691
266,68,11590
267,68,11489
268,69,11388
269,69,11287
270,69,11186
271,69,11085
272,69,10984
273,69,10883
274,71,10782
275,71,10681
276,71,10580
277,71,10479
278,72,10378
279,72,10277
280,76,11898
281,76,11797
282,77,11696
283,77,11595
284,77,11494
285,78,11393
286,78,11292
287,78,11191
288,79,11090
289,79,10989
290,79,10888
291,79,10787
292,79,10686
293,79,10585
294,79,10484
295,79,10383
296,79,10282
297,79,10181
298,79,10080
299,79,9979
300,93,9878
301,99,9777
302,100,9676
303,100,9575
304,133,9474
305,133,9373
306,135,9272
307,148,9171
308,150,10287
309,150,10186
310,150,10085
311,150,9984
312,151,9883
313,151,9782
314,151,9681
315,151,9580
316,151,9479
317,152,9378
318,161,9277
319,161,9176
320,173,9075
321,173,8974
322,173,8873
323,174,8772
324,209,8671
325,209,8570
326,209,8469
327,224,8368
328,224,9787
329,224,9686
330,224,9585
331,224,9484
332,224,9383
333,224,9282
334,224,9181
335,224,9080
336,225,8979
337,225,8878
338,225,8777
339,225,8676
340,226,8575
341,227,8474
342,227,8373
343,227,8272
344,227,8171
345,227,8070
346,227,7969
347,247,7868
348,247,7767
349,334,9287
350,334,9186
351,336,9085
352,336,8984
353,336,8883
354,336,8782
355,339,8681
356,339,8580
357,340,8479
358,341,8378
359,350,8277
360,350,8176
361,356,8075
362,356,7974
363,356,7873
364,356,7772
365,356,7671
366,443,8686
367,444,8585
368,444,8484
369,450,8383
370,450,8282
371,451,8181
372,452,8080
373,453,7979
374,453,7878
375,453,7777
376,454,7676
377,454,7575
378,454,7474
379,454,7373
380,457,7272
381,467,7171
382,467,7070
383,467,6969
384,467,6868
385,599,6767
386,642,6666
387,1659,6565
