,Time,Cost
0,7,23277
1,8,23393
2,9,24913
3,9,24812
4,9,24711
5,10,26029
6,10,25928
7,10,25827
8,10,25120
9,10,25019
10,10,24918
11,10,24817
12,11,25529
13,11,25428
14,11,25327
15,11,25226
16,11,24923
17,11,24822
18,11,24721
19,11,24620
20,11,24519
21,11,24418
22,12,25029
23,12,24928
24,12,24827
25,12,24726
26,12,24625
27,12,24524
28,12,24423
29,12,24322
30,12,24221
31,12,24120
32,12,24019
33,12,23918
34,12,23817
35,12,23716
36,12,23615
37,12,23514
38,12,23413
39,12,23312
40,12,23211
41,12,23110
42,13,23519
43,13,23418
44,13,23317
45,13,23216
46,13,23115
47,13,23014
48,13,22913
49,13,22812
50,13,22711
51,14,22610
52,14,22509
53,14,22408
54,14,22307
55,14,22206
56,14,22105
57,14,22004
58,14,21903
59,14,21802
60,15,22514
61,15,22413
62,15,22312
63,15,22211
64,16,22110
65,16,22009
66,16,21908
67,16,21913
68,16,21812
69,16,21711
70,16,21610
71,16,21509
72,16,21408
73,16,21307
74,16,21206
75,16,21105
76,16,21004
77,16,20903
78,16,20802
79,16,20701
80,16,20600
81,16,20499
82,16,20100
83,16,19999
84,16,19898
85,16,19797
86,16,19696
87,19,21317
88,19,21216
89,19,21115
90,19,21014
91,19,20913
92,19,20812
93,19,20711
94,19,21019
95,19,20918
96,19,20817
97,19,20716
98,20,20615
99,20,20514
100,20,20413
101,20,20312
102,20,20211
103,21,21630
104,21,21529
105,21,21428
106,21,21327
107,21,21226
108,21,21125
109,22,21024
110,22,20923
111,22,20822
112,22,20519
113,22,20418
114,22,20317
115,22,20216
116,23,20115
117,23,20014
118,25,19105
119,25,19004
120,25,18903
121,25,18802
122,25,18701
123,25,18600
124,25,18499
125,25,18398
126,25,18297
127,25,18196
128,25,18095
129,25,17994
130,25,17893
131,25,17792
132,25,17691
133,28,18706
134,28,18605
135,28,18504
136,28,18403
137,28,18302
138,30,18201
139,32,19721
140,32,19620
141,32,19519
142,34,18812
143,34,18711
144,34,18610
145,34,18509
146,34,18408
147,34,18307
148,34,18206
149,36,18615
150,36,18514
151,38,18413
152,39,17302
153,39,17201
154,39,17100
155,39,16999
156,39,16898
157,39,16797
158,39,16696
159,39,16595
160,39,16494
161,39,16393
162,39,16292
163,39,16191
164,40,17711
165,40,17610
166,40,17509
167,40,17408
168,40,17307
169,41,18524
170,43,18423
171,43,18322
172,43,18221
173,43,18120
174,43,18019
175,43,17918
176,43,17817
177,44,17716
178,44,17615
179,44,17514
180,44,17413
181,44,17312
182,44,17211
183,44,17110
184,44,17009
185,44,16908
186,44,16807
187,44,16706
188,44,16605
189,44,16504
190,44,16403
191,44,16302
192,44,16201
193,44,16100
194,44,15999
195,45,15898
196,45,15797
197,46,15696
198,47,17014
199,47,16913
200,47,16812
201,47,16711
202,47,16610
203,47,16509
204,47,16408
205,47,16307
206,47,16206
207,48,16105
208,48,16004
209,49,15903
210,49,15802
211,50,15701
212,51,15600
213,51,16716
214,52,17529
215,52,17428
216,52,17327
217,52,17226
218,52,17125
219,52,17024
220,53,16923
221,53,16822
222,53,16721
223,53,16620
224,53,16519
225,54,15307
226,54,15206
227,54,15105
228,54,15004
229,54,14903
230,55,15817
231,55,15716
232,55,15615
233,55,15514
234,55,15413
235,55,15312
236,55,15211
237,55,15110
238,55,15009
239,55,14908
240,57,14807
241,57,14706
242,57,14605
243,57,14504
244,57,14403
245,57,14302
246,57,14201
247,57,14100
248,57,13999
249,58,13393
250,58,13292
251,58,13191
252,62,13090
253,62,12989
254,64,14509
255,64,14408
256,64,14307
