,Time,Cost
0,4,22479
1,4,22378
2,4,23393
3,4,23292
4,4,23191
5,4,23090
6,4,22989
7,4,22888
8,5,24004
9,5,23903
10,5,23802
11,5,23807
12,5,23706
13,5,23605
14,5,23504
15,5,23403
16,5,23302
17,5,23201
18,5,23100
19,5,22999
20,6,22898
21,6,22797
22,8,24014
23,8,23913
24,8,23812
25,8,23711
26,8,23610
27,8,23509
28,8,23408
29,8,23307
30,8,23206
31,8,23105
32,8,23004
33,9,22903
34,9,22802
35,10,22701
36,10,22600
37,10,22499
38,10,22398
39,10,22297
40,10,22196
41,10,22095
42,10,21994
43,10,21893
44,10,21792
45,10,21691
46,10,21590
47,10,21489
48,10,21388
49,12,21186
50,12,21085
51,12,20984
52,12,20883
53,12,20782
54,13,21595
55,13,21494
56,13,21393
57,13,21292
58,13,21191
59,13,21090
60,14,21802
61,14,21701
62,15,21600
63,15,21499
64,15,21398
65,15,21297
66,15,21196
67,15,21095
68,15,20994
69,15,20893
70,15,20792
71,15,20691
72,15,20590
73,15,20489
74,15,20388
75,15,20287
76,15,20186
77,15,20085
78,15,19984
79,16,21504
80,16,21403
81,16,21302
82,16,21201
83,16,21100
84,16,20999
85,16,20898
86,17,20797
87,17,20696
88,17,20595
89,17,20494
90,17,20393
91,17,20292
92,17,20191
93,17,20090
94,17,19989
95,17,19888
96,17,19787
97,17,19686
98,17,19585
99,17,21307
100,17,21206
101,17,21105
102,17,21004
103,17,20903
104,17,20802
105,17,20701
106,17,20600
107,17,20499
108,18,20196
109,18,20095
110,18,19994
111,18,19893
112,18,19792
113,18,19691
114,18,19590
115,18,19489
116,18,19388
117,19,19898
118,19,19797
119,20,19696
120,20,19595
121,20,19494
122,20,19393
123,20,19292
124,20,19191
125,20,19090
126,20,18989
127,20,18888
128,20,18787
129,20,18686
130,21,18585
131,24,18484
132,25,20509
133,25,20408
134,25,20307
135,25,20206
136,25,20105
137,25,20004
138,25,19903
139,25,19802
140,25,19701
141,26,19600
142,26,19499
143,26,19398
144,26,19297
145,28,19196
146,28,19095
147,28,18994
148,28,18893
149,28,18792
150,28,18691
151,28,18590
152,28,18489
153,28,18388
154,28,18287
155,28,18186
156,29,18085
157,30,18797
158,30,18696
159,30,18595
160,30,18494
161,30,18393
162,30,18292
163,30,18191
164,31,18090
165,33,19105
166,33,19004
167,33,18903
168,33,18802
169,33,18701
170,33,18600
171,33,18499
172,34,18398
173,34,18297
174,34,18196
175,35,18095
176,35,17994
177,35,17893
178,35,17792
179,35,17691
180,35,18605
181,36,18504
182,36,18403
183,36,18302
184,36,18201
185,36,18100
186,36,17999
187,36,17898
188,36,17797
189,36,17696
190,36,17595
191,37,17494
192,37,17393
193,37,17292
194,37,17191
195,37,17090
196,37,16989
197,37,16888
198,37,16787
199,38,16686
200,39,16585
201,39,16484
202,39,16383
203,39,16282
204,39,16181
205,39,18004
206,39,17903
207,39,17802
208,39,17701
209,40,17600
210,40,17499
211,41,17196
212,41,17095
213,41,16994
214,44,16893
215,44,16792
216,44,16691
217,44,16590
218,44,16489
219,44,16388
220,44,16287
221,44,16186
222,44,16085
223,44,15984
224,44,15883
225,47,16797
226,47,16696
227,49,16494
228,49,16393
229,49,16292
230,49,16191
231,49,16090
232,51,15686
233,51,15585
234,51,15484
235,51,15383
236,51,15282
237,51,15181
238,51,15080
239,51,14979
240,51,14878
241,51,14777
242,51,14676
243,51,14575
244,51,14474
245,51,14373
246,51,14272
247,53,16499
248,53,16398
249,53,16297
250,53,16196
251,53,16095
252,53,15994
253,54,15893
254,54,15691
255,54,15590
256,54,15489
257,54,15388
258,54,15287
259,54,15186
260,54,15085
261,55,14984
262,55,14883
263,55,14782
264,56,14681
265,56,15494
266,56,15393
267,56,15292
268,56,15191
269,56,15090
270,56,14989
271,57,15701
272,57,15600
273,57,15499
274,57,15398
275,57,15297
276,57,14999
277,57,14898
278,57,14797
279,57,14696
280,57,14595
281,57,14494
282,57,14393
283,57,14292
284,57,14191
285,58,14090
286,58,13989
287,58,13888
288,58,13787
289,59,13686
290,59,13585
291,59,13484
292,59,13383
293,61,13282
294,61,13181
295,64,13080
296,67,14701
297,67,14600
298,67,14499
299,68,14398
300,68,14297
301,68,14196
302,68,14095
303,68,13994
304,68,13893
305,68,13792
306,68,13691
307,68,13590
308,68,13489
309,68,13388
310,68,13287
311,68,13186
312,68,13085
313,69,12984
314,70,12883
315,70,12782
316,70,12681
317,74,12580
318,74,13090
319,74,12989
320,74,12888
321,74,12787
322,76,12686
323,77,12585
324,77,12484
325,81,12383
326,81,12282
327,81,12181
328,86,12080
329,90,11979
330,92,11878
331,92,11777
332,117,11676
333,117,11575
334,123,12691
335,124,12590
336,124,12489
337,125,12388
338,125,12287
339,125,12186
340,125,12085
341,125,11984
342,125,11883
343,126,11782
344,132,11681
345,135,13201
346,135,13100
347,135,12999
348,135,12898
349,135,12797
350,135,12696
351,135,12595
352,135,12494
353,135,12393
354,136,12292
