,Time,Cost
0,4,25782
1,4,25681
2,4,25479
3,4,25378
4,5,26090
5,5,25989
6,5,25888
7,5,25787
8,5,25686
9,5,25585
10,5,25287
11,5,25186
12,5,25085
13,5,24984
14,6,24883
15,6,25898
16,6,25797
17,6,25696
18,6,25595
19,6,25494
20,7,25393
21,7,25292
22,7,25191
23,7,25701
24,7,25600
25,7,25499
26,7,25398
27,7,25297
28,7,25196
29,7,25403
30,7,25302
31,7,25201
32,7,25100
33,7,24999
34,7,24898
35,7,24797
36,7,24499
37,7,24398
38,8,22807
39,8,22706
40,8,22605
41,8,22504
42,9,21393
43,9,21292
44,9,21191
45,9,20893
46,9,20792
47,9,20691
48,9,20590
49,9,20489
50,9,20090
51,9,19989
52,9,19888
53,9,19893
54,9,19792
55,9,19691
56,9,19590
57,9,19489
58,10,20706
59,10,20605
60,10,20504
61,10,20403
62,11,20302
63,11,20201
64,11,20100
65,11,19999
66,11,19898
67,11,19797
68,11,19696
69,11,19595
70,12,20509
71,12,20408
72,12,20307
73,12,20206
74,12,20105
75,12,20004
76,12,19903
77,12,19802
78,12,19701
79,12,19600
80,12,19499
81,12,19398
82,12,19297
83,12,19196
84,12,19095
85,12,18994
86,12,18893
87,12,18792
88,14,18489
89,14,18388
90,14,18287
91,14,18186
92,14,18085
93,15,17984
94,15,17883
95,15,17782
96,15,17681
97,15,17580
98,15,17479
99,15,17378
100,15,17277
101,15,17176
102,16,18797
103,16,18696
104,16,18595
105,16,18494
106,16,18393
107,17,18292
108,17,18191
109,18,17888
110,18,17787
111,18,17686
112,18,17585
113,18,17484
114,18,17383
115,18,17282
116,18,17181
117,18,17080
118,18,18297
119,18,18196
120,18,18095
121,18,17994
122,18,17893
123,18,17792
124,18,18908
125,18,18807
126,18,18706
127,18,18605
128,18,18504
129,18,18403
130,19,18302
131,19,18201
132,19,17903
133,19,17802
134,19,17701
135,19,17600
136,19,17499
137,19,17398
138,19,17297
139,19,17196
140,19,17095
141,19,16994
142,19,16893
143,19,16792
144,19,16691
145,19,16590
146,22,16489
147,22,16388
148,22,16287
149,22,16186
150,22,16085
151,24,15984
152,24,15883
153,24,15782
154,24,15681
155,24,17302
156,24,17201
157,24,17100
158,24,16999
159,24,16898
160,24,16797
161,25,16696
162,25,16595
163,25,16494
164,25,16393
165,26,16292
166,26,16191
167,26,16090
168,29,15989
169,29,15888
170,30,15787
171,30,15686
172,30,15585
173,30,15484
174,30,15383
175,30,15282
176,30,15181
177,30,15080
178,38,16196
179,38,16095
180,38,15994
181,40,15893
182,40,15792
183,40,15691
184,40,15590
185,40,15489
186,40,15388
187,40,15287
188,40,15186
189,40,15085
190,40,14984
191,41,14883
192,42,14782
193,42,14681
194,43,14580
195,43,14479
196,43,14378
197,43,14277
198,43,14176
199,45,14075
200,48,13974
201,48,13873
202,65,14585
203,66,15802
204,66,15701
205,66,15600
206,66,15499
207,67,15398
208,67,15297
209,67,15196
210,67,15095
211,67,14994
212,67,14893
213,67,14792
214,67,14691
215,67,14590
216,67,14489
217,67,14388
218,67,14287
219,67,14186
220,67,14085
221,67,13984
222,67,13883
223,67,13782
224,67,13681
225,67,13580
226,67,13479
227,67,13378
228,67,13277
229,72,13176
230,73,14898
231,73,14797
232,73,14696
233,73,14595
234,73,14494
235,73,14393
236,73,14292
237,74,14191
238,74,14090
239,74,13989
240,74,13888
241,74,13787
242,74,13686
243,74,13585
244,74,13484
245,74,13383
246,74,13282
247,75,13181
248,75,13080
249,75,12979
250,76,12878
251,76,12984
252,76,12883
253,76,12782
254,77,12681
255,77,13696
256,77,13595
257,77,13494
258,77,13393
259,79,13292
260,80,13191
261,81,13090
262,81,12989
263,81,12888
264,82,12787
265,84,12590
266,85,12489
267,85,12388
268,86,12287
269,86,12186
270,86,12085
271,87,11984
272,87,11883
273,87,12191
274,87,12090
275,87,11989
276,88,11888
277,88,11787
278,88,11686
279,88,11585
280,88,11484
281,88,11383
282,88,11282
283,88,11181
284,89,11080
285,89,10979
286,89,10878
287,89,10777
288,89,10676
289,89,10575
290,90,10474
291,100,10373
292,115,12095
293,115,11994
294,115,11893
295,115,11792
296,115,11691
297,116,11590
298,116,11489
299,117,11388
300,118,11287
301,119,11186
302,119,11085
303,119,10984
304,120,10883
305,120,10782
306,121,11696
307,121,11595
308,121,11494
309,121,11393
310,121,11292
311,121,11191
312,121,11090
313,121,10989
314,121,10888
315,122,10787
316,122,10686
317,122,10585
318,122,10484
319,123,10383
320,123,10282
321,123,10181
322,123,10080
323,123,9979
324,123,9878
325,125,9777
326,135,9676
327,135,9575
328,135,9176
329,135,9075
330,135,8974
331,136,8873
332,136,8772
333,140,9888
334,140,9787
335,140,9686
336,140,9585
337,141,9484
338,141,9080
339,141,8979
340,142,8878
341,142,8777
342,145,8676
343,145,8575
344,145,8474
345,145,8373
346,156,8272
347,156,8171
348,156,8070
349,156,7969
350,169,9388
351,169,9287
352,169,9186
353,169,9085
354,169,8984
355,169,8883
356,173,8782
357,173,8681
358,173,8580
359,174,8479
360,175,8378
361,177,8277
362,177,8176
363,177,8075
364,178,7974
365,178,7873
366,182,7772
367,183,7671
368,199,7570
369,199,7469
370,200,7368
371,215,7267
372,265,8686
373,265,8585
374,265,8484
375,265,8383
376,265,8282
377,267,8181
378,267,8080
379,267,7979
380,267,7878
381,267,7777
382,267,7676
383,268,7575
384,269,7474
385,269,7373
386,269,7272
387,269,7171
388,269,7070
389,269,6969
390,269,6868
391,364,6767
392,367,6666
393,542,6565
394,543,6464
395,1755,6363
396,2141,6262
