,Time,Cost
0,5,24979
1,5,26499
2,5,26398
3,6,26302
4,6,26201
5,6,26100
6,6,25999
7,6,25898
8,6,25797
9,6,25499
10,6,25398
11,6,25297
12,6,24898
13,6,24797
14,6,24701
15,6,24600
16,6,24499
17,6,24398
18,6,24297
19,6,24196
20,6,24807
21,6,24706
22,6,24605
23,6,24504
24,7,24100
25,7,23999
26,7,23898
27,7,23797
28,7,23696
29,7,23600
30,7,23499
31,7,23398
32,7,23201
33,7,23100
34,7,22999
35,7,22898
36,7,22797
37,7,22696
38,7,22595
39,7,22494
40,7,22393
41,8,22292
42,8,22191
43,8,22090
44,8,21989
45,8,21888
46,9,21903
47,9,21802
48,9,21701
49,9,21600
50,9,21499
51,9,21398
52,10,21297
53,10,21196
54,10,21095
55,10,20994
56,10,20489
57,10,20388
58,10,20287
59,10,20186
60,10,20085
61,13,20494
62,13,20393
63,13,20292
64,13,20191
65,13,20090
66,13,19994
67,13,19893
68,13,19792
69,13,19691
70,13,19590
71,13,19292
72,13,19191
73,14,19802
74,14,19701
75,14,19600
76,14,19499
77,14,19398
78,14,19297
79,14,19196
80,14,19095
81,14,18994
82,14,18893
83,14,18792
84,14,18691
85,14,18590
86,14,18489
87,14,18388
88,14,18287
89,14,18186
90,14,18085
91,14,17984
92,14,17883
93,14,17782
94,14,17681
95,14,17580
96,14,17479
97,14,17378
98,14,17277
99,15,19302
100,15,19201
101,15,19100
102,15,18999
103,16,18898
104,16,18802
105,16,18701
106,16,18600
107,16,18499
108,16,18398
109,16,18297
110,16,18196
111,16,18095
112,16,17994
113,16,17893
114,17,17792
115,17,17691
116,17,17489
117,17,17388
118,17,17287
119,17,17186
120,17,17085
121,17,16984
122,17,16883
123,17,16782
124,17,16681
125,17,16580
126,17,16479
127,17,16378
128,17,16277
129,17,16176
130,17,16075
131,17,15974
132,17,15873
133,19,17494
134,19,17393
135,19,17292
136,19,17191
137,19,17090
138,19,16989
139,19,16888
140,19,16787
141,19,16686
142,19,16585
143,20,17499
144,20,17398
145,20,17297
146,20,17196
147,20,17095
148,20,16994
149,20,16893
150,20,16792
151,20,16691
152,20,16590
153,20,16489
154,20,16388
155,20,16287
156,20,16186
157,20,16085
158,20,15984
159,20,15883
160,20,15782
161,20,15681
162,21,15580
163,21,15479
164,23,15378
165,23,15277
166,27,15176
167,27,16292
168,27,16191
169,27,16090
170,27,15989
171,28,15888
172,28,15787
173,28,15686
174,28,15585
175,28,15484
176,28,15383
177,28,15282
178,28,15181
179,28,15080
180,28,14979
181,32,16701
182,32,16600
