,Time,Cost
0,5,28777
1,6,29893
2,6,29792
3,7,27898
4,7,27797
5,7,27696
6,7,27595
7,7,27494
8,7,27297
9,7,27196
10,7,27302
11,7,27201
12,7,27100
13,8,26504
14,8,26004
15,8,25903
16,8,25802
17,8,25701
18,8,25706
19,8,25605
20,8,25504
21,8,25403
22,8,25302
23,8,24802
24,8,24701
25,8,24302
26,9,24201
27,9,24100
28,10,24711
29,10,24610
30,10,24509
31,10,24408
32,10,24307
33,10,24206
34,10,24105
35,10,24004
36,11,23903
37,11,23802
38,11,24110
39,11,24009
40,11,23908
41,11,23807
42,11,23706
43,11,23913
44,11,23812
45,11,23711
46,11,23610
47,11,23509
48,11,23408
49,12,23307
50,12,23206
51,12,23105
52,12,23004
53,13,23716
54,13,23615
55,13,23514
56,13,23211
57,13,23110
58,13,23009
59,13,22908
60,13,22807
61,13,22706
62,13,22605
63,14,22504
64,15,22403
65,15,22302
66,15,22201
67,15,22100
68,15,21999
69,15,21898
70,15,21797
71,15,21696
72,15,21595
73,15,21494
74,15,21393
75,15,21292
76,15,21191
77,15,21090
78,15,20989
79,15,20888
80,15,20787
81,15,20686
82,17,21095
83,17,20994
84,17,20893
85,17,20792
86,17,20691
87,20,20489
88,20,20388
89,20,20287
90,21,21706
91,21,21605
92,21,21504
93,21,21403
94,21,21302
95,21,21201
96,21,21105
97,21,21004
98,21,20903
99,21,20802
100,21,20701
101,23,20600
102,23,20499
103,23,20398
104,23,20297
105,23,20196
106,23,20095
107,23,19994
108,23,19893
109,23,19792
110,23,19691
111,23,19590
112,24,19489
113,24,19388
114,24,19287
115,24,19186
116,24,19085
117,24,19696
118,24,19595
119,24,19494
120,24,19393
121,24,19292
122,24,19191
123,24,19090
124,24,18989
125,24,18888
126,25,18787
127,25,18686
128,25,18585
129,25,18484
130,25,18383
131,25,18282
132,27,18181
133,27,18080
134,29,19095
135,32,19807
136,32,19706
137,32,19605
138,32,19201
139,32,19100
140,32,18999
141,32,18898
142,32,18797
143,33,18494
144,33,18393
145,33,18292
146,34,18191
147,34,18090
148,34,17989
149,34,17888
150,36,17787
151,36,17686
152,36,17585
153,36,17484
154,36,17383
155,36,17282
156,36,17181
157,36,17080
158,36,16979
159,36,16878
160,36,16777
161,36,16676
162,41,17792
163,41,17691
164,42,17590
165,42,17489
166,42,17388
167,42,17287
168,42,17186
169,42,17085
170,43,16984
171,43,16883
172,43,16782
173,43,18605
174,43,18504
175,43,18403
176,43,18302
177,43,18201
178,43,18100
179,43,17999
180,43,17898
181,44,17797
182,44,17696
183,44,17595
184,44,17494
185,44,17191
186,44,17090
187,44,16989
188,44,16888
189,45,18105
190,45,18004
191,45,17903
192,45,17802
193,45,17701
194,46,17600
195,47,17499
196,47,17398
197,47,17297
198,47,16797
199,47,16696
200,47,16600
201,47,16499
202,47,16398
203,47,16297
204,48,16095
205,48,15994
206,48,15893
207,48,15792
208,48,15691
209,48,15590
210,48,15489
211,48,15388
212,48,15287
213,48,15186
214,48,15085
215,48,14984
216,48,14883
217,48,14782
218,48,14681
219,48,14580
220,48,14479
221,48,14378
222,48,14277
223,49,14176
224,49,14075
225,51,16302
226,51,16201
227,51,16100
228,51,15999
