,Time,Cost
0,4,29974
1,4,29873
2,4,29772
3,4,30691
4,4,30590
5,4,30489
6,4,30388
7,5,27989
8,5,27888
9,5,27590
10,5,27489
11,5,27388
12,5,27287
13,5,27186
14,5,26989
15,5,26888
16,5,26787
17,5,26686
18,5,26585
19,5,26484
20,5,26383
21,5,26282
22,5,27802
23,5,27701
24,5,27600
25,5,27499
26,5,27398
27,6,27807
28,6,27706
29,7,25994
30,7,25893
31,7,25792
32,7,25691
33,7,25590
34,7,25489
35,7,25388
36,7,25287
37,7,25186
38,7,25085
39,8,24984
40,9,24883
41,9,24782
42,9,24681
43,10,26302
44,10,26201
45,10,26100
46,10,25999
47,10,25898
48,10,25797
49,10,25696
50,10,25595
51,10,25494
52,10,25393
53,10,25292
54,10,25191
55,10,25201
56,10,25100
57,10,24999
58,10,24898
59,10,24903
60,10,24802
61,10,24701
62,10,24600
63,10,24499
64,10,24398
65,10,24302
66,10,24201
67,10,24100
68,12,23999
69,12,23898
70,12,23797
71,12,23696
72,12,23595
73,12,23494
74,12,23393
75,12,23292
76,12,23191
77,12,23090
78,12,22989
79,12,22888
80,12,22787
81,14,23701
82,14,23600
83,14,23499
84,14,23398
85,14,23297
86,14,23196
87,14,23095
88,14,22994
89,14,22893
90,14,22792
91,15,22691
92,15,21504
93,15,21403
94,15,21302
95,15,21201
96,15,21100
97,15,20999
98,15,20898
99,15,21004
100,15,20903
101,15,20802
102,15,20701
103,15,20600
104,15,20499
105,15,20398
106,15,20297
107,15,20196
108,16,20095
109,16,19994
110,16,19893
111,16,19792
112,16,19691
113,16,19590
114,16,19489
115,16,19388
116,16,19287
117,16,19186
118,16,19085
119,16,18984
120,16,18883
121,16,18782
122,17,18681
123,17,18580
124,18,19696
125,18,19595
126,18,19494
127,18,19393
128,18,19292
129,18,19191
130,18,19090
131,18,18989
132,18,18888
133,19,18787
134,19,18686
135,20,18585
136,20,18484
137,20,18383
138,20,18282
139,20,18181
140,20,18080
141,20,17979
142,20,17878
143,20,17777
144,20,17676
145,20,17575
146,24,18388
147,24,18287
148,24,18186
149,24,18085
150,27,18393
151,27,18292
152,27,18191
153,27,18090
154,27,17989
155,27,17888
156,27,17787
157,29,17686
158,29,17585
159,29,17484
160,29,17383
161,29,17282
162,29,17181
163,29,17080
164,31,16979
165,31,16878
166,32,17893
167,32,17792
168,32,17691
169,32,17590
170,32,17489
171,32,17388
172,34,17287
173,35,17999
174,35,17898
175,35,17797
176,35,17696
177,35,17595
