,Time,Cost
0,4,19171
1,4,19070
2,6,20691
3,6,20590
4,6,20489
5,7,21807
6,7,21706
7,7,21605
8,7,21504
9,7,21403
10,7,21302
11,7,21201
12,7,21100
13,7,20999
14,7,20898
15,8,20797
16,8,20696
17,8,20595
18,8,20494
19,8,20393
20,8,20292
21,9,20191
22,9,20090
23,9,19989
24,9,19888
25,9,19787
26,9,19686
27,9,19585
28,9,19484
29,9,19383
30,9,19282
31,9,19181
32,9,19080
33,10,18979
34,10,19994
35,10,19893
36,10,19792
37,10,19691
38,10,19590
39,10,19489
40,10,19388
41,11,19287
42,11,19999
43,11,19898
44,11,19797
45,12,19696
46,12,19595
47,12,19494
48,12,19393
49,12,19292
50,12,19191
51,12,19090
52,12,18989
53,12,18888
54,12,18787
55,12,18686
56,12,18585
57,12,18484
58,12,18383
59,12,18282
60,13,19600
61,13,19499
62,13,19398
63,13,19297
64,13,20110
65,13,20009
66,13,19908
67,13,19807
68,14,19504
69,14,19403
70,14,19302
71,14,19201
72,14,19100
73,14,18999
74,14,18898
75,14,18797
76,14,18696
77,14,18595
78,14,18494
79,15,18393
80,15,18292
81,15,18191
82,15,18090
83,15,17989
84,15,17888
85,15,17787
86,15,17686
87,15,17585
88,15,17484
89,15,17383
90,15,17282
91,15,17181
92,15,17080
93,15,16984
94,15,16883
95,15,16782
96,15,16681
97,15,16580
98,15,16479
99,15,16378
100,17,16277
101,19,16176
102,19,16075
103,20,15974
104,27,16686
105,27,16585
106,27,16484
107,27,16383
108,27,16282
109,29,15979
110,29,15878
111,29,15777
112,29,15676
113,29,15575
114,30,15474
115,38,16590
116,39,16489
117,39,16388
118,39,16287
119,39,16186
120,39,16085
121,40,15984
122,40,16999
123,40,16898
124,40,16797
125,40,16696
126,41,16595
127,41,16494
128,41,16393
129,42,15888
130,42,15787
131,42,15686
132,42,15585
133,42,15484
134,42,15383
135,42,15282
136,42,15181
137,42,15080
138,42,14979
139,42,14878
140,42,14777
141,43,14676
142,44,14575
143,44,14474
144,45,14373
145,45,14272
146,67,14171
147,67,14070
148,68,15489
149,68,15388
150,69,15287
151,69,15186
152,69,15085
153,69,15090
154,69,14989
155,69,14888
156,69,14787
157,69,14686
158,69,14585
159,69,14484
160,69,14383
161,70,14282
162,70,14181
163,70,14080
164,70,13979
165,70,13878
166,70,13777
167,70,13676
168,70,13575
169,70,13474
170,73,13373
171,73,13272
172,73,13171
173,74,13070
174,76,12969
175,77,12868
176,79,12767
177,87,14489
178,87,14388
179,87,14287
180,87,14186
181,88,14085
182,88,13984
183,88,13883
184,89,13782
185,90,13681
186,90,13580
187,90,13479
188,90,13378
189,90,13277
190,91,13176
191,91,13075
192,92,12974
193,92,12873
194,92,12772
195,92,12671
196,92,12570
197,92,12469
198,92,12368
199,93,13787
200,93,13686
201,93,13585
202,93,13484
203,93,13383
204,93,13282
205,93,13181
206,93,13080
207,93,12979
208,93,12878
209,93,12777
210,93,12676
211,93,12575
212,94,13388
213,94,13287
214,94,13186
215,95,13085
216,95,12984
217,97,12883
218,97,12782
219,97,12681
220,97,12580
221,97,12479
222,97,12378
223,97,12277
224,98,12176
225,98,12075
226,99,11974
227,99,11873
228,100,11772
229,101,11671
230,101,11570
231,101,11469
232,101,11368
233,101,11267
234,101,11166
235,101,11065
236,101,10964
237,113,12181
238,113,12080
239,113,11979
240,113,11878
241,114,11777
242,114,11676
243,114,11575
244,114,11474
245,114,11373
246,114,11272
247,123,12893
248,123,12792
249,123,12590
250,123,12489
251,123,12388
252,123,12287
253,128,12186
254,128,12085
255,128,11984
256,129,11883
257,129,11782
258,129,11681
259,129,11580
260,129,11479
261,129,11378
262,129,11277
263,129,11176
264,130,11075
265,130,10974
266,130,10873
267,130,10772
268,131,10671
269,131,10570
270,146,10469
271,146,10368
272,146,10267
273,147,10166
274,147,11181
275,147,11080
276,148,10979
277,149,10878
278,150,10777
279,151,10676
280,151,10575
281,151,10474
282,151,10373
283,151,10272
284,151,10171
285,151,10070
286,151,9969
287,151,9868
288,151,9767
289,152,9666
290,152,9565
291,173,10984
292,173,10883
293,173,10782
294,174,10681
295,174,10580
296,174,10479
297,174,10378
298,176,10277
299,176,10176
300,176,10075
301,181,9974
302,181,9873
303,181,9772
304,181,9671
305,185,9570
306,185,9469
307,186,9368
308,187,9267
309,187,9166
310,188,9065
311,189,8964
312,190,8863
313,191,10585
314,191,10484
315,191,10383
316,191,10282
317,191,10181
318,193,10080
319,194,9979
320,194,9878
321,194,9777
322,194,9676
323,194,9575
324,194,9474
325,196,9373
326,196,9272
327,196,9171
328,196,9070
329,197,8969
330,198,8868
331,198,8767
332,200,8666
333,253,10388
334,253,10287
335,253,10186
336,253,10085
337,253,9984
338,253,9883
339,253,9782
340,253,9681
341,253,9580
342,253,9479
343,253,9378
344,253,9277
345,253,9176
346,254,9075
347,255,8974
348,257,8873
349,258,8772
350,259,8671
351,261,8570
352,261,8469
353,261,8368
354,268,8267
355,284,8166
356,297,8065
357,300,7964
358,331,9282
359,333,9181
360,335,9080
361,336,8979
362,336,8878
363,336,8777
364,338,8676
365,339,8575
366,340,8474
367,340,8373
368,340,8272
369,340,8171
370,348,8070
371,348,7969
372,353,7868
373,353,7767
374,354,7666
375,354,7565
376,424,8681
377,427,8580
378,427,8479
379,427,8378
380,428,8277
381,428,8176
382,428,8075
383,429,7974
384,429,7873
385,429,7772
386,429,7671
387,430,7570
388,431,7469
389,431,7368
390,438,7267
391,449,7166
392,483,7065
393,484,6964
394,484,6863
395,718,6762
396,718,6661
397,743,7676
398,745,7575
399,745,7474
400,745,7373
401,745,7272
402,746,7171
403,746,7070
404,746,6969
405,746,6868
406,746,6767
407,746,6666
408,756,6565
409,760,6464
410,760,6363
411,760,6262
412,763,6161
413,1069,6060
414,1069,5959
415,1075,5858
