,Time,Cost
0,7,20585
1,7,20484
2,7,20085
3,7,19984
4,7,19883
5,7,19782
6,7,21201
7,7,20797
8,7,20696
9,7,20595
10,8,21610
11,8,21509
12,9,21408
13,9,21307
14,9,21206
15,9,21105
16,9,21004
17,9,20903
18,10,20802
19,10,20701
20,10,20600
21,10,20499
22,11,20398
23,11,20297
24,11,20302
25,11,20201
26,11,20100
27,13,20413
28,13,20312
29,13,20211
30,13,20110
31,13,20009
32,13,19908
33,13,19807
34,13,19706
35,13,19605
36,13,19504
37,13,19403
38,13,19302
39,13,19201
40,13,19100
41,13,18999
42,13,18898
43,13,18797
44,13,18696
45,13,18595
46,13,18494
47,15,19307
48,15,19206
49,15,19105
50,15,19004
51,16,18903
52,16,18802
53,16,18701
54,16,18807
55,16,18706
56,16,18605
57,16,18504
58,16,18403
59,16,18302
60,16,18201
61,16,18100
62,16,17999
63,16,17898
64,16,17797
65,16,17696
66,17,17595
67,17,17494
68,17,17393
69,17,17292
70,17,17191
71,18,18913
72,18,18812
73,18,18711
74,18,18610
75,18,18509
76,19,18408
77,19,18307
78,19,18206
79,19,18105
80,19,18004
81,19,17903
82,19,17802
83,19,17605
84,19,17504
85,19,17403
86,20,17302
87,20,17201
88,20,17100
89,20,16999
90,20,16898
91,20,16797
92,20,16696
93,20,16595
94,25,16494
95,25,16393
96,25,16292
97,27,16191
98,27,16090
99,32,16100
100,32,15999
101,32,15898
102,32,15797
103,33,15696
104,33,15595
105,35,15494
106,35,15393
107,35,15292
108,35,15191
109,36,15090
110,36,14989
111,36,14888
112,37,14787
113,37,14686
114,40,14484
115,40,14383
116,40,14282
117,40,14181
118,40,14080
119,40,13979
120,42,16105
121,42,16004
122,42,15903
123,42,15802
124,42,15701
125,42,15600
126,43,15499
127,43,15398
128,43,15297
129,43,15196
130,43,15095
131,43,14994
132,43,14893
133,43,14792
134,43,14691
135,45,14696
136,46,15206
137,46,15105
138,46,15004
139,46,14903
140,46,14802
141,46,14701
142,46,14600
143,47,14499
144,47,14398
145,47,14297
146,47,14196
147,47,14095
148,47,13994
149,47,13893
150,47,13792
151,47,13691
152,47,13590
153,47,13489
154,47,13388
155,48,13287
156,48,13186
157,51,13085
158,53,12984
159,53,12883
160,55,14302
161,55,14201
162,55,14100
163,55,13999
164,55,13898
165,56,13797
166,57,13595
167,57,13494
168,57,13393
169,57,13292
170,57,13191
171,57,13090
172,57,12989
173,57,12888
174,57,12787
175,57,12686
176,57,12585
177,57,12484
178,57,12383
179,57,12282
180,58,13398
181,58,13297
182,58,13196
183,60,13095
184,61,12994
185,61,12893
186,62,12792
187,65,12691
188,65,12590
189,65,12489
190,65,12388
191,65,12287
192,65,12186
193,65,12085
194,65,11984
195,65,11883
196,77,11782
197,77,11681
198,77,11580
199,77,11479
200,77,11378
201,88,12797
202,88,12696
203,90,12595
204,93,12494
205,93,12393
206,94,12292
207,94,12191
208,94,12090
209,94,11989
210,94,11888
211,94,11787
212,94,11686
213,94,11585
214,94,12499
215,94,12398
216,94,12297
217,94,12196
218,94,12095
219,95,12201
220,95,12100
221,95,11999
222,96,11898
223,96,11797
224,96,11696
225,96,11595
226,96,11494
227,96,11393
228,96,11292
229,96,11191
230,96,11090
231,96,10989
232,96,10888
233,96,10787
234,96,10686
235,96,10585
236,96,10484
237,104,10383
238,104,10282
239,104,10181
240,109,12307
241,109,12206
242,110,12105
243,110,12004
244,110,11903
245,110,11802
246,110,11701
247,110,11600
248,110,11499
249,111,12312
250,111,12211
251,111,12110
252,111,12009
253,111,11908
254,111,11807
255,111,11706
256,111,11605
257,111,11504
258,112,11403
259,112,11302
260,112,11201
261,112,11100
262,112,10999
263,112,10898
264,113,10797
265,113,10696
266,113,10595
267,113,10494
268,114,10393
269,114,10292
270,114,10191
271,114,10090
272,114,9989
273,123,9888
274,125,9787
275,125,9686
276,125,9585
277,126,9484
278,126,9383
279,127,9282
280,128,9181
281,128,9080
282,129,8979
283,129,8878
284,129,8777
285,143,10398
286,143,10297
287,143,10196
288,143,10095
289,143,9994
290,144,9893
291,146,9792
292,147,9691
293,147,9590
294,147,9489
295,147,9388
296,148,9287
297,148,9186
298,180,9085
299,180,8984
300,180,8883
301,180,8782
302,180,8681
303,185,8580
304,185,8479
305,185,8378
306,185,8277
307,185,8176
308,185,8075
309,185,7974
310,185,7873
311,186,7772
312,186,7671
313,241,10100
314,241,9999
315,242,9898
316,242,9797
317,242,9696
318,243,9595
319,243,9494
320,243,9393
321,244,9292
322,246,9191
323,246,9090
324,246,8989
325,246,8888
326,247,8787
327,255,8686
328,257,8585
329,258,8484
330,258,8282
331,258,8181
332,260,8080
333,264,7979
334,266,7878
335,275,7777
336,288,7676
337,290,7575
338,291,7474
339,291,7373
340,307,7272
341,397,7272
342,397,7171
343,483,7171
344,518,7070
345,519,6969
346,519,6868
