,Time,Cost
0,6,18681
1,6,18580
2,6,18479
3,6,18378
4,6,19292
5,7,18994
6,7,19004
7,7,18903
8,8,18802
9,8,18701
10,9,18206
11,9,18105
12,9,18004
13,9,17903
14,10,17802
15,10,17701
16,10,17600
17,10,17499
18,10,17398
19,11,17297
20,11,17196
21,12,17095
22,12,16994
23,12,16893
24,12,16792
25,13,16691
26,13,16590
27,13,16489
28,13,16388
29,13,16287
30,13,16186
31,13,16085
32,13,15984
33,13,15883
34,13,15782
35,13,15681
36,15,16494
37,15,16393
38,15,16095
39,15,15994
40,15,15893
41,16,15792
42,16,15691
43,18,15590
44,18,15489
45,18,15388
46,18,15287
47,18,15186
48,19,15085
49,19,14984
50,19,14883
51,19,14782
52,19,14681
53,19,14580
54,19,14479
55,19,14378
56,23,15393
57,24,15292
58,25,15191
59,25,15090
60,25,14989
61,25,14888
62,25,14787
63,25,14686
64,25,14585
65,25,14484
66,25,14383
67,25,14282
68,25,14181
69,25,14080
70,28,13979
71,29,15095
72,29,14994
73,29,14893
74,29,14792
75,29,14691
76,29,14590
77,29,14489
78,29,14999
79,29,14898
80,29,14797
81,29,14696
82,30,14595
83,31,13888
84,31,13787
85,31,13686
86,32,14297
87,32,14196
88,32,14095
89,32,13994
90,37,13893
91,38,13792
92,38,13691
93,38,13590
94,38,13489
95,38,13388
96,38,13287
97,41,13999
98,41,13898
99,41,13797
100,41,13696
101,41,13595
102,41,13494
103,41,13393
104,41,13292
105,42,13191
106,42,13090
107,42,12989
108,42,12888
109,42,12787
110,45,12686
111,50,12585
112,51,12484
113,51,12383
114,51,12282
115,51,12181
116,51,12080
117,51,11979
118,51,11878
119,51,11777
120,59,12590
121,59,12489
122,59,12388
123,60,12287
124,61,12186
125,61,12085
126,61,11984
127,61,11883
128,62,11782
129,67,11681
130,67,11580
131,67,11479
132,67,11378
133,67,12090
134,68,11989
135,68,11888
136,68,11787
137,68,11686
138,72,11585
139,72,11484
140,72,11383
141,72,11282
142,72,11181
143,72,11080
144,72,10979
145,72,10878
146,72,10777
147,72,10676
148,72,10575
149,72,10474
150,72,10373
151,84,12095
152,84,11994
153,84,11893
154,84,11792
155,84,11691
156,84,11590
157,84,11489
158,84,11388
159,84,11287
160,85,11186
161,85,11085
162,85,10984
163,85,10883
164,86,10782
165,88,10681
166,92,10580
167,92,10479
168,100,10378
169,100,10277
170,126,10888
171,126,10787
172,126,10686
173,127,10585
174,130,10282
175,134,10181
176,134,10080
177,137,9979
178,137,9878
179,137,9777
180,137,9676
181,142,9575
182,143,9474
183,152,9373
184,170,10489
185,170,10388
186,171,10287
187,172,10186
188,172,10085
189,172,9984
190,172,9883
191,172,9782
192,172,9681
193,173,9580
194,175,9479
195,176,9378
196,183,9277
197,185,9176
198,185,9075
199,185,8974
200,185,8873
201,185,8772
202,185,8671
203,186,8570
204,186,8469
205,186,8368
206,213,8267
207,236,9787
208,236,9686
209,236,9585
210,236,9484
211,237,9383
212,238,9282
213,238,9181
214,238,9080
215,238,8979
216,238,8878
217,238,8777
218,241,8676
219,242,8575
220,242,8474
221,250,8373
222,254,8272
223,254,8171
224,254,8070
225,290,7969
226,290,7868
227,374,7868
228,481,9691
229,481,9590
230,482,9489
231,482,9388
232,482,9287
233,482,9186
234,482,9085
235,482,8984
236,482,8883
237,482,8782
238,483,8681
239,483,8580
240,483,8479
241,484,8378
242,489,8277
243,489,8176
244,489,8075
245,489,7974
246,496,7873
247,497,7772
248,499,7671
249,500,7570
250,500,7469
251,524,7368
252,615,8989
253,615,8888
254,615,8787
255,615,8686
256,616,7979
257,616,7878
258,616,7777
259,617,7676
260,617,7575
261,617,7474
262,619,7373
263,621,7272
264,621,7171
265,621,7070
266,621,6969
267,723,6969
268,746,6868
269,764,6767
270,840,6767
271,840,6666
272,911,6666
273,1077,6666
