,Time,Cost
0,6,23585
1,6,23484
2,6,23383
3,6,23282
4,6,23085
5,6,22984
6,6,22883
7,6,22782
8,6,22681
9,6,22580
10,6,22479
11,6,22378
12,9,23898
13,9,24610
14,9,24509
15,10,24105
16,10,24004
17,10,23903
18,10,23802
19,10,23701
20,11,24918
21,11,24817
22,11,24716
23,11,24615
24,12,22797
25,12,22696
26,12,22595
27,12,22494
28,12,22393
29,12,22292
30,12,22191
31,13,22090
32,13,21994
33,13,21893
34,13,21792
35,13,21691
36,13,21590
37,13,21489
38,13,21388
39,14,22605
40,14,22504
41,14,22403
42,14,22004
43,14,21903
44,14,21802
45,14,21701
46,14,21600
47,14,21499
48,14,21398
49,14,21297
50,15,21196
51,15,21095
52,15,20994
53,15,20893
54,15,21706
55,15,21605
56,15,21504
57,15,21403
58,17,21201
59,17,20898
60,17,20797
61,17,20696
62,17,20595
63,21,19787
64,21,19686
65,21,19585
66,21,19484
67,21,19383
68,21,19282
69,22,18893
70,22,18792
71,23,18691
72,23,18590
73,23,18489
74,23,18388
75,23,18287
76,23,18186
77,23,18085
78,23,17984
79,23,17883
80,23,17782
81,24,18292
82,24,18191
83,24,18090
84,24,17989
85,26,17888
86,27,17787
87,30,17686
88,30,17585
89,30,17484
90,30,17383
91,30,17282
92,30,17181
93,34,18499
94,34,18398
95,34,18297
96,34,18196
97,34,18095
98,34,17994
99,34,17893
100,36,18201
101,36,18100
102,36,17999
103,37,17595
104,37,17494
105,37,17393
106,37,17292
107,37,17191
108,37,17090
109,38,17802
110,38,17701
111,39,18110
112,39,18009
113,39,17908
114,39,17807
115,39,17706
116,39,17605
117,40,17504
118,40,17403
119,40,17302
120,40,17201
121,40,17100
122,40,16999
123,40,16898
124,40,16797
125,41,16696
126,41,16595
127,42,16494
128,42,16393
129,42,16292
130,42,16191
131,42,16090
132,42,15989
133,42,15888
134,43,15787
135,43,15686
136,43,15585
137,43,15484
138,43,15383
139,43,15282
140,43,15181
141,43,15080
142,72,17105
143,72,17004
144,72,16701
145,75,16600
146,76,16297
147,76,16196
148,76,16095
149,76,15994
150,76,15893
151,76,15792
152,76,15691
153,76,15590
154,76,15489
155,76,15388
156,76,15287
157,76,15186
158,76,15085
159,76,14984
160,76,14883
161,76,15191
162,77,15090
163,78,14989
164,78,14888
165,78,14787
166,78,14686
167,78,14585
168,78,14484
169,78,14383
170,78,14282
171,85,14181
172,85,14080
173,85,13979
174,85,13878
175,85,13777
176,86,13676
177,97,13575
178,103,15398
179,103,15297
180,103,15196
181,103,15095
182,105,14489
183,105,14388
184,105,14287
185,105,14186
186,105,14085
187,105,13984
188,105,13883
189,105,13782
190,112,14494
191,113,14393
192,113,14292
193,115,14191
194,115,14090
195,115,13989
196,115,13888
197,115,13787
198,115,13686
199,119,14701
200,119,14600
201,119,14499
202,119,14398
203,119,14297
204,119,14196
205,121,14095
206,121,13994
207,121,13893
208,121,13792
209,121,13691
210,121,13590
211,122,13489
212,122,13388
213,122,13287
214,122,13186
215,122,13085
216,122,12984
217,122,12883
218,128,12782
219,128,12681
220,133,12580
221,133,12479
222,134,12378
223,134,12277
224,146,13797
225,146,13696
226,146,13595
227,146,13494
228,146,13393
229,146,13292
230,146,13191
231,146,13090
232,146,12989
233,146,12888
234,146,12787
235,146,12686
236,146,12585
237,147,12484
238,147,12383
239,147,12282
240,147,12181
241,147,12080
242,148,11979
243,179,11878
244,179,11777
245,233,11676
246,243,12691
247,243,12590
248,243,12489
249,243,12388
250,247,12287
251,247,12186
252,247,12085
253,247,11984
254,247,11883
255,260,11782
256,261,11681
257,307,13302
258,307,13201
259,308,12797
260,308,12696
261,308,12595
262,308,12494
263,308,12393
264,308,12292
265,309,12191
266,309,12090
267,309,11989
268,309,11888
269,309,11787
270,309,11686
271,309,11585
272,311,11484
273,311,11383
274,311,11282
275,327,11181
276,330,11080
277,331,12398
278,331,12297
279,331,12196
280,331,12095
281,331,11994
282,331,11893
283,331,11792
284,331,11691
285,331,11590
286,332,11489
287,332,11388
288,333,11287
289,333,11186
290,333,11085
291,333,10984
292,333,10883
293,333,10782
294,333,10681
295,333,10580
296,333,10479
297,334,10378
298,381,10277
299,399,10176
300,399,10075
301,400,9974
302,400,9873
303,400,9772
304,400,9671
305,401,9570
306,444,11696
307,444,11595
308,445,11494
309,446,11393
310,449,11292
311,449,11191
312,449,11090
313,449,10989
314,449,10888
315,451,10787
316,451,10686
317,452,10585
318,461,10484
319,470,11701
320,470,11600
321,470,11499
322,470,11398
323,470,11297
324,471,11196
325,471,11095
326,471,10994
327,471,10893
328,471,10792
329,476,10691
330,476,10590
331,476,10489
332,476,10388
333,476,10287
334,476,10186
335,476,10085
336,476,9984
337,476,9883
338,478,9782
339,478,9681
340,488,9580
341,513,9479
342,522,9378
343,522,9277
344,538,10797
345,539,10393
346,539,10292
347,539,10191
348,539,10090
349,539,9989
350,539,9888
351,539,9787
352,539,9686
353,539,9585
354,543,9484
355,543,9383
356,543,9282
357,543,9181
358,548,9080
359,548,8979
360,549,8878
361,554,8777
362,614,8777
363,624,8676
364,717,10196
365,717,10095
366,717,9994
367,718,9893
368,718,9792
369,718,9691
370,718,9590
371,719,9489
372,720,9388
373,720,9287
374,720,9186
375,720,9085
376,720,8984
377,721,8883
378,722,8782
379,723,8681
380,732,8580
381,732,8479
382,732,8378
383,733,8277
384,733,8176
385,733,8075
386,743,7974
387,744,7873
