,Time,Cost
0,5,19070
1,5,18969
2,5,18868
3,5,18570
4,5,18469
5,5,18368
6,6,18267
7,6,18166
8,6,18065
9,8,19383
10,8,19282
11,8,19181
12,8,19080
13,8,18792
14,8,18691
15,8,18292
16,8,18191
17,8,18090
18,8,17989
19,8,17888
20,8,17787
21,9,17095
22,9,16595
23,9,16494
24,9,16095
25,9,15994
26,9,15893
27,9,15792
28,9,15691
29,10,15898
30,10,15797
31,10,15696
32,10,15595
33,10,15494
34,10,15393
35,10,15292
36,10,15191
37,10,15090
38,11,14989
39,11,14888
40,11,14787
41,11,14686
42,11,14585
43,11,14484
44,11,14994
45,11,14893
46,11,14792
47,11,14691
48,11,14590
49,11,14489
50,11,14388
51,11,14393
52,11,14292
53,11,14191
54,11,14090
55,11,13989
56,12,13686
57,12,13585
58,12,13484
59,12,13383
60,12,13282
61,12,13181
62,12,13080
63,12,12979
64,15,12878
65,16,13287
66,16,13186
67,16,13085
68,17,12984
69,17,12883
70,17,12782
71,17,12681
72,17,12580
73,17,12479
74,17,12378
75,17,12277
76,20,13191
77,21,12282
78,21,12181
79,21,12080
80,21,11979
81,21,11878
82,21,11777
83,21,11676
84,21,11575
85,21,11474
86,21,11373
87,21,11272
88,21,11171
89,50,11070
90,58,12085
91,58,11984
92,58,11883
93,75,11782
94,75,11681
95,75,11580
96,75,11479
97,75,11378
98,75,11277
99,75,11176
100,75,11075
101,75,10974
102,76,12090
103,76,11989
104,76,11888
105,76,11787
106,76,11686
107,76,11585
108,76,11484
109,76,11383
110,76,11282
111,76,11181
112,79,11080
113,80,11893
114,80,11792
115,80,11691
116,80,11590
117,80,11489
118,80,11388
119,80,11287
120,80,11186
121,80,11085
122,80,10984
123,80,10883
124,80,10782
125,81,10681
126,83,10580
127,83,10479
128,83,11090
129,83,10989
130,83,10888
131,83,10787
132,83,10686
133,83,10585
134,87,10484
135,88,10383
136,88,10282
137,88,10181
138,88,10080
139,88,9979
140,88,9878
141,88,9777
142,90,9676
143,90,9575
144,90,9474
145,90,9373
146,90,9272
147,90,9171
148,90,9070
149,90,8969
150,93,8868
151,96,8767
152,109,8666
153,109,8565
154,109,8464
155,158,9681
156,158,9580
157,158,9479
158,159,9378
159,159,9282
160,159,9181
161,159,9080
162,164,8979
163,164,8878
164,165,8777
165,167,8676
166,167,8575
167,167,8474
168,169,8373
169,169,8272
170,171,8171
171,172,8070
172,176,7969
173,177,7868
174,177,7767
175,177,7666
176,207,7565
177,207,7464
178,208,9287
179,208,9186
180,208,9085
181,209,8984
182,209,8883
183,209,8782
184,209,8681
185,209,8580
186,209,8479
187,209,8378
188,209,8277
189,209,8176
190,209,8075
191,209,7974
192,209,7873
193,214,7772
194,214,7671
195,214,7570
196,215,7469
197,215,7368
198,223,8181
199,223,8080
200,224,7979
201,224,7878
202,224,7777
203,224,7676
204,224,7575
205,224,7474
206,224,7373
207,224,7272
208,225,7171
209,228,7070
210,229,6969
211,229,6868
212,238,6767
213,238,6666
214,248,6565
215,248,6464
216,249,6363
217,251,6262
218,253,6161
219,253,6060
220,254,5959
221,254,5858
222,254,5757
