,Time,Cost
0,6,27883
1,6,27782
2,6,27681
3,6,27580
4,6,27181
5,6,27080
6,6,26979
7,6,27792
8,8,27393
9,8,27292
10,8,27191
11,8,26691
12,8,26590
13,8,26489
14,8,26388
15,8,26287
16,8,26186
17,8,26085
18,8,25984
19,9,25095
20,9,24994
21,9,24893
22,9,24792
23,9,24691
24,10,24696
25,10,24595
26,10,24494
27,10,24393
28,10,24398
29,10,24297
30,10,24196
31,10,24095
32,11,23994
33,11,23893
34,11,23792
35,12,23691
36,12,23590
37,12,23489
38,12,23388
39,12,23398
40,12,23297
41,12,23196
42,12,23201
43,12,23100
44,12,22999
45,12,22898
46,12,22600
47,12,22499
48,12,22398
49,12,22297
50,12,22196
51,12,22095
52,13,21590
53,13,21489
54,13,21388
55,13,21287
56,13,21186
57,13,21085
58,13,20984
59,13,20883
60,13,20782
61,13,20681
62,13,20580
63,13,20479
64,14,22807
65,14,22706
66,14,22605
67,14,22504
68,14,22403
69,14,22302
70,15,21701
71,15,21302
72,15,21100
73,15,20999
74,15,20898
75,15,20797
76,15,20696
77,15,20903
78,15,20802
79,15,20701
80,15,20600
81,15,20499
82,15,20398
83,15,20297
84,15,20196
85,15,20095
86,16,19994
87,16,19893
88,16,19792
89,16,19691
90,16,19590
91,16,19489
92,16,19388
93,16,19287
94,16,19186
95,16,19085
96,16,18984
97,16,20100
98,17,19999
99,17,19898
100,17,19797
101,17,19696
102,17,19595
103,17,19494
104,17,19393
105,17,20004
106,17,19903
107,17,19802
108,18,19701
109,18,19600
110,18,19499
111,18,19398
112,18,19297
113,18,19196
114,18,19095
115,18,18994
116,18,18893
117,18,18792
118,18,18691
119,18,18590
120,18,18489
121,18,18388
122,18,18287
123,18,18186
124,19,18085
125,19,17984
126,19,17883
127,19,17782
128,19,17681
129,20,17580
130,20,17479
131,22,18393
132,22,18292
133,22,18191
134,23,18090
135,23,17989
136,23,17888
137,23,17787
138,23,17686
139,23,17585
140,23,17484
141,23,17383
142,25,18802
143,26,18701
144,26,18600
145,26,18499
146,26,18095
147,26,17994
148,26,17893
149,26,17792
150,26,17691
151,26,17590
152,26,17489
153,26,17388
154,26,17287
155,26,17186
156,26,17085
157,28,16984
158,28,16883
159,28,16782
160,28,16681
161,28,16580
162,30,18201
163,30,18100
164,30,17999
165,30,17898
166,30,17701
167,30,17600
168,30,17499
169,30,17398
170,32,17297
171,32,17196
172,32,17095
173,32,16994
174,32,16893
175,32,16792
176,34,16691
177,34,16590
178,34,16489
179,34,16388
180,34,16287
181,35,16186
182,37,16085
183,37,15984
184,37,15883
185,37,15782
186,37,15681
187,37,15580
188,37,15479
189,37,15378
190,39,16494
191,39,16393
192,39,16292
193,39,16191
194,39,16090
195,39,15989
196,39,17206
197,39,17105
198,39,17004
199,39,16903
200,40,16398
201,40,16297
202,40,16196
203,40,16095
204,40,15994
205,40,15893
206,41,15792
207,41,15691
208,42,15590
209,43,15489
210,43,15388
211,43,15287
212,44,16100
213,44,15999
214,44,15898
215,44,15797
216,44,15696
217,44,15595
218,44,15494
219,44,15600
220,45,15499
221,45,15398
222,45,15297
223,45,15196
224,45,15095
225,45,14994
226,45,14893
227,45,14792
228,45,14691
229,45,14590
230,45,14489
231,45,14388
232,45,14287
233,45,14186
234,47,14085
235,47,13984
236,47,13883
237,47,14494
238,47,14393
239,47,14292
240,47,14191
241,47,14090
242,48,13989
243,48,13888
244,49,14297
245,49,14196
246,49,14095
247,50,13994
248,51,13893
249,51,13792
250,51,13691
251,51,13590
252,51,13287
253,51,13186
254,51,13085
255,51,12984
256,51,12883
257,51,12782
258,51,12681
259,51,12580
260,52,12479
261,56,13898
262,56,13797
263,56,13696
264,56,13595
265,56,13494
266,57,13393
267,57,13292
268,57,13191
269,57,13090
270,57,12989
271,60,12888
272,61,12484
273,61,12383
274,61,12282
275,61,12181
276,62,12080
277,64,13398
278,64,13297
279,64,13196
280,64,13095
281,64,12994
282,64,12893
283,64,12792
284,64,12691
285,65,12590
286,65,12489
287,65,12388
288,65,12287
289,65,12186
290,66,12085
291,67,11984
292,67,11883
293,67,11782
294,67,11681
295,67,11580
296,67,11479
297,71,12090
298,74,11989
299,74,11888
300,77,11787
301,77,11686
302,77,11585
303,78,11484
304,78,11383
305,78,11282
306,78,11181
307,82,11080
308,82,10979
309,83,10878
310,86,10777
311,86,10676
312,87,10575
313,87,10474
314,98,11489
315,98,11388
316,98,11287
317,101,11186
318,101,11085
319,101,10984
320,101,10883
321,102,10782
322,102,10681
323,104,10580
324,104,10479
325,104,10378
326,105,10277
327,105,10176
328,106,11595
329,106,11494
330,107,11393
331,107,11292
332,107,11191
333,107,11090
334,108,10989
335,108,10888
336,109,10787
337,109,10686
338,109,10585
339,110,10484
340,110,10383
341,112,10282
342,112,10181
343,112,10080
344,112,9979
345,112,9878
346,115,9777
347,115,9676
348,115,9575
349,118,9474
350,118,9373
351,118,9272
352,130,9171
353,130,9070
354,130,8969
355,196,10287
356,196,10186
357,196,10085
358,196,9984
359,196,9883
360,196,9782
361,197,9681
362,197,9580
363,197,9479
364,198,9378
365,198,9277
366,211,9176
367,223,9075
368,228,8974
369,228,8873
370,228,8772
371,232,10090
372,232,9989
373,232,9888
374,232,9787
375,232,9686
376,232,9585
377,233,9484
378,233,9383
379,233,9282
380,233,9181
381,233,9080
382,233,8979
383,233,8878
384,233,8777
385,233,8676
386,233,8575
387,234,8474
388,236,8373
389,248,8272
390,248,8171
391,248,8070
392,266,9186
393,266,9085
394,266,8984
395,267,8883
396,267,8782
397,268,8681
398,270,8580
399,271,8479
400,271,8378
401,271,8277
402,271,8176
403,273,8075
404,273,7974
405,273,7873
406,273,7772
407,342,9191
408,342,9090
409,343,8989
410,343,8888
411,343,8787
412,343,8686
413,343,8585
414,343,8484
