,Time,Cost
0,8,17883
1,8,17782
2,8,17681
3,8,17580
4,8,17479
5,8,17378
6,13,19201
7,13,19100
8,13,18999
9,13,18898
10,13,18797
11,13,18696
12,13,18595
13,14,18494
14,14,18393
15,14,18292
16,14,18191
17,14,18090
18,14,17989
19,14,17888
20,14,17787
21,14,17686
22,14,17585
23,14,17484
24,14,17383
25,14,17282
26,14,17181
27,14,17080
28,18,18095
29,18,17994
30,18,17595
31,18,17095
32,18,16994
33,18,16893
34,18,16792
35,18,16691
36,18,16590
37,18,16489
38,18,16388
39,19,17403
40,19,17302
41,19,17201
42,19,17100
43,19,16999
44,19,16898
45,20,17913
46,20,17812
47,20,17711
48,20,17610
49,20,17509
50,21,17408
51,24,17307
52,24,17206
53,24,17105
54,24,17004
55,24,16903
56,24,16802
57,24,16701
58,24,16600
59,24,16499
60,24,16398
61,24,16297
62,26,16706
63,26,16605
64,26,16504
65,26,16403
66,26,16302
67,27,16201
68,28,16100
69,30,15999
70,30,15898
71,30,15797
72,31,15696
73,34,15595
74,35,15494
75,35,15393
76,36,15292
77,36,15191
78,36,15090
79,36,14989
80,36,14888
81,36,14787
82,37,14686
83,37,14585
84,39,14484
85,42,14383
86,43,14282
87,43,14181
88,43,14080
89,43,13979
90,43,13878
91,43,13777
92,43,13676
93,43,13575
94,43,13474
95,43,13373
96,43,13272
97,43,13171
98,44,13070
99,48,13984
100,48,13883
101,52,15302
102,52,15201
103,52,15100
104,52,14999
105,52,14898
106,52,14797
107,53,14696
108,53,14595
109,53,14494
110,54,14393
111,54,14292
112,54,14191
113,54,14090
114,54,13989
115,54,13888
116,54,13787
117,54,13686
118,54,13585
119,54,13484
120,54,13383
121,55,13282
122,61,14802
123,61,14701
124,61,14600
125,61,14499
126,61,14398
127,61,14297
128,62,14605
129,62,14504
130,62,14403
131,63,14302
132,63,14201
133,63,14100
134,64,13999
135,64,13898
136,65,13797
137,66,13696
138,67,13595
139,67,13494
140,68,13393
141,69,13292
142,69,13191
143,70,13090
144,70,12989
145,70,12888
146,71,12787
147,71,12686
148,72,12585
149,72,12484
150,72,12383
151,72,12282
152,73,12181
153,74,12080
154,74,11979
155,74,11878
156,74,11777
157,74,11676
158,79,11575
159,81,11474
160,81,11373
161,82,11272
162,85,11171
163,85,12287
164,85,12696
165,86,12595
166,86,12494
167,86,12393
168,86,12292
169,87,12191
170,87,11787
171,88,11686
172,88,11585
173,93,11484
174,93,11383
175,93,11282
176,93,11181
177,93,11080
178,93,10979
179,95,11994
180,95,11893
181,95,11792
182,96,11691
183,96,11590
184,96,11489
185,96,11388
186,96,11287
187,99,11186
188,99,11085
189,99,10984
190,99,10883
191,99,10782
192,102,11696
193,102,11595
194,102,11494
195,105,11393
196,107,11292
197,107,11191
198,107,11090
199,107,10989
200,107,10888
201,107,10787
202,107,10686
203,110,10585
204,115,10484
205,116,10383
206,123,11499
207,125,11398
208,125,11297
209,125,11196
210,125,11095
211,125,10994
212,125,10893
213,125,10792
214,125,10691
215,125,10590
216,125,10489
217,125,10388
218,125,10287
219,125,10186
220,125,10085
221,130,9984
222,130,9883
223,133,9782
224,135,9681
225,135,9580
226,142,9479
227,143,9378
228,144,9277
229,174,10292
230,177,10191
231,177,10090
232,178,9989
233,178,9888
234,179,9787
235,180,9585
236,180,9484
237,180,9383
238,180,9282
239,180,9181
240,180,9080
241,180,8979
242,180,8878
243,180,8777
244,180,8676
245,180,8575
246,180,8474
247,216,10297
248,216,10196
249,216,10095
250,216,9994
251,217,9893
252,217,9792
253,218,9590
254,218,9489
255,219,9388
256,219,9287
257,219,9186
258,219,9085
259,219,8984
260,219,8883
261,221,8782
262,223,8681
263,223,8580
264,223,8479
265,224,8378
266,226,8277
267,230,8176
268,231,8075
269,232,7974
270,232,7873
271,232,7772
272,233,7671
273,234,7570
274,235,7469
275,391,9797
276,391,9696
277,391,9595
278,391,9494
279,391,9393
280,391,9292
281,393,8787
282,393,8686
283,393,8585
284,393,8484
285,393,8383
286,393,8282
287,393,8181
288,400,8080
289,400,7979
290,400,7878
291,400,7777
292,401,7676
293,406,7575
294,407,7474
295,441,7373
296,474,7272
297,479,7171
298,479,7070
299,501,6969
300,694,6969
