,Time,Cost
0,6,19479
1,6,19378
2,6,19277
3,9,18888
4,9,18787
5,10,19802
6,10,19701
7,10,19600
8,10,19499
9,11,19398
10,12,19297
11,13,19105
12,13,19004
13,14,18903
14,14,18802
15,14,18504
16,14,18403
17,14,18302
18,14,18201
19,14,18100
20,14,17999
21,14,17898
22,14,17797
23,14,17696
24,14,17595
25,14,17494
26,14,17393
27,14,17292
28,14,17191
29,14,17090
30,14,16989
31,14,16888
32,14,16787
33,14,16686
34,14,16585
35,15,17903
36,15,17802
37,15,17701
38,15,17600
39,15,17499
40,17,17398
41,17,17297
42,17,17196
43,17,17095
44,17,16994
45,19,17605
46,20,17504
47,20,18014
48,21,17913
49,21,17812
50,21,17711
51,21,17610
52,21,17509
53,21,17408
54,21,17514
55,21,17413
56,22,17312
57,22,17211
58,22,17110
59,22,17009
60,22,16908
61,22,16807
62,22,16706
63,22,16201
64,22,16100
65,22,15999
66,22,15898
67,22,15797
68,22,15696
69,23,16408
70,23,16307
71,23,16206
72,24,16211
73,24,16110
74,24,16009
75,24,15908
76,24,15807
77,24,15706
78,24,15605
79,24,15504
80,24,15403
81,24,15302
82,24,15201
83,24,15100
84,24,14999
85,24,14898
86,25,14797
87,26,14595
88,26,15110
89,26,15009
90,26,14908
91,27,14807
92,27,14706
93,27,14605
94,27,14504
95,27,14403
96,27,14302
97,27,14201
98,27,14100
99,27,13999
100,30,13898
101,30,13797
102,30,13696
103,30,13595
104,30,13494
105,30,13393
106,30,13292
107,30,13191
108,30,13090
109,30,12989
110,30,12888
111,30,12787
112,33,12686
113,34,12585
114,34,12484
115,34,12383
116,34,12282
117,34,12181
118,35,12080
119,35,11979
120,35,11878
121,35,11777
122,35,11676
123,39,12893
124,39,12792
125,39,12691
126,41,12590
127,41,12489
128,45,13201
129,45,13100
130,45,12999
131,49,12898
132,49,12797
133,49,12696
134,49,12595
135,49,12494
136,49,12393
137,49,12292
138,49,12191
139,49,12090
140,49,11989
141,53,13004
142,53,12903
143,54,12701
144,54,12600
145,55,12499
146,55,12398
147,55,12403
148,55,12302
149,55,12201
150,55,12100
151,55,11999
152,55,11898
153,55,11797
154,56,11696
155,56,11595
156,56,11494
157,56,11393
158,56,11292
159,56,11191
160,56,11090
161,56,10989
162,59,10888
163,67,10787
164,67,10686
165,67,10585
166,67,10484
167,67,10383
168,68,10282
169,77,10893
170,77,10792
171,79,10691
172,79,10590
173,79,10489
174,79,10388
175,79,10287
176,79,10186
177,79,10085
178,91,10797
179,91,10696
180,91,10595
181,91,10494
182,91,10393
183,91,10292
184,91,10191
185,95,9686
186,95,9585
187,95,9484
188,95,9383
189,95,9282
190,95,9181
191,97,9080
192,99,8979
193,99,8878
194,99,8777
195,99,8676
196,99,8575
197,100,8474
198,115,9388
199,118,9085
200,119,8984
201,120,8883
202,120,8782
203,120,8681
204,120,8580
205,120,8479
206,120,8378
207,121,9090
208,122,8989
209,123,8888
210,123,8787
211,124,8484
212,124,8383
213,124,8282
214,124,8181
215,145,8080
216,145,7979
217,145,7878
218,145,7777
219,146,7676
220,162,7575
221,162,7474
222,162,7373
