,Time,Cost
0,6,20272
1,6,20171
2,6,20070
3,6,21388
4,6,21287
5,6,21186
6,6,21085
7,7,20984
8,7,18883
9,7,18383
10,7,17681
11,14,17686
12,17,17383
13,17,17282
14,17,17181
15,17,17080
16,17,16979
17,17,16878
18,17,16777
19,17,16676
20,18,18095
21,18,17994
22,18,17893
23,18,17792
24,18,17691
25,18,17590
26,18,17489
27,18,17388
28,18,17287
29,18,17186
30,18,17085
31,18,16984
32,18,16883
33,18,16782
34,19,16681
35,19,16580
36,20,18100
37,20,17999
38,20,17898
39,20,17797
40,20,17696
41,20,17595
42,21,16590
43,21,16489
44,21,16388
45,21,16287
46,21,16186
47,21,16085
48,21,15984
49,21,15883
50,21,15782
51,21,15681
52,21,15580
53,21,15989
54,21,15888
55,23,15787
56,23,15686
57,23,15585
58,24,15484
59,25,15383
60,29,15282
61,29,15181
62,30,15080
63,30,14979
64,31,15186
65,31,15085
66,31,14984
67,31,14883
68,31,14782
69,31,14681
70,32,14580
71,32,14479
72,32,14378
73,32,14277
74,32,14176
75,32,14075
76,32,13974
77,32,13873
78,33,13772
79,33,13671
80,35,13570
81,35,13469
82,35,13368
83,35,13267
84,35,13166
85,36,14282
86,36,14181
87,36,14080
88,36,13979
89,36,13878
90,38,13777
91,44,14186
92,44,14085
93,44,13984
94,44,13883
95,44,13782
96,49,13681
97,53,13580
98,53,13479
99,53,13378
100,53,13277
101,53,13176
102,53,13075
103,53,12974
104,53,12873
105,53,12772
106,54,12671
107,54,12570
108,67,13787
109,67,13686
110,69,13585
111,69,14600
112,69,14499
113,69,14398
114,69,14297
115,69,14196
116,70,14095
117,70,13994
118,70,13893
119,70,13792
120,70,13691
121,70,13590
122,70,13489
123,70,13388
124,70,13287
125,70,13186
126,70,13085
127,70,12984
128,70,12883
129,70,12782
130,70,12681
131,70,12580
132,70,12479
133,70,12378
134,70,12277
135,70,12176
136,73,12075
137,73,11974
138,76,12787
139,76,12686
140,76,12585
141,76,12484
142,76,12383
143,76,12282
144,76,12181
145,76,12080
146,76,11979
147,76,11878
148,76,11777
149,76,11676
150,77,11575
151,77,11474
152,77,11373
153,77,11272
154,83,11171
155,84,11070
156,85,10969
157,98,12691
158,99,12590
159,99,12489
160,101,12388
161,101,12287
162,101,12186
163,102,12898
164,102,12797
165,102,12696
166,102,12595
167,103,12494
168,103,12393
169,103,11787
170,103,11686
171,103,11585
172,103,11484
173,103,11383
174,103,11282
175,103,11181
176,104,11080
177,104,10979
178,104,10878
179,104,10777
180,105,10676
181,107,10575
182,107,10474
183,107,10373
184,107,10272
185,109,10171
186,109,10070
187,109,9969
188,109,9868
189,109,9767
190,111,9666
191,112,9565
192,118,9464
193,135,11388
194,135,11287
195,136,11186
196,136,11085
197,136,10984
198,136,10883
199,136,10782
200,136,10681
201,136,10580
202,136,10479
203,136,10378
204,137,10277
205,138,10176
206,138,10075
207,138,9974
208,138,9873
209,138,9772
210,138,9671
211,138,9570
212,138,9469
213,140,9368
214,147,11191
215,147,11090
216,147,10989
217,147,10888
218,147,10787
219,148,10686
220,148,10585
221,148,10484
222,149,10383
223,149,10282
224,149,10181
225,149,10080
226,150,9979
227,150,9878
228,151,9777
229,159,9474
230,159,9373
231,159,9272
232,159,9171
233,160,9070
234,162,8969
235,166,9883
236,166,9782
237,166,9681
238,166,9580
239,166,9479
240,166,9378
241,166,9277
242,167,9176
243,167,9075
244,167,8974
245,167,8873
246,171,8772
247,174,8671
248,178,8570
249,178,8469
250,178,8368
251,216,10090
252,216,9989
253,216,9888
254,216,9787
255,216,9686
256,216,9585
257,218,8272
258,218,8171
259,218,8070
260,218,7969
261,218,7868
262,220,7767
263,235,7666
264,235,7565
265,240,7464
266,343,7464
267,390,8883
268,390,8782
269,390,8681
270,391,8580
271,391,8277
272,391,8176
273,391,8075
274,391,7974
275,391,7873
276,391,7772
277,401,7671
278,402,7570
279,407,7469
280,407,7368
281,413,7267
282,505,7979
283,505,7878
284,505,7777
285,505,7676
286,505,7575
287,506,7474
288,506,7373
289,506,7272
290,506,7171
291,510,7070
292,512,6565
293,512,6464
294,512,6363
295,512,6262
296,512,6161
