,Time,Cost
0,7,21575
1,7,21474
2,7,21373
3,9,22186
4,9,22085
5,9,21984
6,9,21883
7,9,21782
8,9,21681
9,10,22191
10,10,22090
11,10,21989
12,10,21888
13,12,21787
14,12,21686
15,12,21585
16,17,22600
17,17,22499
18,17,22398
19,17,22297
20,18,22196
21,18,22095
22,18,21994
23,18,21893
24,18,21792
25,18,21691
26,18,21590
27,18,21489
28,18,21388
29,18,21287
30,18,21186
31,18,21085
32,19,20984
33,19,20883
34,19,20782
35,19,20484
36,19,20383
37,21,21600
38,21,21499
39,21,21398
40,21,21297
41,21,21196
42,21,21095
43,21,21100
44,21,20999
45,21,20898
46,21,20797
47,21,20696
48,21,20595
49,21,20494
50,21,20393
51,21,20292
52,21,20191
53,22,21206
54,22,21105
55,22,21004
56,22,20903
57,24,19893
58,24,19792
59,24,19691
60,24,19590
61,24,19489
62,24,19388
63,24,19287
64,25,19186
65,25,19085
66,25,18984
67,27,16590
68,27,16489
69,27,16388
70,27,16090
71,27,15989
72,27,15888
73,27,15787
74,27,15686
75,27,15585
76,27,15484
77,27,15383
78,28,16196
79,28,16095
80,29,15994
81,29,15893
82,29,15792
83,29,15691
84,30,15898
85,30,15797
86,30,15696
87,30,15595
88,30,15494
89,30,15393
90,30,15292
91,30,15191
92,30,15090
93,30,14989
94,30,14888
95,31,14787
96,31,14686
97,32,14585
98,32,14484
99,32,14383
100,32,14282
101,32,14181
102,32,14080
103,32,13979
104,32,13878
105,32,13777
106,34,13676
107,34,13575
108,36,13474
109,37,13373
110,37,13272
111,37,13171
112,38,13070
113,45,13984
114,45,13883
115,45,13782
116,45,13681
117,46,13580
118,47,13479
119,47,13378
120,47,13277
121,47,13176
122,47,13075
123,54,12974
124,54,12873
125,57,12772
126,57,12671
127,57,12570
128,59,12878
129,59,12777
130,59,12676
131,59,12575
132,59,12474
133,63,12984
134,63,12883
135,68,12782
136,69,13494
137,70,13393
138,70,13292
139,70,13191
140,70,13090
141,70,12989
142,70,12888
143,71,12787
144,71,12686
145,75,12585
146,75,12484
147,75,12383
148,75,12282
149,75,12181
150,75,12080
151,75,11979
152,75,11878
153,75,11777
154,75,11676
155,75,11575
156,75,11474
157,76,11373
158,76,11272
159,82,12489
160,85,12388
161,85,12393
162,85,12292
163,85,12191
164,85,12090
165,87,11989
166,87,11888
167,87,11787
168,87,11686
169,88,11585
170,90,11484
171,90,11383
172,91,11994
173,91,11893
174,91,11792
175,91,11691
176,91,11590
177,91,11489
178,91,11388
179,92,11287
180,92,11186
181,93,11494
182,93,11393
183,93,11292
184,94,11191
185,94,11090
186,94,10989
187,94,10888
188,94,10787
189,94,10686
190,94,10585
191,94,10484
192,95,10383
193,95,10282
194,95,10181
195,96,10080
196,96,9979
197,96,9878
198,96,9777
199,96,9676
200,98,9575
201,98,9474
202,99,9373
203,99,9272
204,99,9171
205,99,9070
206,99,8969
207,110,8868
208,111,8767
209,134,10489
210,134,10388
211,134,10287
212,135,10186
213,136,10085
214,136,9984
215,137,9883
216,137,9782
217,137,9681
218,144,9585
219,144,9484
220,144,9383
221,144,9282
222,144,9181
223,145,9893
224,145,9792
225,145,9691
226,145,9590
227,145,9489
228,146,9388
229,146,9287
230,146,9186
231,146,9085
232,146,8984
233,146,8883
234,147,8782
235,147,8681
236,147,8580
237,151,8479
238,151,8378
239,151,8277
240,151,8176
241,151,8075
242,151,7974
243,151,7873
244,151,7772
245,151,7671
246,152,9191
247,152,9090
248,152,8989
249,152,8888
250,152,8787
251,152,8686
252,157,8585
253,157,8484
254,157,8383
255,157,8282
256,157,8181
257,158,8080
258,161,7979
259,162,7878
260,223,8888
261,225,8787
262,226,8686
263,226,8585
264,226,8484
265,226,8383
266,226,8282
267,227,8181
268,227,8080
269,227,7979
270,227,7878
271,227,7777
272,227,7676
273,227,7575
274,227,7474
275,243,7373
276,243,7272
277,243,7171
278,243,7070
279,256,6969
280,259,6868
281,260,6767
282,261,6666
283,337,6666
284,387,6565
285,415,6464
286,415,6363
