,Time,Cost
0,5,23772
1,5,23671
2,5,23570
3,5,23272
4,5,23171
5,5,23070
6,5,22873
7,5,22772
8,5,22671
9,5,22570
10,5,22469
11,7,21979
12,7,21878
13,7,21777
14,7,21676
15,7,21575
16,7,21580
17,7,21479
18,7,21378
19,7,21277
20,7,21176
21,7,21075
22,7,20974
23,8,22292
24,8,22191
25,8,22090
26,8,21989
27,8,21888
28,8,21787
29,8,21686
30,8,21585
31,8,21484
32,9,21383
33,9,21282
34,9,21181
35,9,21080
36,9,20979
37,9,20878
38,9,20777
39,9,20676
40,9,20575
41,9,20474
42,9,20373
43,9,20272
44,9,20171
45,9,20070
46,10,21186
47,10,21085
48,10,20984
49,10,20883
50,10,20782
51,10,20681
52,11,20479
53,11,20378
54,11,20277
55,11,20176
56,11,20075
57,11,19974
58,13,20888
59,13,20787
60,13,20686
61,14,20585
62,14,20484
63,14,20383
64,14,20282
65,14,20181
66,14,20080
67,14,19979
68,14,19878
69,14,19777
70,14,19676
71,14,19575
72,14,19474
73,14,19373
74,19,20186
75,19,20085
76,19,19984
77,19,19883
78,19,19782
79,19,19681
80,21,17378
81,21,16878
82,22,17489
83,22,17388
84,23,17287
85,24,17186
86,24,17085
87,24,16984
88,24,16883
89,24,16782
90,24,16681
91,24,16580
92,24,16479
93,24,16378
94,24,16277
95,24,16176
96,24,16075
97,24,15974
98,24,15873
99,24,15772
100,24,15979
101,24,15878
102,24,15777
103,24,15676
104,24,15575
105,24,15474
106,24,15373
107,24,15272
108,24,15580
109,24,15479
110,24,15378
111,24,15277
112,24,15176
113,24,15075
114,24,14974
115,24,14873
116,25,14772
117,31,14671
118,32,15585
119,32,15484
120,34,15383
121,34,15282
122,34,15181
123,34,15080
124,35,15792
125,35,15691
126,35,15590
127,36,15287
128,36,15186
129,36,15085
130,36,14984
131,37,14883
132,37,14782
133,37,14681
134,37,14580
135,37,14479
136,37,14378
137,37,14277
138,37,14176
139,43,14075
140,43,13974
141,43,13873
142,43,13772
143,43,13671
144,48,14888
145,48,14787
146,48,14686
147,48,14585
148,49,14484
149,50,14994
150,50,14893
151,50,14792
152,50,14691
153,50,14590
154,50,14393
155,50,14292
156,50,14191
157,50,14090
158,50,13989
159,50,13888
160,50,13787
161,50,13686
162,51,13585
163,51,13484
164,51,13383
165,51,13282
166,51,13181
167,51,13080
168,51,12979
169,55,12878
170,55,12777
171,55,12676
172,55,12575
173,55,12474
174,55,12373
175,55,12272
176,55,12171
177,55,12070
178,55,11969
179,60,11868
180,66,11767
181,66,11666
182,71,12984
183,71,12883
184,71,12782
185,71,12681
186,71,12580
187,72,12479
188,72,12378
189,72,12277
190,72,12176
191,72,12075
192,73,12383
193,73,12282
194,73,12181
195,73,12080
196,74,11979
197,74,11878
198,74,11777
199,74,11676
200,75,11575
201,80,11474
202,81,11883
203,81,11782
204,81,11681
205,81,11580
206,81,11479
207,81,11378
208,81,11277
209,82,11176
210,86,11075
211,86,10974
212,86,10873
213,87,10772
214,87,10671
215,87,10570
216,89,10469
217,89,10368
218,89,10267
219,122,11383
220,122,11282
221,124,10777
222,124,10676
223,124,10575
224,124,10474
225,124,10373
226,124,10272
227,126,11186
228,126,11085
229,126,10984
230,126,10883
231,126,10782
232,126,10681
233,129,10580
234,129,10479
235,129,10378
236,129,10277
237,129,10176
238,129,10075
239,129,9974
240,131,9873
241,132,9772
242,133,10484
243,133,10383
244,133,10282
245,133,10181
246,133,10080
247,134,9979
248,136,9878
249,136,9777
250,136,9676
251,136,9575
252,138,9474
253,144,9373
254,144,9272
255,144,9171
256,144,9070
257,147,8969
258,158,8868
259,158,8767
260,158,8666
261,158,8565
262,158,8464
263,160,9883
264,160,9782
265,160,9681
266,160,9580
267,162,9479
268,162,9378
269,162,9176
270,162,9075
271,162,8974
272,164,9585
273,164,9484
274,164,9383
275,164,9282
276,164,9181
277,164,9080
278,164,8979
279,164,8878
280,164,8777
281,164,8676
282,176,8575
283,176,8474
284,177,8373
285,177,8272
286,177,8171
287,186,8070
288,186,7969
289,186,7868
290,187,7767
291,187,7666
292,187,7565
293,215,8883
294,215,8782
295,215,8681
296,216,8580
297,216,8479
298,216,8378
299,216,8277
300,216,8176
301,217,8075
302,217,7974
303,217,7873
304,219,7772
305,220,7671
306,224,7570
307,228,7469
308,228,7368
309,228,7267
310,234,7166
311,297,7166
312,297,7065
313,297,6964
314,297,6863
315,357,6863
316,362,8282
317,362,8181
318,362,8080
319,362,7979
320,364,7878
321,364,7777
322,364,7676
323,364,7575
324,364,7474
325,364,7373
326,364,7272
327,364,7171
328,369,7070
329,375,6969
330,376,6868
331,379,6767
332,414,6666
333,460,6565
334,466,6464
335,466,6363
336,467,6262
