,Time,Cost
0,4,26181
1,4,26080
2,4,25979
3,4,25878
4,4,25777
5,4,25681
6,4,25580
7,4,25479
8,4,25378
9,4,25277
10,4,25176
11,4,25075
12,4,25282
13,4,25181
14,4,25080
15,4,24979
16,4,24878
17,4,24777
18,4,24676
19,5,25893
20,5,25792
21,5,25691
22,5,21393
23,5,21292
24,5,21191
25,6,21201
26,6,21100
27,7,20999
28,7,20898
29,7,20797
30,7,20696
31,7,20595
32,7,20494
33,7,20393
34,7,20292
35,7,20191
36,7,20090
37,7,19989
38,8,19893
39,8,19792
40,8,19691
41,8,19590
42,8,19489
43,8,19388
44,11,19494
45,11,19393
46,11,19292
47,11,19191
48,11,19090
49,11,18989
50,11,18888
51,11,18787
52,11,18686
53,11,18388
54,11,18287
55,11,18186
56,11,18085
57,11,17984
58,11,17883
59,11,17782
60,11,17484
61,11,17383
62,11,17282
63,11,17181
64,11,17994
65,11,17893
66,11,17792
67,11,17691
68,11,17590
69,11,17489
70,13,17388
71,13,17287
72,13,17186
73,13,17085
74,13,16984
75,14,17797
76,14,17696
77,14,17595
78,14,17393
79,14,17292
80,14,17191
81,14,17090
82,14,16989
83,14,16888
84,14,16787
85,15,16686
86,15,16585
87,15,16484
88,15,16383
89,16,16282
90,16,16181
91,16,16080
92,18,15979
93,18,15878
94,22,17196
95,22,17095
96,24,16994
97,24,16893
98,24,16792
99,24,16691
100,24,16590
101,24,16489
102,24,16388
103,24,16287
104,24,16186
105,24,16085
106,24,15984
107,24,15883
108,24,15782
109,24,15681
110,24,15580
111,24,15479
112,25,15585
113,25,15484
114,25,15383
115,26,15282
116,27,15181
117,28,15590
118,28,15489
119,28,15388
120,28,15287
121,28,15186
122,28,15085
123,28,14984
124,28,14883
125,28,14782
126,28,14681
127,29,14580
128,29,14479
129,31,14585
130,31,14484
131,33,14383
132,33,14282
133,33,14181
134,33,14080
135,33,13979
136,33,13878
137,33,13777
138,33,13676
139,34,13782
140,35,13580
141,35,13479
142,35,13378
143,35,13277
144,35,13176
145,35,13075
146,35,12974
147,36,13686
148,36,13585
149,36,13484
150,36,13994
151,36,13893
152,36,13792
153,36,13691
154,37,13590
155,37,13489
156,37,13388
157,37,13287
158,37,13186
159,37,13085
160,37,12984
161,37,12883
162,37,12782
163,37,12681
164,37,12580
165,37,12479
166,37,12378
167,37,12277
168,37,12176
169,37,12075
170,37,11974
171,45,13595
172,45,13494
173,45,13393
174,45,13292
175,45,13191
176,45,13090
177,45,12989
178,45,12888
179,47,12282
180,47,12181
181,47,12080
182,47,11979
183,47,11878
184,47,11777
185,47,11676
186,56,12691
187,56,12590
188,56,12489
189,56,12388
190,56,12287
191,56,12186
192,56,12085
193,56,11984
194,56,11883
195,56,11782
196,56,11681
197,56,11580
198,56,11479
199,56,11378
200,56,11277
201,63,11176
202,63,11075
203,64,10974
204,64,10873
205,71,11888
206,71,11787
207,71,11686
208,71,11585
209,71,11484
210,71,11383
211,71,11282
212,71,11181
213,71,11080
214,71,10979
215,71,10878
216,72,10777
217,72,10676
218,72,10575
219,104,10474
220,111,11287
221,111,11186
222,111,11085
223,113,10984
224,113,10883
225,113,10782
226,113,10681
227,113,10580
228,113,10479
229,113,10378
230,113,10277
231,113,10176
232,113,10075
233,118,9974
234,119,9873
235,151,9772
236,151,9671
237,162,10989
238,162,10888
239,162,10787
240,162,10686
241,162,10585
242,162,10484
243,162,10383
244,163,10282
245,163,10181
246,163,10080
247,164,10893
248,164,10792
249,164,10691
250,164,10590
251,164,10489
252,164,10388
253,164,10287
254,164,10186
255,164,10085
256,165,9984
257,165,9883
258,165,9782
259,165,9681
260,165,9580
261,165,9479
262,165,9378
263,165,9277
264,165,9176
265,165,9075
266,178,9787
267,179,9686
268,179,9585
269,179,9484
270,179,9383
271,179,9282
272,179,9181
273,179,9080
274,179,8979
275,179,8878
276,179,8777
277,179,8676
278,190,8575
279,202,8474
280,202,8373
281,202,8272
282,202,8171
283,202,8070
284,206,8883
285,206,8782
286,206,8681
287,206,8580
288,207,8479
289,207,8378
290,207,8277
291,207,8176
292,207,8075
293,219,7974
294,226,7873
295,226,7772
296,228,7671
297,231,8181
298,231,8080
299,231,7979
300,233,7878
301,233,7777
302,233,7676
303,233,7575
304,239,7474
305,239,7373
306,239,7272
307,320,7272
308,336,7171
309,406,7171
310,423,7070
311,504,7070
312,551,6969
313,585,6868
314,586,6767
