,Time,Cost
0,6,21373
1,7,21383
2,7,21282
3,7,21181
4,7,20883
5,7,20782
6,7,20681
7,8,22706
8,8,22605
9,8,22504
10,8,22403
11,8,22302
12,8,22201
13,8,22100
14,8,21999
15,8,21898
16,8,21701
17,8,21600
18,8,21499
19,8,21398
20,8,21297
21,8,21196
22,8,21095
23,8,21201
24,8,21100
25,8,20999
26,8,20898
27,8,20797
28,8,20696
29,8,20595
30,8,20196
31,8,20095
32,8,19994
33,8,19893
34,8,19792
35,8,19691
36,8,19590
37,9,19489
38,9,19388
39,9,19287
40,9,19186
41,9,19085
42,9,18984
43,9,18883
44,9,18782
45,9,18681
46,9,18580
47,9,18479
48,9,18378
49,9,18277
50,9,18176
51,9,18075
52,9,17974
53,12,18085
54,12,17984
55,12,17883
56,13,18297
57,13,18196
58,13,18095
59,14,17994
60,14,17893
61,14,17792
62,14,17691
63,14,17590
64,15,17489
65,15,17388
66,15,17287
67,15,17186
68,15,17085
69,15,16984
70,15,16883
71,15,16782
72,15,16681
73,15,16580
74,15,16479
75,18,16378
76,18,16277
77,19,16989
78,19,16888
79,19,16787
80,19,16686
81,20,16585
82,20,16484
83,20,16383
84,20,16282
85,20,16181
86,20,16080
87,20,15979
88,20,15878
89,21,16893
90,22,16792
91,22,16691
92,24,16489
93,24,16388
94,24,16287
95,24,16186
96,24,16085
97,24,15984
98,25,15883
99,26,15782
100,27,16494
101,27,16393
102,27,16292
103,27,16191
104,27,16090
105,27,15989
106,27,15888
107,27,15787
108,27,15686
109,28,15383
110,28,15282
111,28,15181
112,28,15080
113,28,14979
114,28,14878
115,28,14777
116,28,14676
117,28,14575
118,28,14474
119,28,14373
120,28,14272
121,30,14479
122,30,14378
123,30,14277
124,30,14176
125,30,14075
126,30,13974
127,30,13873
128,31,13772
129,33,14989
130,33,14888
131,33,14787
132,33,14686
133,33,14585
134,34,14484
135,37,14383
136,37,14282
137,37,14181
138,37,14080
139,37,13979
140,37,13878
141,37,13777
142,38,13676
143,41,13575
144,42,14691
145,42,14590
146,42,14489
147,42,14388
148,42,14287
149,43,14186
150,43,14085
151,43,13984
152,43,13883
153,43,13782
154,43,13681
155,43,13580
156,43,13479
157,43,13378
158,43,13277
159,44,13176
160,44,13075
161,44,12974
162,45,12873
163,45,12772
164,45,12671
165,47,13686
166,49,13585
167,49,13484
168,49,13383
169,49,13282
170,49,13181
171,49,13080
172,49,12979
173,50,12878
174,50,12777
175,50,12676
176,51,13994
177,51,13893
178,51,13595
179,51,13494
180,51,13393
181,51,13292
182,51,13191
183,51,13090
184,52,12989
185,52,12888
186,52,12787
187,52,12686
188,52,12585
189,52,12484
190,52,12383
191,52,12282
192,53,12181
193,53,12080
194,53,11979
195,53,11878
196,53,11777
197,54,11676
198,54,11575
199,55,12792
200,55,12691
201,55,12590
202,55,12489
203,55,12388
204,55,12287
205,55,12186
206,55,12085
207,55,11984
208,55,11883
209,55,11782
210,55,11681
211,56,11580
212,56,11479
213,56,11378
214,56,11277
215,56,11176
216,58,11075
217,58,10974
218,58,10873
219,59,10772
220,59,10671
221,60,10570
222,61,10469
223,62,10368
224,63,10267
225,70,10979
226,70,10878
227,70,10777
228,74,10676
229,74,10575
230,74,10474
231,74,10373
232,74,10272
233,84,10171
234,85,10070
235,85,9969
236,99,11489
237,99,11388
238,99,11287
239,99,11186
240,99,11085
241,99,10984
242,100,10681
243,100,10580
244,100,10479
245,100,10378
246,100,10277
247,100,10176
248,100,10075
249,106,9974
250,112,9873
251,112,9772
252,133,9671
253,133,9570
254,133,10787
255,133,10686
256,133,10585
257,133,10484
258,135,10383
259,137,10282
260,138,10181
261,139,10080
262,139,9979
263,139,9878
264,139,9777
265,140,9676
266,140,9984
267,140,9883
268,140,9782
269,141,9681
270,141,9580
271,141,9479
272,141,9378
273,141,9277
274,142,9176
275,143,9075
276,143,8974
277,143,8873
278,145,8772
279,146,9484
280,146,9383
281,146,9282
282,149,9181
283,149,9080
284,149,8979
285,149,8878
286,149,8777
287,150,8676
288,150,8575
289,150,8474
290,158,8373
291,164,8272
292,165,8171
293,166,8070
294,166,7969
295,174,8883
296,175,8176
297,175,8075
298,175,7974
299,175,7873
300,181,7772
301,182,8888
302,182,8787
303,182,8686
304,182,8585
305,184,8484
306,184,8383
307,184,8282
308,184,8181
309,184,8080
310,184,7979
311,184,7878
312,184,7777
313,184,7676
314,185,7575
315,185,7474
316,194,7373
317,194,7272
318,200,7171
319,204,7070
320,204,6969
321,245,6868
322,246,6767
323,246,6666
324,252,6565
325,379,6565
326,465,6565
327,467,6464
